financial_quarter,sending_location,age_group,stay_type,measure,value
2018/19 Q2,Stirling,65-74 years,Long Stay,Number of People,50
2018/19 Q2,Stirling,75-84 years,All Stays,"Rate per 1,000 People",35.6
2018/19 Q2,Stirling,75-84 years,All Stays,Number of People,215
2018/19 Q2,Stirling,75-84 years,Short Stay / Respite,"Rate per 1,000 People",6.6
2018/19 Q2,Stirling,75-84 years,Short Stay / Respite,Number of People,40
2018/19 Q2,Stirling,75-84 years,Long Stay,"Rate per 1,000 People",30.7
2018/19 Q2,Stirling,75-84 years,Long Stay,Number of People,185
2018/19 Q2,Stirling,85+ years,All Stays,"Rate per 1,000 People",158.6
2018/19 Q2,Stirling,85+ years,All Stays,Number of People,335
2018/19 Q2,Stirling,85+ years,Short Stay / Respite,"Rate per 1,000 People",23.7
2018/19 Q2,Stirling,85+ years,Short Stay / Respite,Number of People,50
2018/19 Q2,Stirling,85+ years,Long Stay,"Rate per 1,000 People",142
2018/19 Q2,Stirling,85+ years,Long Stay,Number of People,300
2018/19 Q2,Stirling,Unknown,All Stays,"Rate per 1,000 People",0
2018/19 Q2,Stirling,Unknown,All Stays,Number of People,0
2018/19 Q2,Stirling,Unknown,Short Stay / Respite,"Rate per 1,000 People",0
2018/19 Q2,Stirling,Unknown,Short Stay / Respite,Number of People,0
2018/19 Q2,Stirling,Unknown,Long Stay,"Rate per 1,000 People",0
2018/19 Q2,Stirling,Unknown,Long Stay,Number of People,0
2018/19 Q3,Stirling,All Ages,All Stays,"Rate per 1,000 People",7.2
2018/19 Q3,Stirling,All Ages,All Stays,Number of People,680
2018/19 Q3,Stirling,All Ages,Short Stay / Respite,"Rate per 1,000 People",1.1
2018/19 Q3,Stirling,All Ages,Short Stay / Respite,Number of People,105
2018/19 Q3,Stirling,All Ages,Long Stay,"Rate per 1,000 People",6.6
2018/19 Q3,Stirling,All Ages,Long Stay,Number of People,620
2018/19 Q3,Stirling,0-17 years,All Stays,"Rate per 1,000 People",0
2018/19 Q3,Stirling,0-17 years,All Stays,Number of People,0
2018/19 Q3,Stirling,0-17 years,Short Stay / Respite,"Rate per 1,000 People",0
2018/19 Q3,Stirling,0-17 years,Short Stay / Respite,Number of People,0
2018/19 Q3,Stirling,0-17 years,Long Stay,"Rate per 1,000 People",0
2018/19 Q3,Stirling,0-17 years,Long Stay,Number of People,0
2018/19 Q3,Stirling,18-64 years,All Stays,"Rate per 1,000 People",1.6
2018/19 Q3,Stirling,18-64 years,All Stays,Number of People,95
2018/19 Q3,Stirling,18-64 years,Short Stay / Respite,"Rate per 1,000 People",0.3
2018/19 Q3,Stirling,18-64 years,Short Stay / Respite,Number of People,15
2018/19 Q3,Stirling,18-64 years,Long Stay,"Rate per 1,000 People",1.4
2018/19 Q3,Stirling,18-64 years,Long Stay,Number of People,85
2018/19 Q3,Stirling,65-74 years,All Stays,"Rate per 1,000 People",5.6
2018/19 Q3,Stirling,65-74 years,All Stays,Number of People,55
2018/19 Q3,Stirling,65-74 years,Short Stay / Respite,"Rate per 1,000 People",1
2018/19 Q3,Stirling,65-74 years,Short Stay / Respite,Number of People,10
2018/19 Q3,Stirling,65-74 years,Long Stay,"Rate per 1,000 People",5.1
2018/19 Q3,Stirling,65-74 years,Long Stay,Number of People,50
2018/19 Q3,Stirling,75-84 years,All Stays,"Rate per 1,000 People",34.8
2018/19 Q3,Stirling,75-84 years,All Stays,Number of People,210
2018/19 Q3,Stirling,75-84 years,Short Stay / Respite,"Rate per 1,000 People",5.8
2018/19 Q3,Stirling,75-84 years,Short Stay / Respite,Number of People,35
2018/19 Q3,Stirling,75-84 years,Long Stay,"Rate per 1,000 People",30.7
2018/19 Q3,Stirling,75-84 years,Long Stay,Number of People,185
2018/19 Q3,Stirling,85+ years,All Stays,"Rate per 1,000 People",151.5
2018/19 Q3,Stirling,85+ years,All Stays,Number of People,320
2018/19 Q3,Stirling,85+ years,Short Stay / Respite,"Rate per 1,000 People",21.3
2018/19 Q3,Stirling,85+ years,Short Stay / Respite,Number of People,45
2018/19 Q3,Stirling,85+ years,Long Stay,"Rate per 1,000 People",142
2018/19 Q3,Stirling,85+ years,Long Stay,Number of People,300
2018/19 Q3,Stirling,Unknown,All Stays,"Rate per 1,000 People",0
2018/19 Q3,Stirling,Unknown,All Stays,Number of People,0
2018/19 Q3,Stirling,Unknown,Short Stay / Respite,"Rate per 1,000 People",0
2018/19 Q3,Stirling,Unknown,Short Stay / Respite,Number of People,0
2018/19 Q3,Stirling,Unknown,Long Stay,"Rate per 1,000 People",0
2018/19 Q3,Stirling,Unknown,Long Stay,Number of People,0
2018/19 Q4,Stirling,All Ages,All Stays,"Rate per 1,000 People",7
2018/19 Q4,Stirling,All Ages,All Stays,Number of People,665
2018/19 Q4,Stirling,All Ages,Short Stay / Respite,"Rate per 1,000 People",1
2018/19 Q4,Stirling,All Ages,Short Stay / Respite,Number of People,90
2018/19 Q4,Stirling,All Ages,Long Stay,"Rate per 1,000 People",6.4
2018/19 Q4,Stirling,All Ages,Long Stay,Number of People,605
2018/19 Q4,Stirling,0-17 years,All Stays,"Rate per 1,000 People",0
2018/19 Q4,Stirling,0-17 years,All Stays,Number of People,0
2018/19 Q4,Stirling,0-17 years,Short Stay / Respite,"Rate per 1,000 People",0
2018/19 Q4,Stirling,0-17 years,Short Stay / Respite,Number of People,0
2018/19 Q4,Stirling,0-17 years,Long Stay,"Rate per 1,000 People",0
2018/19 Q4,Stirling,0-17 years,Long Stay,Number of People,0
2018/19 Q4,Stirling,18-64 years,All Stays,"Rate per 1,000 People",1.6
2018/19 Q4,Stirling,18-64 years,All Stays,Number of People,95
2018/19 Q4,Stirling,18-64 years,Short Stay / Respite,"Rate per 1,000 People",0.2
2018/19 Q4,Stirling,18-64 years,Short Stay / Respite,Number of People,10
2018/19 Q4,Stirling,18-64 years,Long Stay,"Rate per 1,000 People",1.4
2018/19 Q4,Stirling,18-64 years,Long Stay,Number of People,85
2018/19 Q4,Stirling,65-74 years,All Stays,"Rate per 1,000 People",6.1
2018/19 Q4,Stirling,65-74 years,All Stays,Number of People,60
2018/19 Q4,Stirling,65-74 years,Short Stay / Respite,"Rate per 1,000 People",0.5
2018/19 Q4,Stirling,65-74 years,Short Stay / Respite,Number of People,5
2018/19 Q4,Stirling,65-74 years,Long Stay,"Rate per 1,000 People",5.6
2018/19 Q4,Stirling,65-74 years,Long Stay,Number of People,55
2018/19 Q4,Stirling,75-84 years,All Stays,"Rate per 1,000 People",34
2018/19 Q4,Stirling,75-84 years,All Stays,Number of People,205
2018/19 Q4,Stirling,75-84 years,Short Stay / Respite,"Rate per 1,000 People",5.8
2018/19 Q4,Stirling,75-84 years,Short Stay / Respite,Number of People,35
2018/19 Q4,Stirling,75-84 years,Long Stay,"Rate per 1,000 People",29.8
2018/19 Q4,Stirling,75-84 years,Long Stay,Number of People,180
2018/19 Q4,Stirling,85+ years,All Stays,"Rate per 1,000 People",142
2018/19 Q4,Stirling,85+ years,All Stays,Number of People,300
2018/19 Q4,Stirling,85+ years,Short Stay / Respite,"Rate per 1,000 People",18.9
2018/19 Q4,Stirling,85+ years,Short Stay / Respite,Number of People,40
2018/19 Q4,Stirling,85+ years,Long Stay,"Rate per 1,000 People",132.6
2018/19 Q4,Stirling,85+ years,Long Stay,Number of People,280
2018/19 Q4,Stirling,Unknown,All Stays,"Rate per 1,000 People",0
2018/19 Q4,Stirling,Unknown,All Stays,Number of People,0
2018/19 Q4,Stirling,Unknown,Short Stay / Respite,"Rate per 1,000 People",0
2018/19 Q4,Stirling,Unknown,Short Stay / Respite,Number of People,0
2018/19 Q4,Stirling,Unknown,Long Stay,"Rate per 1,000 People",0
2018/19 Q4,Stirling,Unknown,Long Stay,Number of People,0
2019/20 Q1,Stirling,All Ages,All Stays,"Rate per 1,000 People",6.9
2019/20 Q1,Stirling,All Ages,All Stays,Number of People,650
2019/20 Q1,Stirling,All Ages,Short Stay / Respite,"Rate per 1,000 People",1
2019/20 Q1,Stirling,All Ages,Short Stay / Respite,Number of People,90
2019/20 Q1,Stirling,All Ages,Long Stay,"Rate per 1,000 People",6.2
2019/20 Q1,Stirling,All Ages,Long Stay,Number of People,585
2019/20 Q1,Stirling,0-17 years,All Stays,"Rate per 1,000 People",0
2019/20 Q1,Stirling,0-17 years,All Stays,Number of People,0
2019/20 Q1,Stirling,0-17 years,Short Stay / Respite,"Rate per 1,000 People",0
2019/20 Q1,Stirling,0-17 years,Short Stay / Respite,Number of People,0
2019/20 Q1,Stirling,0-17 years,Long Stay,"Rate per 1,000 People",0
2019/20 Q1,Stirling,0-17 years,Long Stay,Number of People,0
2019/20 Q1,Stirling,18-64 years,All Stays,"Rate per 1,000 People",1.5
2019/20 Q1,Stirling,18-64 years,All Stays,Number of People,90
2019/20 Q1,Stirling,18-64 years,Short Stay / Respite,"Rate per 1,000 People",0.2
2019/20 Q1,Stirling,18-64 years,Short Stay / Respite,Number of People,10
2019/20 Q1,Stirling,18-64 years,Long Stay,"Rate per 1,000 People",1.5
2019/20 Q1,Stirling,18-64 years,Long Stay,Number of People,85
2019/20 Q1,Stirling,65-74 years,All Stays,"Rate per 1,000 People",5.6
2019/20 Q1,Stirling,65-74 years,All Stays,Number of People,55
2019/20 Q1,Stirling,65-74 years,Short Stay / Respite,"Rate per 1,000 People",0.5
2019/20 Q1,Stirling,65-74 years,Short Stay / Respite,Number of People,5
2019/20 Q1,Stirling,65-74 years,Long Stay,"Rate per 1,000 People",5.1
2019/20 Q1,Stirling,65-74 years,Long Stay,Number of People,50
2019/20 Q1,Stirling,75-84 years,All Stays,"Rate per 1,000 People",29.8
2019/20 Q1,Stirling,75-84 years,All Stays,Number of People,185
2019/20 Q1,Stirling,75-84 years,Short Stay / Respite,"Rate per 1,000 People",4
2019/20 Q1,Stirling,75-84 years,Short Stay / Respite,Number of People,25
2019/20 Q1,Stirling,75-84 years,Long Stay,"Rate per 1,000 People",26.5
2019/20 Q1,Stirling,75-84 years,Long Stay,Number of People,165
2019/20 Q1,Stirling,85+ years,All Stays,"Rate per 1,000 People",148.4
2019/20 Q1,Stirling,85+ years,All Stays,Number of People,320
2019/20 Q1,Stirling,85+ years,Short Stay / Respite,"Rate per 1,000 People",20.9
2019/20 Q1,Stirling,85+ years,Short Stay / Respite,Number of People,45
2019/20 Q1,Stirling,85+ years,Long Stay,"Rate per 1,000 People",132.2
2019/20 Q1,Stirling,85+ years,Long Stay,Number of People,285
2019/20 Q1,Stirling,Unknown,All Stays,"Rate per 1,000 People",0
2019/20 Q1,Stirling,Unknown,All Stays,Number of People,0
2019/20 Q1,Stirling,Unknown,Short Stay / Respite,"Rate per 1,000 People",0
2019/20 Q1,Stirling,Unknown,Short Stay / Respite,Number of People,0
2019/20 Q1,Stirling,Unknown,Long Stay,"Rate per 1,000 People",0
2019/20 Q1,Stirling,Unknown,Long Stay,Number of People,0
2019/20 Q2,Stirling,All Ages,All Stays,"Rate per 1,000 People",6.8
2019/20 Q2,Stirling,All Ages,All Stays,Number of People,640
2019/20 Q2,Stirling,All Ages,Short Stay / Respite,"Rate per 1,000 People",1
2019/20 Q2,Stirling,All Ages,Short Stay / Respite,Number of People,95
2019/20 Q2,Stirling,All Ages,Long Stay,"Rate per 1,000 People",6.1
2019/20 Q2,Stirling,All Ages,Long Stay,Number of People,575
2019/20 Q2,Stirling,0-17 years,All Stays,"Rate per 1,000 People",0
2019/20 Q2,Stirling,0-17 years,All Stays,Number of People,0
2019/20 Q2,Stirling,0-17 years,Short Stay / Respite,"Rate per 1,000 People",0
2019/20 Q2,Stirling,0-17 years,Short Stay / Respite,Number of People,0
2019/20 Q2,Stirling,0-17 years,Long Stay,"Rate per 1,000 People",0
2019/20 Q2,Stirling,0-17 years,Long Stay,Number of People,0
2019/20 Q2,Stirling,18-64 years,All Stays,"Rate per 1,000 People",1.6
2019/20 Q2,Stirling,18-64 years,All Stays,Number of People,95
2019/20 Q2,Stirling,18-64 years,Short Stay / Respite,"Rate per 1,000 People",0.3
2019/20 Q2,Stirling,18-64 years,Short Stay / Respite,Number of People,15
2019/20 Q2,Stirling,18-64 years,Long Stay,"Rate per 1,000 People",1.5
2019/20 Q2,Stirling,18-64 years,Long Stay,Number of People,85
2019/20 Q2,Stirling,65-74 years,All Stays,"Rate per 1,000 People",5.6
2019/20 Q2,Stirling,65-74 years,All Stays,Number of People,55
2019/20 Q2,Stirling,65-74 years,Short Stay / Respite,"Rate per 1,000 People",1
2019/20 Q2,Stirling,65-74 years,Short Stay / Respite,Number of People,10
2019/20 Q2,Stirling,65-74 years,Long Stay,"Rate per 1,000 People",5.1
2019/20 Q2,Stirling,65-74 years,Long Stay,Number of People,50
2019/20 Q2,Stirling,75-84 years,All Stays,"Rate per 1,000 People",29.8
2019/20 Q2,Stirling,75-84 years,All Stays,Number of People,185
2019/20 Q2,Stirling,75-84 years,Short Stay / Respite,"Rate per 1,000 People",4
2019/20 Q2,Stirling,75-84 years,Short Stay / Respite,Number of People,25
2019/20 Q2,Stirling,75-84 years,Long Stay,"Rate per 1,000 People",26.5
2019/20 Q2,Stirling,75-84 years,Long Stay,Number of People,165
2019/20 Q2,Stirling,85+ years,All Stays,"Rate per 1,000 People",139.1
2019/20 Q2,Stirling,85+ years,All Stays,Number of People,300
2019/20 Q2,Stirling,85+ years,Short Stay / Respite,"Rate per 1,000 People",20.9
2019/20 Q2,Stirling,85+ years,Short Stay / Respite,Number of People,45
2019/20 Q2,Stirling,85+ years,Long Stay,"Rate per 1,000 People",125.2
2019/20 Q2,Stirling,85+ years,Long Stay,Number of People,270
2019/20 Q2,Stirling,Unknown,All Stays,"Rate per 1,000 People",0
2019/20 Q2,Stirling,Unknown,All Stays,Number of People,0
2019/20 Q2,Stirling,Unknown,Short Stay / Respite,"Rate per 1,000 People",0
2019/20 Q2,Stirling,Unknown,Short Stay / Respite,Number of People,0
2019/20 Q2,Stirling,Unknown,Long Stay,"Rate per 1,000 People",0
2019/20 Q2,Stirling,Unknown,Long Stay,Number of People,0
2019/20 Q3,Stirling,All Ages,All Stays,"Rate per 1,000 People",6.8
2019/20 Q3,Stirling,All Ages,All Stays,Number of People,645
2019/20 Q3,Stirling,All Ages,Short Stay / Respite,"Rate per 1,000 People",1
2019/20 Q3,Stirling,All Ages,Short Stay / Respite,Number of People,95
2019/20 Q3,Stirling,All Ages,Long Stay,"Rate per 1,000 People",6.2
2019/20 Q3,Stirling,All Ages,Long Stay,Number of People,580
2019/20 Q3,Stirling,0-17 years,All Stays,"Rate per 1,000 People",0
2019/20 Q3,Stirling,0-17 years,All Stays,Number of People,0
2019/20 Q3,Stirling,0-17 years,Short Stay / Respite,"Rate per 1,000 People",0
2019/20 Q3,Stirling,0-17 years,Short Stay / Respite,Number of People,0
2019/20 Q3,Stirling,0-17 years,Long Stay,"Rate per 1,000 People",0
2019/20 Q3,Stirling,0-17 years,Long Stay,Number of People,0
2019/20 Q3,Stirling,18-64 years,All Stays,"Rate per 1,000 People",1.6
2019/20 Q3,Stirling,18-64 years,All Stays,Number of People,95
2019/20 Q3,Stirling,18-64 years,Short Stay / Respite,"Rate per 1,000 People",0.3
2019/20 Q3,Stirling,18-64 years,Short Stay / Respite,Number of People,15
2019/20 Q3,Stirling,18-64 years,Long Stay,"Rate per 1,000 People",1.5
2019/20 Q3,Stirling,18-64 years,Long Stay,Number of People,90
2019/20 Q3,Stirling,65-74 years,All Stays,"Rate per 1,000 People",5.6
2019/20 Q3,Stirling,65-74 years,All Stays,Number of People,55
2019/20 Q3,Stirling,65-74 years,Short Stay / Respite,"Rate per 1,000 People",0.5
2019/20 Q3,Stirling,65-74 years,Short Stay / Respite,Number of People,5
2019/20 Q3,Stirling,65-74 years,Long Stay,"Rate per 1,000 People",5.1
2019/20 Q3,Stirling,65-74 years,Long Stay,Number of People,50
2019/20 Q3,Stirling,75-84 years,All Stays,"Rate per 1,000 People",32.2
2019/20 Q3,Stirling,75-84 years,All Stays,Number of People,200
2019/20 Q3,Stirling,75-84 years,Short Stay / Respite,"Rate per 1,000 People",5.6
2019/20 Q3,Stirling,75-84 years,Short Stay / Respite,Number of People,35
2019/20 Q3,Stirling,75-84 years,Long Stay,"Rate per 1,000 People",27.3
2019/20 Q3,Stirling,75-84 years,Long Stay,Number of People,170
2019/20 Q3,Stirling,85+ years,All Stays,"Rate per 1,000 People",136.8
2019/20 Q3,Stirling,85+ years,All Stays,Number of People,295
2019/20 Q3,Stirling,85+ years,Short Stay / Respite,"Rate per 1,000 People",18.6
2019/20 Q3,Stirling,85+ years,Short Stay / Respite,Number of People,40
2019/20 Q3,Stirling,85+ years,Long Stay,"Rate per 1,000 People",125.2
2019/20 Q3,Stirling,85+ years,Long Stay,Number of People,270
2019/20 Q3,Stirling,Unknown,All Stays,"Rate per 1,000 People",0
2019/20 Q3,Stirling,Unknown,All Stays,Number of People,0
2019/20 Q3,Stirling,Unknown,Short Stay / Respite,"Rate per 1,000 People",0
2019/20 Q3,Stirling,Unknown,Short Stay / Respite,Number of People,0
2019/20 Q3,Stirling,Unknown,Long Stay,"Rate per 1,000 People",0
2019/20 Q3,Stirling,Unknown,Long Stay,Number of People,0
2019/20 Q4,Stirling,All Ages,All Stays,"Rate per 1,000 People",6.9
2019/20 Q4,Stirling,All Ages,All Stays,Number of People,650
2019/20 Q4,Stirling,All Ages,Short Stay / Respite,"Rate per 1,000 People",1
2019/20 Q4,Stirling,All Ages,Short Stay / Respite,Number of People,95
2019/20 Q4,Stirling,All Ages,Long Stay,"Rate per 1,000 People",6.3
2019/20 Q4,Stirling,All Ages,Long Stay,Number of People,595
2019/20 Q4,Stirling,0-17 years,All Stays,"Rate per 1,000 People",0
2019/20 Q4,Stirling,0-17 years,All Stays,Number of People,0
2019/20 Q4,Stirling,0-17 years,Short Stay / Respite,"Rate per 1,000 People",0
2019/20 Q4,Stirling,0-17 years,Short Stay / Respite,Number of People,0
2019/20 Q4,Stirling,0-17 years,Long Stay,"Rate per 1,000 People",0
2019/20 Q4,Stirling,0-17 years,Long Stay,Number of People,0
2019/20 Q4,Stirling,18-64 years,All Stays,"Rate per 1,000 People",1.7
2019/20 Q4,Stirling,18-64 years,All Stays,Number of People,100
2019/20 Q4,Stirling,18-64 years,Short Stay / Respite,"Rate per 1,000 People",0.3
2019/20 Q4,Stirling,18-64 years,Short Stay / Respite,Number of People,15
2019/20 Q4,Stirling,18-64 years,Long Stay,"Rate per 1,000 People",1.6
2019/20 Q4,Stirling,18-64 years,Long Stay,Number of People,95
2019/20 Q4,Stirling,65-74 years,All Stays,"Rate per 1,000 People",6.1
2019/20 Q4,Stirling,65-74 years,All Stays,Number of People,60
2019/20 Q4,Stirling,65-74 years,Short Stay / Respite,"Rate per 1,000 People",1
2019/20 Q4,Stirling,65-74 years,Short Stay / Respite,Number of People,10
2019/20 Q4,Stirling,65-74 years,Long Stay,"Rate per 1,000 People",5.6
2019/20 Q4,Stirling,65-74 years,Long Stay,Number of People,55
2019/20 Q4,Stirling,75-84 years,All Stays,"Rate per 1,000 People",31.4
2019/20 Q4,Stirling,75-84 years,All Stays,Number of People,195
2019/20 Q4,Stirling,75-84 years,Short Stay / Respite,"Rate per 1,000 People",5.6
2019/20 Q4,Stirling,75-84 years,Short Stay / Respite,Number of People,35
2019/20 Q4,Stirling,75-84 years,Long Stay,"Rate per 1,000 People",28.2
2019/20 Q4,Stirling,75-84 years,Long Stay,Number of People,175
2019/20 Q4,Stirling,85+ years,All Stays,"Rate per 1,000 People",134.5
2019/20 Q4,Stirling,85+ years,All Stays,Number of People,290
2019/20 Q4,Stirling,85+ years,Short Stay / Respite,"Rate per 1,000 People",16.2
2019/20 Q4,Stirling,85+ years,Short Stay / Respite,Number of People,35
2019/20 Q4,Stirling,85+ years,Long Stay,"Rate per 1,000 People",125.2
2019/20 Q4,Stirling,85+ years,Long Stay,Number of People,270
2019/20 Q4,Stirling,Unknown,All Stays,"Rate per 1,000 People",0
2019/20 Q4,Stirling,Unknown,All Stays,Number of People,0
2019/20 Q4,Stirling,Unknown,Short Stay / Respite,"Rate per 1,000 People",0
2019/20 Q4,Stirling,Unknown,Short Stay / Respite,Number of People,0
2019/20 Q4,Stirling,Unknown,Long Stay,"Rate per 1,000 People",0
2019/20 Q4,Stirling,Unknown,Long Stay,Number of People,0
2020/21 Q1,Stirling,All Ages,All Stays,"Rate per 1,000 People",6.4
2020/21 Q1,Stirling,All Ages,All Stays,Number of People,600
2020/21 Q1,Stirling,All Ages,Short Stay / Respite,"Rate per 1,000 People",0.5
2020/21 Q1,Stirling,All Ages,Short Stay / Respite,Number of People,45
2020/21 Q1,Stirling,All Ages,Long Stay,"Rate per 1,000 People",6.2
2020/21 Q1,Stirling,All Ages,Long Stay,Number of People,585
2020/21 Q1,Stirling,0-17 years,All Stays,"Rate per 1,000 People",0
2020/21 Q1,Stirling,0-17 years,All Stays,Number of People,0
2020/21 Q1,Stirling,0-17 years,Short Stay / Respite,"Rate per 1,000 People",0
2020/21 Q1,Stirling,0-17 years,Short Stay / Respite,Number of People,0
2020/21 Q1,Stirling,0-17 years,Long Stay,"Rate per 1,000 People",0
2020/21 Q1,Stirling,0-17 years,Long Stay,Number of People,0
2020/21 Q1,Stirling,18-64 years,All Stays,"Rate per 1,000 People",1.5
2020/21 Q1,Stirling,18-64 years,All Stays,Number of People,85
2020/21 Q1,Stirling,18-64 years,Short Stay / Respite,"Rate per 1,000 People",0.1
2020/21 Q1,Stirling,18-64 years,Short Stay / Respite,Number of People,5
2020/21 Q1,Stirling,18-64 years,Long Stay,"Rate per 1,000 People",1.5
2020/21 Q1,Stirling,18-64 years,Long Stay,Number of People,85
2020/21 Q1,Stirling,65-74 years,All Stays,"Rate per 1,000 People",6
2020/21 Q1,Stirling,65-74 years,All Stays,Number of People,60
2020/21 Q1,Stirling,65-74 years,Short Stay / Respite,"Rate per 1,000 People",0.5
2020/21 Q1,Stirling,65-74 years,Short Stay / Respite,Number of People,5
2020/21 Q1,Stirling,65-74 years,Long Stay,"Rate per 1,000 People",6
2020/21 Q1,Stirling,65-74 years,Long Stay,Number of People,60
2020/21 Q1,Stirling,75-84 years,All Stays,"Rate per 1,000 People",25.6
2020/21 Q1,Stirling,75-84 years,All Stays,Number of People,160
2020/21 Q1,Stirling,75-84 years,Short Stay / Respite,"Rate per 1,000 People",1.6
2020/21 Q1,Stirling,75-84 years,Short Stay / Respite,Number of People,10
2020/21 Q1,Stirling,75-84 years,Long Stay,"Rate per 1,000 People",24.8
2020/21 Q1,Stirling,75-84 years,Long Stay,Number of People,155
2020/21 Q1,Stirling,85+ years,All Stays,"Rate per 1,000 People",131.7
2020/21 Q1,Stirling,85+ years,All Stays,Number of People,295
2020/21 Q1,Stirling,85+ years,Short Stay / Respite,"Rate per 1,000 People",11.2
2020/21 Q1,Stirling,85+ years,Short Stay / Respite,Number of People,25
2020/21 Q1,Stirling,85+ years,Long Stay,"Rate per 1,000 People",127.2
2020/21 Q1,Stirling,85+ years,Long Stay,Number of People,285
2020/21 Q1,Stirling,Unknown,All Stays,"Rate per 1,000 People",0
2020/21 Q1,Stirling,Unknown,All Stays,Number of People,0
2020/21 Q1,Stirling,Unknown,Short Stay / Respite,"Rate per 1,000 People",0
2020/21 Q1,Stirling,Unknown,Short Stay / Respite,Number of People,0
2020/21 Q1,Stirling,Unknown,Long Stay,"Rate per 1,000 People",0
2020/21 Q1,Stirling,Unknown,Long Stay,Number of People,0
2020/21 Q2,Stirling,All Ages,All Stays,"Rate per 1,000 People",6.3
2020/21 Q2,Stirling,All Ages,All Stays,Number of People,595
2020/21 Q2,Stirling,All Ages,Short Stay / Respite,"Rate per 1,000 People",0.5
2020/21 Q2,Stirling,All Ages,Short Stay / Respite,Number of People,50
2020/21 Q2,Stirling,All Ages,Long Stay,"Rate per 1,000 People",6.1
2020/21 Q2,Stirling,All Ages,Long Stay,Number of People,575
2020/21 Q2,Stirling,0-17 years,All Stays,"Rate per 1,000 People",0
2020/21 Q2,Stirling,0-17 years,All Stays,Number of People,0
2020/21 Q2,Stirling,0-17 years,Short Stay / Respite,"Rate per 1,000 People",0
2020/21 Q2,Stirling,0-17 years,Short Stay / Respite,Number of People,0
2020/21 Q2,Stirling,0-17 years,Long Stay,"Rate per 1,000 People",0
2020/21 Q2,Stirling,0-17 years,Long Stay,Number of People,0
2020/21 Q2,Stirling,18-64 years,All Stays,"Rate per 1,000 People",1.5
2020/21 Q2,Stirling,18-64 years,All Stays,Number of People,90
2020/21 Q2,Stirling,18-64 years,Short Stay / Respite,"Rate per 1,000 People",0.1
2020/21 Q2,Stirling,18-64 years,Short Stay / Respite,Number of People,5
2020/21 Q2,Stirling,18-64 years,Long Stay,"Rate per 1,000 People",1.5
2020/21 Q2,Stirling,18-64 years,Long Stay,Number of People,90
2020/21 Q2,Stirling,65-74 years,All Stays,"Rate per 1,000 People",6
2020/21 Q2,Stirling,65-74 years,All Stays,Number of People,60
2020/21 Q2,Stirling,65-74 years,Short Stay / Respite,"Rate per 1,000 People",0.5
2020/21 Q2,Stirling,65-74 years,Short Stay / Respite,Number of People,5
2020/21 Q2,Stirling,65-74 years,Long Stay,"Rate per 1,000 People",6
2020/21 Q2,Stirling,65-74 years,Long Stay,Number of People,60
2020/21 Q2,Stirling,75-84 years,All Stays,"Rate per 1,000 People",27.2
2020/21 Q2,Stirling,75-84 years,All Stays,Number of People,170
2020/21 Q2,Stirling,75-84 years,Short Stay / Respite,"Rate per 1,000 People",3.2
2020/21 Q2,Stirling,75-84 years,Short Stay / Respite,Number of People,20
2020/21 Q2,Stirling,75-84 years,Long Stay,"Rate per 1,000 People",25.6
2020/21 Q2,Stirling,75-84 years,Long Stay,Number of People,160
2020/21 Q2,Stirling,85+ years,All Stays,"Rate per 1,000 People",120.5
2020/21 Q2,Stirling,85+ years,All Stays,Number of People,270
2020/21 Q2,Stirling,85+ years,Short Stay / Respite,"Rate per 1,000 People",8.9
2020/21 Q2,Stirling,85+ years,Short Stay / Respite,Number of People,20
2020/21 Q2,Stirling,85+ years,Long Stay,"Rate per 1,000 People",118.3
2020/21 Q2,Stirling,85+ years,Long Stay,Number of People,265
2020/21 Q2,Stirling,Unknown,All Stays,"Rate per 1,000 People",0
2020/21 Q2,Stirling,Unknown,All Stays,Number of People,0
2020/21 Q2,Stirling,Unknown,Short Stay / Respite,"Rate per 1,000 People",0
2020/21 Q2,Stirling,Unknown,Short Stay / Respite,Number of People,0
2020/21 Q2,Stirling,Unknown,Long Stay,"Rate per 1,000 People",0
2020/21 Q2,Stirling,Unknown,Long Stay,Number of People,0
2020/21 Q3,Stirling,All Ages,All Stays,"Rate per 1,000 People",6.2
2020/21 Q3,Stirling,All Ages,All Stays,Number of People,585
2020/21 Q3,Stirling,All Ages,Short Stay / Respite,"Rate per 1,000 People",0.6
2020/21 Q3,Stirling,All Ages,Short Stay / Respite,Number of People,55
2020/21 Q3,Stirling,All Ages,Long Stay,"Rate per 1,000 People",6
2020/21 Q3,Stirling,All Ages,Long Stay,Number of People,565
2020/21 Q3,Stirling,0-17 years,All Stays,"Rate per 1,000 People",0
2020/21 Q3,Stirling,0-17 years,All Stays,Number of People,0
2020/21 Q3,Stirling,0-17 years,Short Stay / Respite,"Rate per 1,000 People",0
2020/21 Q3,Stirling,0-17 years,Short Stay / Respite,Number of People,0
2020/21 Q3,Stirling,0-17 years,Long Stay,"Rate per 1,000 People",0
2020/21 Q3,Stirling,0-17 years,Long Stay,Number of People,0
2020/21 Q3,Stirling,18-64 years,All Stays,"Rate per 1,000 People",1.5
2020/21 Q3,Stirling,18-64 years,All Stays,Number of People,90
2020/21 Q3,Stirling,18-64 years,Short Stay / Respite,"Rate per 1,000 People",0.1
2020/21 Q3,Stirling,18-64 years,Short Stay / Respite,Number of People,5
