financial_year,sending_location,age_group,stay_type,measure,value,value_scotland
2020/21,Aberdeen City,75-84 years,Long Stay,Number of People,520,13165
2020/21,Aberdeen City,85+ years,All Stays,"Rate per 1,000 People",202.9,184.8
2020/21,Aberdeen City,85+ years,All Stays,Number of People,980,23715
2020/21,Aberdeen City,85+ years,Short Stay / Respite,"Rate per 1,000 People",21.7,20.5
2020/21,Aberdeen City,85+ years,Short Stay / Respite,Number of People,105,2625
2020/21,Aberdeen City,85+ years,Long Stay,"Rate per 1,000 People",189.4,172
2020/21,Aberdeen City,85+ years,Long Stay,Number of People,915,22065
2020/21,Aberdeenshire,All Ages,All Stays,"Rate per 1,000 People",9.4,8.8
2020/21,Aberdeenshire,All Ages,All Stays,Number of People,2445,48040
2020/21,Aberdeenshire,All Ages,Short Stay / Respite,"Rate per 1,000 People",1.5,1.2
2020/21,Aberdeenshire,All Ages,Short Stay / Respite,Number of People,400,6300
2020/21,Aberdeenshire,All Ages,Long Stay,"Rate per 1,000 People",8.3,8
2020/21,Aberdeenshire,All Ages,Long Stay,Number of People,2165,43910
2020/21,Aberdeenshire,0-17 years,All Stays,"Rate per 1,000 People",0,0.1
2020/21,Aberdeenshire,0-17 years,All Stays,Number of People,0,70
2020/21,Aberdeenshire,0-17 years,Short Stay / Respite,"Rate per 1,000 People",0,0
2020/21,Aberdeenshire,0-17 years,Short Stay / Respite,Number of People,0,5
2020/21,Aberdeenshire,0-17 years,Long Stay,"Rate per 1,000 People",0,0.1
2020/21,Aberdeenshire,0-17 years,Long Stay,Number of People,0,65
2020/21,Aberdeenshire,18-64 years,All Stays,"Rate per 1,000 People",1.7,1.4
2020/21,Aberdeenshire,18-64 years,All Stays,Number of People,260,4695
2020/21,Aberdeenshire,18-64 years,Short Stay / Respite,"Rate per 1,000 People",0.3,0.3
2020/21,Aberdeenshire,18-64 years,Short Stay / Respite,Number of People,40,960
2020/21,Aberdeenshire,18-64 years,Long Stay,"Rate per 1,000 People",1.5,1.2
2020/21,Aberdeenshire,18-64 years,Long Stay,Number of People,225,3965
2020/21,Aberdeenshire,65-74 years,All Stays,"Rate per 1,000 People",8.3,8.7
2020/21,Aberdeenshire,65-74 years,All Stays,Number of People,250,5105
2020/21,Aberdeenshire,65-74 years,Short Stay / Respite,"Rate per 1,000 People",1.5,1.2
2020/21,Aberdeenshire,65-74 years,Short Stay / Respite,Number of People,45,695
2020/21,Aberdeenshire,65-74 years,Long Stay,"Rate per 1,000 People",7.3,7.9
2020/21,Aberdeenshire,65-74 years,Long Stay,Number of People,220,4650
2020/21,Aberdeenshire,75-84 years,All Stays,"Rate per 1,000 People",44.7,42.3
2020/21,Aberdeenshire,75-84 years,All Stays,Number of People,725,14450
2020/21,Aberdeenshire,75-84 years,Short Stay / Respite,"Rate per 1,000 People",8.9,5.9
2020/21,Aberdeenshire,75-84 years,Short Stay / Respite,Number of People,145,2015
2020/21,Aberdeenshire,75-84 years,Long Stay,"Rate per 1,000 People",38.5,38.5
2020/21,Aberdeenshire,75-84 years,Long Stay,Number of People,625,13165
2020/21,Aberdeenshire,85+ years,All Stays,"Rate per 1,000 People",208.9,184.8
2020/21,Aberdeenshire,85+ years,All Stays,Number of People,1210,23715
2020/21,Aberdeenshire,85+ years,Short Stay / Respite,"Rate per 1,000 People",29.4,20.5
2020/21,Aberdeenshire,85+ years,Short Stay / Respite,Number of People,170,2625
2020/21,Aberdeenshire,85+ years,Long Stay,"Rate per 1,000 People",189.9,172
2020/21,Aberdeenshire,85+ years,Long Stay,Number of People,1100,22065
2020/21,Angus,All Ages,All Stays,"Rate per 1,000 People",11.9,8.8
2020/21,Angus,All Ages,All Stays,Number of People,1380,48040
2020/21,Angus,All Ages,Short Stay / Respite,"Rate per 1,000 People",2.8,1.2
2020/21,Angus,All Ages,Short Stay / Respite,Number of People,320,6300
2020/21,Angus,All Ages,Long Stay,"Rate per 1,000 People",10.6,8
2020/21,Angus,All Ages,Long Stay,Number of People,1225,43910
2020/21,Angus,0-17 years,All Stays,"Rate per 1,000 People",0,0.1
2020/21,Angus,0-17 years,All Stays,Number of People,0,70
2020/21,Angus,0-17 years,Short Stay / Respite,"Rate per 1,000 People",0,0
2020/21,Angus,0-17 years,Short Stay / Respite,Number of People,0,5
2020/21,Angus,0-17 years,Long Stay,"Rate per 1,000 People",0,0.1
2020/21,Angus,0-17 years,Long Stay,Number of People,0,65
2020/21,Angus,18-64 years,All Stays,"Rate per 1,000 People",1.7,1.4
2020/21,Angus,18-64 years,All Stays,Number of People,110,4695
2020/21,Angus,18-64 years,Short Stay / Respite,"Rate per 1,000 People",0.5,0.3
2020/21,Angus,18-64 years,Short Stay / Respite,Number of People,30,960
2020/21,Angus,18-64 years,Long Stay,"Rate per 1,000 People",1.4,1.2
2020/21,Angus,18-64 years,Long Stay,Number of People,90,3965
2020/21,Angus,65-74 years,All Stays,"Rate per 1,000 People",8.8,8.7
2020/21,Angus,65-74 years,All Stays,Number of People,135,5105
2020/21,Angus,65-74 years,Short Stay / Respite,"Rate per 1,000 People",2.6,1.2
2020/21,Angus,65-74 years,Short Stay / Respite,Number of People,40,695
2020/21,Angus,65-74 years,Long Stay,"Rate per 1,000 People",7.5,7.9
2020/21,Angus,65-74 years,Long Stay,Number of People,115,4650
2020/21,Angus,75-84 years,All Stays,"Rate per 1,000 People",40.8,42.3
2020/21,Angus,75-84 years,All Stays,Number of People,375,14450
2020/21,Angus,75-84 years,Short Stay / Respite,"Rate per 1,000 People",9.8,5.9
2020/21,Angus,75-84 years,Short Stay / Respite,Number of People,90,2015
2020/21,Angus,75-84 years,Long Stay,"Rate per 1,000 People",35.3,38.5
2020/21,Angus,75-84 years,Long Stay,Number of People,325,13165
2020/21,Angus,85+ years,All Stays,"Rate per 1,000 People",213.8,184.8
2020/21,Angus,85+ years,All Stays,Number of People,765,23715
2020/21,Angus,85+ years,Short Stay / Respite,"Rate per 1,000 People",44.7,20.5
2020/21,Angus,85+ years,Short Stay / Respite,Number of People,160,2625
2020/21,Angus,85+ years,Long Stay,"Rate per 1,000 People",194.2,172
2020/21,Angus,85+ years,Long Stay,Number of People,695,22065
2020/21,Argyll and Bute,All Ages,All Stays,"Rate per 1,000 People",9.8,8.8
2020/21,Argyll and Bute,All Ages,All Stays,Number of People,840,48040
2020/21,Argyll and Bute,All Ages,Short Stay / Respite,"Rate per 1,000 People",1.1,1.2
2020/21,Argyll and Bute,All Ages,Short Stay / Respite,Number of People,95,6300
2020/21,Argyll and Bute,All Ages,Long Stay,"Rate per 1,000 People",9,8
2020/21,Argyll and Bute,All Ages,Long Stay,Number of People,765,43910
2020/21,Argyll and Bute,0-17 years,All Stays,"Rate per 1,000 People",0,0.1
2020/21,Argyll and Bute,0-17 years,All Stays,Number of People,0,70
2020/21,Argyll and Bute,0-17 years,Short Stay / Respite,"Rate per 1,000 People",0,0
2020/21,Argyll and Bute,0-17 years,Short Stay / Respite,Number of People,0,5
2020/21,Argyll and Bute,0-17 years,Long Stay,"Rate per 1,000 People",0,0.1
2020/21,Argyll and Bute,0-17 years,Long Stay,Number of People,0,65
2020/21,Argyll and Bute,18-64 years,All Stays,"Rate per 1,000 People",1.3,1.4
2020/21,Argyll and Bute,18-64 years,All Stays,Number of People,65,4695
2020/21,Argyll and Bute,18-64 years,Short Stay / Respite,"Rate per 1,000 People",0.1,0.3
2020/21,Argyll and Bute,18-64 years,Short Stay / Respite,Number of People,5,960
2020/21,Argyll and Bute,18-64 years,Long Stay,"Rate per 1,000 People",1.2,1.2
2020/21,Argyll and Bute,18-64 years,Long Stay,Number of People,60,3965
2020/21,Argyll and Bute,65-74 years,All Stays,"Rate per 1,000 People",6.1,8.7
2020/21,Argyll and Bute,65-74 years,All Stays,Number of People,75,5105
2020/21,Argyll and Bute,65-74 years,Short Stay / Respite,"Rate per 1,000 People",0.8,1.2
2020/21,Argyll and Bute,65-74 years,Short Stay / Respite,Number of People,10,695
2020/21,Argyll and Bute,65-74 years,Long Stay,"Rate per 1,000 People",5.7,7.9
2020/21,Argyll and Bute,65-74 years,Long Stay,Number of People,70,4650
2020/21,Argyll and Bute,75-84 years,All Stays,"Rate per 1,000 People",37.1,42.3
2020/21,Argyll and Bute,75-84 years,All Stays,Number of People,275,14450
2020/21,Argyll and Bute,75-84 years,Short Stay / Respite,"Rate per 1,000 People",4.7,5.9
2020/21,Argyll and Bute,75-84 years,Short Stay / Respite,Number of People,35,2015
2020/21,Argyll and Bute,75-84 years,Long Stay,"Rate per 1,000 People",33.7,38.5
2020/21,Argyll and Bute,75-84 years,Long Stay,Number of People,250,13165
2020/21,Argyll and Bute,85+ years,All Stays,"Rate per 1,000 People",164,184.8
2020/21,Argyll and Bute,85+ years,All Stays,Number of People,425,23715
2020/21,Argyll and Bute,85+ years,Short Stay / Respite,"Rate per 1,000 People",19.3,20.5
2020/21,Argyll and Bute,85+ years,Short Stay / Respite,Number of People,50,2625
2020/21,Argyll and Bute,85+ years,Long Stay,"Rate per 1,000 People",150.5,172
2020/21,Argyll and Bute,85+ years,Long Stay,Number of People,390,22065
2020/21,City of Edinburgh,All Ages,All Stays,"Rate per 1,000 People",6.9,8.8
2020/21,City of Edinburgh,All Ages,All Stays,Number of People,3655,48040
2020/21,City of Edinburgh,All Ages,Short Stay / Respite,"Rate per 1,000 People",0.4,1.2
2020/21,City of Edinburgh,All Ages,Short Stay / Respite,Number of People,200,6300
2020/21,City of Edinburgh,All Ages,Long Stay,"Rate per 1,000 People",6.7,8
2020/21,City of Edinburgh,All Ages,Long Stay,Number of People,3525,43910
2020/21,City of Edinburgh,0-17 years,All Stays,"Rate per 1,000 People",0,0.1
2020/21,City of Edinburgh,0-17 years,All Stays,Number of People,0,70
2020/21,City of Edinburgh,0-17 years,Short Stay / Respite,"Rate per 1,000 People",0,0
2020/21,City of Edinburgh,0-17 years,Short Stay / Respite,Number of People,0,5
2020/21,City of Edinburgh,0-17 years,Long Stay,"Rate per 1,000 People",0,0.1
2020/21,City of Edinburgh,0-17 years,Long Stay,Number of People,0,65
2020/21,City of Edinburgh,18-64 years,All Stays,"Rate per 1,000 People",0.7,1.4
2020/21,City of Edinburgh,18-64 years,All Stays,Number of People,270,4695
2020/21,City of Edinburgh,18-64 years,Short Stay / Respite,"Rate per 1,000 People",0.1,0.3
2020/21,City of Edinburgh,18-64 years,Short Stay / Respite,Number of People,20,960
2020/21,City of Edinburgh,18-64 years,Long Stay,"Rate per 1,000 People",0.7,1.2
2020/21,City of Edinburgh,18-64 years,Long Stay,Number of People,260,3965
2020/21,City of Edinburgh,65-74 years,All Stays,"Rate per 1,000 People",7.9,8.7
2020/21,City of Edinburgh,65-74 years,All Stays,Number of People,345,5105
2020/21,City of Edinburgh,65-74 years,Short Stay / Respite,"Rate per 1,000 People",0.5,1.2
2020/21,City of Edinburgh,65-74 years,Short Stay / Respite,Number of People,20,695
2020/21,City of Edinburgh,65-74 years,Long Stay,"Rate per 1,000 People",7.6,7.9
2020/21,City of Edinburgh,65-74 years,Long Stay,Number of People,330,4650
2020/21,City of Edinburgh,75-84 years,All Stays,"Rate per 1,000 People",39.7,42.3
2020/21,City of Edinburgh,75-84 years,All Stays,Number of People,995,14450
2020/21,City of Edinburgh,75-84 years,Short Stay / Respite,"Rate per 1,000 People",2.6,5.9
2020/21,City of Edinburgh,75-84 years,Short Stay / Respite,Number of People,65,2015
2020/21,City of Edinburgh,75-84 years,Long Stay,"Rate per 1,000 People",37.9,38.5
2020/21,City of Edinburgh,75-84 years,Long Stay,Number of People,950,13165
2020/21,City of Edinburgh,85+ years,All Stays,"Rate per 1,000 People",179,184.8
2020/21,City of Edinburgh,85+ years,All Stays,Number of People,2040,23715
2020/21,City of Edinburgh,85+ years,Short Stay / Respite,"Rate per 1,000 People",8.8,20.5
2020/21,City of Edinburgh,85+ years,Short Stay / Respite,Number of People,100,2625
2020/21,City of Edinburgh,85+ years,Long Stay,"Rate per 1,000 People",173.8,172
2020/21,City of Edinburgh,85+ years,Long Stay,Number of People,1980,22065
2020/21,City of Edinburgh,Unknown,All Stays,"Rate per 1,000 People",0,0
2020/21,City of Edinburgh,Unknown,All Stays,Number of People,0,0
2020/21,City of Edinburgh,Unknown,Long Stay,"Rate per 1,000 People",0,0
2020/21,City of Edinburgh,Unknown,Long Stay,Number of People,0,0
2020/21,Clackmannanshire,All Ages,All Stays,"Rate per 1,000 People",7.8,8.8
2020/21,Clackmannanshire,All Ages,All Stays,Number of People,400,48040
2020/21,Clackmannanshire,All Ages,Short Stay / Respite,"Rate per 1,000 People",0.7,1.2
2020/21,Clackmannanshire,All Ages,Short Stay / Respite,Number of People,35,6300
2020/21,Clackmannanshire,All Ages,Long Stay,"Rate per 1,000 People",7.3,8
2020/21,Clackmannanshire,All Ages,Long Stay,Number of People,375,43910
2020/21,Clackmannanshire,0-17 years,All Stays,"Rate per 1,000 People",0,0.1
2020/21,Clackmannanshire,0-17 years,All Stays,Number of People,0,70
2020/21,Clackmannanshire,0-17 years,Short Stay / Respite,"Rate per 1,000 People",0,0
2020/21,Clackmannanshire,0-17 years,Short Stay / Respite,Number of People,0,5
2020/21,Clackmannanshire,0-17 years,Long Stay,"Rate per 1,000 People",0,0.1
2020/21,Clackmannanshire,0-17 years,Long Stay,Number of People,0,65
2020/21,Clackmannanshire,18-64 years,All Stays,"Rate per 1,000 People",2.3,1.4
2020/21,Clackmannanshire,18-64 years,All Stays,Number of People,70,4695
2020/21,Clackmannanshire,18-64 years,Short Stay / Respite,"Rate per 1,000 People",0.2,0.3
2020/21,Clackmannanshire,18-64 years,Short Stay / Respite,Number of People,5,960
2020/21,Clackmannanshire,18-64 years,Long Stay,"Rate per 1,000 People",2.1,1.2
2020/21,Clackmannanshire,18-64 years,Long Stay,Number of People,65,3965
2020/21,Clackmannanshire,65-74 years,All Stays,"Rate per 1,000 People",8.2,8.7
2020/21,Clackmannanshire,65-74 years,All Stays,Number of People,50,5105
2020/21,Clackmannanshire,65-74 years,Short Stay / Respite,"Rate per 1,000 People",0.8,1.2
2020/21,Clackmannanshire,65-74 years,Short Stay / Respite,Number of People,5,695
2020/21,Clackmannanshire,65-74 years,Long Stay,"Rate per 1,000 People",7.4,7.9
2020/21,Clackmannanshire,65-74 years,Long Stay,Number of People,45,4650
2020/21,Clackmannanshire,75-84 years,All Stays,"Rate per 1,000 People",39.6,42.3
2020/21,Clackmannanshire,75-84 years,All Stays,Number of People,135,14450
2020/21,Clackmannanshire,75-84 years,Short Stay / Respite,"Rate per 1,000 People",4.4,5.9
2020/21,Clackmannanshire,75-84 years,Short Stay / Respite,Number of People,15,2015
2020/21,Clackmannanshire,75-84 years,Long Stay,"Rate per 1,000 People",36.7,38.5
2020/21,Clackmannanshire,75-84 years,Long Stay,Number of People,125,13165
2020/21,Clackmannanshire,85+ years,All Stays,"Rate per 1,000 People",138.5,184.8
2020/21,Clackmannanshire,85+ years,All Stays,Number of People,145,23715
2020/21,Clackmannanshire,85+ years,Short Stay / Respite,"Rate per 1,000 People",9.6,20.5
2020/21,Clackmannanshire,85+ years,Short Stay / Respite,Number of People,10,2625
2020/21,Clackmannanshire,85+ years,Long Stay,"Rate per 1,000 People",128.9,172
2020/21,Clackmannanshire,85+ years,Long Stay,Number of People,135,22065
2020/21,Dumfries and Galloway,All Ages,All Stays,"Rate per 1,000 People",10.6,8.8
2020/21,Dumfries and Galloway,All Ages,All Stays,Number of People,1565,48040
2020/21,Dumfries and Galloway,All Ages,Short Stay / Respite,"Rate per 1,000 People",1.6,1.2
2020/21,Dumfries and Galloway,All Ages,Short Stay / Respite,Number of People,230,6300
2020/21,Dumfries and Galloway,All Ages,Long Stay,"Rate per 1,000 People",9.5,8
2020/21,Dumfries and Galloway,All Ages,Long Stay,Number of People,1415,43910
2020/21,Dumfries and Galloway,0-17 years,All Stays,"Rate per 1,000 People",0,0.1
2020/21,Dumfries and Galloway,0-17 years,All Stays,Number of People,0,70
2020/21,Dumfries and Galloway,0-17 years,Short Stay / Respite,"Rate per 1,000 People",0,0
2020/21,Dumfries and Galloway,0-17 years,Short Stay / Respite,Number of People,0,5
2020/21,Dumfries and Galloway,0-17 years,Long Stay,"Rate per 1,000 People",0,0.1
2020/21,Dumfries and Galloway,0-17 years,Long Stay,Number of People,0,65
2020/21,Dumfries and Galloway,18-64 years,All Stays,"Rate per 1,000 People",0.8,1.4
2020/21,Dumfries and Galloway,18-64 years,All Stays,Number of People,70,4695
2020/21,Dumfries and Galloway,18-64 years,Short Stay / Respite,"Rate per 1,000 People",0.1,0.3
2020/21,Dumfries and Galloway,18-64 years,Short Stay / Respite,Number of People,10,960
2020/21,Dumfries and Galloway,18-64 years,Long Stay,"Rate per 1,000 People",0.8,1.2
2020/21,Dumfries and Galloway,18-64 years,Long Stay,Number of People,65,3965
2020/21,Dumfries and Galloway,65-74 years,All Stays,"Rate per 1,000 People",7.8,8.7
2020/21,Dumfries and Galloway,65-74 years,All Stays,Number of People,165,5105
2020/21,Dumfries and Galloway,65-74 years,Short Stay / Respite,"Rate per 1,000 People",0.9,1.2
2020/21,Dumfries and Galloway,65-74 years,Short Stay / Respite,Number of People,20,695
2020/21,Dumfries and Galloway,65-74 years,Long Stay,"Rate per 1,000 People",7.1,7.9
2020/21,Dumfries and Galloway,65-74 years,Long Stay,Number of People,150,4650
2020/21,Dumfries and Galloway,75-84 years,All Stays,"Rate per 1,000 People",38.1,42.3
2020/21,Dumfries and Galloway,75-84 years,All Stays,Number of People,500,14450
2020/21,Dumfries and Galloway,75-84 years,Short Stay / Respite,"Rate per 1,000 People",6.9,5.9
2020/21,Dumfries and Galloway,75-84 years,Short Stay / Respite,Number of People,90,2015
2020/21,Dumfries and Galloway,75-84 years,Long Stay,"Rate per 1,000 People",33.9,38.5
2020/21,Dumfries and Galloway,75-84 years,Long Stay,Number of People,445,13165
2020/21,Dumfries and Galloway,85+ years,All Stays,"Rate per 1,000 People",177.2,184.8
2020/21,Dumfries and Galloway,85+ years,All Stays,Number of People,830,23715
2020/21,Dumfries and Galloway,85+ years,Short Stay / Respite,"Rate per 1,000 People",23.5,20.5
2020/21,Dumfries and Galloway,85+ years,Short Stay / Respite,Number of People,110,2625
2020/21,Dumfries and Galloway,85+ years,Long Stay,"Rate per 1,000 People",160.2,172
2020/21,Dumfries and Galloway,85+ years,Long Stay,Number of People,750,22065
2020/21,Dundee City,All Ages,All Stays,"Rate per 1,000 People",10.3,8.8
2020/21,Dundee City,All Ages,All Stays,Number of People,1540,48040
2020/21,Dundee City,All Ages,Short Stay / Respite,"Rate per 1,000 People",1.6,1.2
2020/21,Dundee City,All Ages,Short Stay / Respite,Number of People,235,6300
2020/21,Dundee City,All Ages,Long Stay,"Rate per 1,000 People",9.4,8
2020/21,Dundee City,All Ages,Long Stay,Number of People,1400,43910
2020/21,Dundee City,0-17 years,All Stays,"Rate per 1,000 People",0,0.1
2020/21,Dundee City,0-17 years,All Stays,Number of People,0,70
2020/21,Dundee City,0-17 years,Short Stay / Respite,"Rate per 1,000 People",0,0
2020/21,Dundee City,0-17 years,Short Stay / Respite,Number of People,0,5
2020/21,Dundee City,0-17 years,Long Stay,"Rate per 1,000 People",0,0.1
2020/21,Dundee City,0-17 years,Long Stay,Number of People,0,65
2020/21,Dundee City,18-64 years,All Stays,"Rate per 1,000 People",1.3,1.4
2020/21,Dundee City,18-64 years,All Stays,Number of People,125,4695
2020/21,Dundee City,18-64 years,Short Stay / Respite,"Rate per 1,000 People",0.4,0.3
2020/21,Dundee City,18-64 years,Short Stay / Respite,Number of People,40,960
2020/21,Dundee City,18-64 years,Long Stay,"Rate per 1,000 People",1,1.2
2020/21,Dundee City,18-64 years,Long Stay,Number of People,100,3965
2020/21,Dundee City,65-74 years,All Stays,"Rate per 1,000 People",11.9,8.7
2020/21,Dundee City,65-74 years,All Stays,Number of People,165,5105
2020/21,Dundee City,65-74 years,Short Stay / Respite,"Rate per 1,000 People",2.2,1.2
2020/21,Dundee City,65-74 years,Short Stay / Respite,Number of People,30,695
2020/21,Dundee City,65-74 years,Long Stay,"Rate per 1,000 People",10.8,7.9
2020/21,Dundee City,65-74 years,Long Stay,Number of People,150,4650
2020/21,Dundee City,75-84 years,All Stays,"Rate per 1,000 People",54.3,42.3
2020/21,Dundee City,75-84 years,All Stays,Number of People,460,14450
2020/21,Dundee City,75-84 years,Short Stay / Respite,"Rate per 1,000 People",8.3,5.9
2020/21,Dundee City,75-84 years,Short Stay / Respite,Number of People,70,2015
2020/21,Dundee City,75-84 years,Long Stay,"Rate per 1,000 People",49.6,38.5
2020/21,Dundee City,75-84 years,Long Stay,Number of People,420,13165
2020/21,Dundee City,85+ years,All Stays,"Rate per 1,000 People",213.5,184.8
2020/21,Dundee City,85+ years,All Stays,Number of People,785,23715
2020/21,Dundee City,85+ years,Short Stay / Respite,"Rate per 1,000 People",25.8,20.5
2020/21,Dundee City,85+ years,Short Stay / Respite,Number of People,95,2625
2020/21,Dundee City,85+ years,Long Stay,"Rate per 1,000 People",197.2,172
2020/21,Dundee City,85+ years,Long Stay,Number of People,725,22065
2020/21,East Ayrshire,All Ages,All Stays,"Rate per 1,000 People",8.6,8.8
2020/21,East Ayrshire,All Ages,All Stays,Number of People,1040,48040
2020/21,East Ayrshire,All Ages,Short Stay / Respite,"Rate per 1,000 People",1.2,1.2
2020/21,East Ayrshire,All Ages,Short Stay / Respite,Number of People,140,6300
2020/21,East Ayrshire,All Ages,Long Stay,"Rate per 1,000 People",8,8
2020/21,East Ayrshire,All Ages,Long Stay,Number of People,970,43910
2020/21,East Ayrshire,0-17 years,All Stays,"Rate per 1,000 People",0,0.1
2020/21,East Ayrshire,0-17 years,All Stays,Number of People,0,70
2020/21,East Ayrshire,0-17 years,Short Stay / Respite,"Rate per 1,000 People",0,0
2020/21,East Ayrshire,0-17 years,Short Stay / Respite,Number of People,0,5
2020/21,East Ayrshire,0-17 years,Long Stay,"Rate per 1,000 People",0,0.1
2020/21,East Ayrshire,0-17 years,Long Stay,Number of People,0,65
2020/21,East Ayrshire,18-64 years,All Stays,"Rate per 1,000 People",1.2,1.4
2020/21,East Ayrshire,18-64 years,All Stays,Number of People,90,4695
2020/21,East Ayrshire,18-64 years,Short Stay / Respite,"Rate per 1,000 People",0.1,0.3
2020/21,East Ayrshire,18-64 years,Short Stay / Respite,Number of People,5,960
2020/21,East Ayrshire,18-64 years,Long Stay,"Rate per 1,000 People",1.2,1.2
2020/21,East Ayrshire,18-64 years,Long Stay,Number of People,85,3965
2020/21,East Ayrshire,65-74 years,All Stays,"Rate per 1,000 People",9.1,8.7
2020/21,East Ayrshire,65-74 years,All Stays,Number of People,130,5105
2020/21,East Ayrshire,65-74 years,Short Stay / Respite,"Rate per 1,000 People",1.7,1.2
2020/21,East Ayrshire,65-74 years,Short Stay / Respite,Number of People,25,695
2020/21,East Ayrshire,65-74 years,Long Stay,"Rate per 1,000 People",8.4,7.9
2020/21,East Ayrshire,65-74 years,Long Stay,Number of People,120,4650
2020/21,East Ayrshire,75-84 years,All Stays,"Rate per 1,000 People",44.2,42.3
2020/21,East Ayrshire,75-84 years,All Stays,Number of People,360,14450
2020/21,East Ayrshire,75-84 years,Short Stay / Respite,"Rate per 1,000 People",6.8,5.9
2020/21,East Ayrshire,75-84 years,Short Stay / Respite,Number of People,55,2015
2020/21,East Ayrshire,75-84 years,Long Stay,"Rate per 1,000 People",39.9,38.5
2020/21,East Ayrshire,75-84 years,Long Stay,Number of People,325,13165
2020/21,East Ayrshire,85+ years,All Stays,"Rate per 1,000 People",168.3,184.8
2020/21,East Ayrshire,85+ years,All Stays,Number of People,460,23715
2020/21,East Ayrshire,85+ years,Short Stay / Respite,"Rate per 1,000 People",20.1,20.5
2020/21,East Ayrshire,85+ years,Short Stay / Respite,Number of People,55,2625
2020/21,East Ayrshire,85+ years,Long Stay,"Rate per 1,000 People",161,172
2020/21,East Ayrshire,85+ years,Long Stay,Number of People,440,22065
2020/21,East Dunbartonshire,All Ages,All Stays,"Rate per 1,000 People",10.9,8.8
2020/21,East Dunbartonshire,All Ages,All Stays,Number of People,1190,48040
2020/21,East Dunbartonshire,All Ages,Short Stay / Respite,"Rate per 1,000 People",1.7,1.2
2020/21,East Dunbartonshire,All Ages,Short Stay / Respite,Number of People,190,6300
2020/21,East Dunbartonshire,All Ages,Long Stay,"Rate per 1,000 People",9.7,8
2020/21,East Dunbartonshire,All Ages,Long Stay,Number of People,1050,43910
2020/21,East Dunbartonshire,0-17 years,All Stays,"Rate per 1,000 People",0,0.1
2020/21,East Dunbartonshire,0-17 years,All Stays,Number of People,0,70
2020/21,East Dunbartonshire,0-17 years,Short Stay / Respite,"Rate per 1,000 People",0,0
2020/21,East Dunbartonshire,0-17 years,Short Stay / Respite,Number of People,0,5
2020/21,East Dunbartonshire,0-17 years,Long Stay,"Rate per 1,000 People",0,0.1
2020/21,East Dunbartonshire,0-17 years,Long Stay,Number of People,0,65
2020/21,East Dunbartonshire,18-64 years,All Stays,"Rate per 1,000 People",1.7,1.4
2020/21,East Dunbartonshire,18-64 years,All Stays,Number of People,105,4695
2020/21,East Dunbartonshire,18-64 years,Short Stay / Respite,"Rate per 1,000 People",0.9,0.3
2020/21,East Dunbartonshire,18-64 years,Short Stay / Respite,Number of People,55,960
2020/21,East Dunbartonshire,18-64 years,Long Stay,"Rate per 1,000 People",0.9,1.2
2020/21,East Dunbartonshire,18-64 years,Long Stay,Number of People,55,3965
2020/21,East Dunbartonshire,65-74 years,All Stays,"Rate per 1,000 People",6.6,8.7
2020/21,East Dunbartonshire,65-74 years,All Stays,Number of People,85,5105
2020/21,East Dunbartonshire,65-74 years,Short Stay / Respite,"Rate per 1,000 People",0.8,1.2
2020/21,East Dunbartonshire,65-74 years,Short Stay / Respite,Number of People,10,695
2020/21,East Dunbartonshire,65-74 years,Long Stay,"Rate per 1,000 People",6.2,7.9
2020/21,East Dunbartonshire,65-74 years,Long Stay,Number of People,80,4650
2020/21,East Dunbartonshire,75-84 years,All Stays,"Rate per 1,000 People",43.3,42.3
2020/21,East Dunbartonshire,75-84 years,All Stays,Number of People,365,14450
2020/21,East Dunbartonshire,75-84 years,Short Stay / Respite,"Rate per 1,000 People",6.5,5.9
2020/21,East Dunbartonshire,75-84 years,Short Stay / Respite,Number of People,55,2015
2020/21,East Dunbartonshire,75-84 years,Long Stay,"Rate per 1,000 People",39.1,38.5
2020/21,East Dunbartonshire,75-84 years,Long Stay,Number of People,330,13165
2020/21,East Dunbartonshire,85+ years,All Stays,"Rate per 1,000 People",187.8,184.8
2020/21,East Dunbartonshire,85+ years,All Stays,Number of People,630,23715
2020/21,East Dunbartonshire,85+ years,Short Stay / Respite,"Rate per 1,000 People",19.4,20.5
2020/21,East Dunbartonshire,85+ years,Short Stay / Respite,Number of People,65,2625
2020/21,East Dunbartonshire,85+ years,Long Stay,"Rate per 1,000 People",174.4,172
2020/21,East Dunbartonshire,85+ years,Long Stay,Number of People,585,22065
2020/21,East Lothian,All Ages,All Stays,"Rate per 1,000 People",8.4,8.8
2020/21,East Lothian,All Ages,All Stays,Number of People,910,48040
2020/21,East Lothian,All Ages,Short Stay / Respite,"Rate per 1,000 People",0.6,1.2
2020/21,East Lothian,All Ages,Short Stay / Respite,Number of People,70,6300
2020/21,East Lothian,All Ages,Long Stay,"Rate per 1,000 People",8.1,8
2020/21,East Lothian,All Ages,Long Stay,Number of People,870,43910
2020/21,East Lothian,0-17 years,All Stays,"Rate per 1,000 People",0,0.1
2020/21,East Lothian,0-17 years,All Stays,Number of People,0,70
2020/21,East Lothian,0-17 years,Short Stay / Respite,"Rate per 1,000 People",0,0
2020/21,East Lothian,0-17 years,Short Stay / Respite,Number of People,0,5
