financial_year,sending_location,age_group,cah_status,percentage,nclient
2019/20,Shetland Islands,65-74 years,Care at Home Service Received,47.1,40
2019/20,Shetland Islands,65-74 years,No Care at Home Service Received,52.9,45
2019/20,Shetland Islands,75-84 years,Care at Home Service Received,36.5,95
2019/20,Shetland Islands,75-84 years,No Care at Home Service Received,63.5,165
2019/20,Shetland Islands,85+ years,Care at Home Service Received,51,130
2019/20,Shetland Islands,85+ years,No Care at Home Service Received,49,125
2020/21,Shetland Islands,All Ages,Care at Home Service Received,41.9,285
2020/21,Shetland Islands,All Ages,No Care at Home Service Received,58.1,395
2020/21,Shetland Islands,18-64 years,Care at Home Service Received,28.6,20
2020/21,Shetland Islands,18-64 years,No Care at Home Service Received,71.4,50
2020/21,Shetland Islands,65-74 years,Care at Home Service Received,46.2,30
2020/21,Shetland Islands,65-74 years,No Care at Home Service Received,53.8,35
2020/21,Shetland Islands,75-84 years,Care at Home Service Received,38.9,105
2020/21,Shetland Islands,75-84 years,No Care at Home Service Received,61.1,165
2020/21,Shetland Islands,85+ years,Care at Home Service Received,47.2,125
2020/21,Shetland Islands,85+ years,No Care at Home Service Received,52.8,140
2021/22,Shetland Islands,All Ages,Care at Home Service Received,47.6,340
2021/22,Shetland Islands,All Ages,No Care at Home Service Received,52.4,375
2021/22,Shetland Islands,0-17 years,Care at Home Service Received,NA,0
2021/22,Shetland Islands,0-17 years,No Care at Home Service Received,NA,0
2021/22,Shetland Islands,18-64 years,Care at Home Service Received,35.7,25
2021/22,Shetland Islands,18-64 years,No Care at Home Service Received,64.3,45
2021/22,Shetland Islands,65-74 years,Care at Home Service Received,41.2,35
2021/22,Shetland Islands,65-74 years,No Care at Home Service Received,58.8,50
2021/22,Shetland Islands,75-84 years,Care at Home Service Received,47.4,135
2021/22,Shetland Islands,75-84 years,No Care at Home Service Received,52.6,150
2021/22,Shetland Islands,85+ years,Care at Home Service Received,53.6,150
2021/22,Shetland Islands,85+ years,No Care at Home Service Received,46.4,130
2018/19,South Ayrshire,All Ages,Care at Home Service Received,49.1,1630
2018/19,South Ayrshire,All Ages,No Care at Home Service Received,50.9,1690
2018/19,South Ayrshire,0-17 years,Care at Home Service Received,0,0
2018/19,South Ayrshire,0-17 years,No Care at Home Service Received,100,5
2018/19,South Ayrshire,18-64 years,Care at Home Service Received,48.6,175
2018/19,South Ayrshire,18-64 years,No Care at Home Service Received,51.4,185
2018/19,South Ayrshire,65-74 years,Care at Home Service Received,52.4,220
2018/19,South Ayrshire,65-74 years,No Care at Home Service Received,47.6,200
2018/19,South Ayrshire,75-84 years,Care at Home Service Received,48.3,565
2018/19,South Ayrshire,75-84 years,No Care at Home Service Received,51.7,605
2018/19,South Ayrshire,85+ years,Care at Home Service Received,49.5,675
2018/19,South Ayrshire,85+ years,No Care at Home Service Received,50.5,690
2018/19,Stirling,All Ages,Care at Home Service Received,45.5,1215
2018/19,Stirling,All Ages,No Care at Home Service Received,54.5,1455
2018/19,Stirling,0-17 years,Care at Home Service Received,NA,0
2018/19,Stirling,0-17 years,No Care at Home Service Received,NA,0
2018/19,Stirling,18-64 years,Care at Home Service Received,46.4,130
2018/19,Stirling,18-64 years,No Care at Home Service Received,53.6,150
2018/19,Stirling,65-74 years,Care at Home Service Received,43.1,140
2018/19,Stirling,65-74 years,No Care at Home Service Received,56.9,185
2018/19,Stirling,75-84 years,Care at Home Service Received,42.3,410
2018/19,Stirling,75-84 years,No Care at Home Service Received,57.7,560
2018/19,Stirling,85+ years,Care at Home Service Received,48.6,530
2018/19,Stirling,85+ years,No Care at Home Service Received,51.4,560
2019/20,Stirling,All Ages,Care at Home Service Received,43.2,1130
2019/20,Stirling,All Ages,No Care at Home Service Received,56.8,1485
2019/20,Stirling,0-17 years,Care at Home Service Received,NA,0
2019/20,Stirling,0-17 years,No Care at Home Service Received,NA,0
2019/20,Stirling,18-64 years,Care at Home Service Received,46.2,120
2019/20,Stirling,18-64 years,No Care at Home Service Received,53.8,140
2019/20,Stirling,65-74 years,Care at Home Service Received,40.7,120
2019/20,Stirling,65-74 years,No Care at Home Service Received,59.3,175
2019/20,Stirling,75-84 years,Care at Home Service Received,39.6,390
2019/20,Stirling,75-84 years,No Care at Home Service Received,60.4,595
2019/20,Stirling,85+ years,Care at Home Service Received,47,505
2019/20,Stirling,85+ years,No Care at Home Service Received,53,570
2020/21,Stirling,All Ages,Care at Home Service Received,43.9,1105
2020/21,Stirling,All Ages,No Care at Home Service Received,56.1,1410
2020/21,Stirling,18-64 years,Care at Home Service Received,50,125
2020/21,Stirling,18-64 years,No Care at Home Service Received,50,125
2020/21,Stirling,65-74 years,Care at Home Service Received,43.1,125
2020/21,Stirling,65-74 years,No Care at Home Service Received,56.9,165
2020/21,Stirling,75-84 years,Care at Home Service Received,41.4,375
2020/21,Stirling,75-84 years,No Care at Home Service Received,58.6,530
2020/21,Stirling,85+ years,Care at Home Service Received,45.1,480
2020/21,Stirling,85+ years,No Care at Home Service Received,54.9,585
2021/22,Stirling,All Ages,Care at Home Service Received,43.1,1020
2021/22,Stirling,All Ages,No Care at Home Service Received,56.9,1345
2021/22,Stirling,18-64 years,Care at Home Service Received,48.9,115
2021/22,Stirling,18-64 years,No Care at Home Service Received,51.1,120
2021/22,Stirling,65-74 years,Care at Home Service Received,38.5,100
2021/22,Stirling,65-74 years,No Care at Home Service Received,61.5,160
2021/22,Stirling,75-84 years,Care at Home Service Received,43,370
2021/22,Stirling,75-84 years,No Care at Home Service Received,57,490
2021/22,Stirling,85+ years,Care at Home Service Received,42.8,430
2021/22,Stirling,85+ years,No Care at Home Service Received,57.2,575
2018/19,West Dunbartonshire,All Ages,Care at Home Service Received,56.9,1595
2018/19,West Dunbartonshire,All Ages,No Care at Home Service Received,43.1,1210
2018/19,West Dunbartonshire,0-17 years,Care at Home Service Received,0,0
2018/19,West Dunbartonshire,0-17 years,No Care at Home Service Received,100,5
2018/19,West Dunbartonshire,18-64 years,Care at Home Service Received,38.3,155
2018/19,West Dunbartonshire,18-64 years,No Care at Home Service Received,61.7,250
2018/19,West Dunbartonshire,65-74 years,Care at Home Service Received,57.1,300
2018/19,West Dunbartonshire,65-74 years,No Care at Home Service Received,42.9,225
2018/19,West Dunbartonshire,75-84 years,Care at Home Service Received,57,570
2018/19,West Dunbartonshire,75-84 years,No Care at Home Service Received,43,430
2018/19,West Dunbartonshire,85+ years,Care at Home Service Received,65.5,570
2018/19,West Dunbartonshire,85+ years,No Care at Home Service Received,34.5,300
2019/20,West Dunbartonshire,All Ages,Care at Home Service Received,58.6,1640
2019/20,West Dunbartonshire,All Ages,No Care at Home Service Received,41.4,1160
2019/20,West Dunbartonshire,0-17 years,Care at Home Service Received,0,0
2019/20,West Dunbartonshire,0-17 years,No Care at Home Service Received,100,10
2019/20,West Dunbartonshire,18-64 years,Care at Home Service Received,39.5,160
2019/20,West Dunbartonshire,18-64 years,No Care at Home Service Received,60.5,245
2019/20,West Dunbartonshire,65-74 years,Care at Home Service Received,59.4,315
2019/20,West Dunbartonshire,65-74 years,No Care at Home Service Received,40.6,215
2019/20,West Dunbartonshire,75-84 years,Care at Home Service Received,60.2,590
2019/20,West Dunbartonshire,75-84 years,No Care at Home Service Received,39.8,390
2019/20,West Dunbartonshire,85+ years,Care at Home Service Received,65.7,575
2019/20,West Dunbartonshire,85+ years,No Care at Home Service Received,34.3,300
2020/21,West Dunbartonshire,All Ages,Care at Home Service Received,57.3,1485
2020/21,West Dunbartonshire,All Ages,No Care at Home Service Received,42.7,1105
2020/21,West Dunbartonshire,0-17 years,Care at Home Service Received,0,0
2020/21,West Dunbartonshire,0-17 years,No Care at Home Service Received,100,15
2020/21,West Dunbartonshire,18-64 years,Care at Home Service Received,38,135
2020/21,West Dunbartonshire,18-64 years,No Care at Home Service Received,62,220
2020/21,West Dunbartonshire,65-74 years,Care at Home Service Received,59.1,275
2020/21,West Dunbartonshire,65-74 years,No Care at Home Service Received,40.9,190
2020/21,West Dunbartonshire,75-84 years,Care at Home Service Received,58,525
2020/21,West Dunbartonshire,75-84 years,No Care at Home Service Received,42,380
2020/21,West Dunbartonshire,85+ years,Care at Home Service Received,64.9,555
2020/21,West Dunbartonshire,85+ years,No Care at Home Service Received,35.1,300
2021/22,West Dunbartonshire,All Ages,Care at Home Service Received,60.6,1490
2021/22,West Dunbartonshire,All Ages,No Care at Home Service Received,39.4,970
2021/22,West Dunbartonshire,0-17 years,Care at Home Service Received,0,0
2021/22,West Dunbartonshire,0-17 years,No Care at Home Service Received,100,5
2021/22,West Dunbartonshire,18-64 years,Care at Home Service Received,46.9,150
2021/22,West Dunbartonshire,18-64 years,No Care at Home Service Received,53.1,170
2021/22,West Dunbartonshire,65-74 years,Care at Home Service Received,60.7,270
2021/22,West Dunbartonshire,65-74 years,No Care at Home Service Received,39.3,175
2021/22,West Dunbartonshire,75-84 years,Care at Home Service Received,59.5,500
2021/22,West Dunbartonshire,75-84 years,No Care at Home Service Received,40.5,340
2021/22,West Dunbartonshire,85+ years,Care at Home Service Received,67.1,570
2021/22,West Dunbartonshire,85+ years,No Care at Home Service Received,32.9,280
2018/19,West Lothian,All Ages,Care at Home Service Received,30.5,1570
2018/19,West Lothian,All Ages,No Care at Home Service Received,69.5,3570
2018/19,West Lothian,0-17 years,Care at Home Service Received,0,0
2018/19,West Lothian,0-17 years,No Care at Home Service Received,100,25
2018/19,West Lothian,18-64 years,Care at Home Service Received,31,330
2018/19,West Lothian,18-64 years,No Care at Home Service Received,69,735
2018/19,West Lothian,65-74 years,Care at Home Service Received,27.5,275
2018/19,West Lothian,65-74 years,No Care at Home Service Received,72.5,725
2018/19,West Lothian,75-84 years,Care at Home Service Received,28.7,540
2018/19,West Lothian,75-84 years,No Care at Home Service Received,71.3,1340
2018/19,West Lothian,85+ years,Care at Home Service Received,36.3,425
2018/19,West Lothian,85+ years,No Care at Home Service Received,63.7,745
2019/20,West Lothian,All Ages,Care at Home Service Received,31,1390
2019/20,West Lothian,All Ages,No Care at Home Service Received,69,3090
2019/20,West Lothian,0-17 years,Care at Home Service Received,0,0
2019/20,West Lothian,0-17 years,No Care at Home Service Received,100,15
2019/20,West Lothian,18-64 years,Care at Home Service Received,33.3,295
2019/20,West Lothian,18-64 years,No Care at Home Service Received,66.7,590
2019/20,West Lothian,65-74 years,Care at Home Service Received,28.3,225
2019/20,West Lothian,65-74 years,No Care at Home Service Received,71.7,570
2019/20,West Lothian,75-84 years,Care at Home Service Received,28.4,465
2019/20,West Lothian,75-84 years,No Care at Home Service Received,71.6,1175
2019/20,West Lothian,85+ years,Care at Home Service Received,35.1,400
2019/20,West Lothian,85+ years,No Care at Home Service Received,64.9,740
2020/21,West Lothian,All Ages,Care at Home Service Received,32.6,1405
2020/21,West Lothian,All Ages,No Care at Home Service Received,67.4,2905
2020/21,West Lothian,0-17 years,Care at Home Service Received,0,0
2020/21,West Lothian,0-17 years,No Care at Home Service Received,100,15
2020/21,West Lothian,18-64 years,Care at Home Service Received,33.5,280
2020/21,West Lothian,18-64 years,No Care at Home Service Received,66.5,555
2020/21,West Lothian,65-74 years,Care at Home Service Received,31.8,245
2020/21,West Lothian,65-74 years,No Care at Home Service Received,68.2,525
2020/21,West Lothian,75-84 years,Care at Home Service Received,29.4,455
2020/21,West Lothian,75-84 years,No Care at Home Service Received,70.6,1095
2020/21,West Lothian,85+ years,Care at Home Service Received,37.1,425
2020/21,West Lothian,85+ years,No Care at Home Service Received,62.9,720
2021/22,West Lothian,All Ages,Care at Home Service Received,31.8,1355
2021/22,West Lothian,All Ages,No Care at Home Service Received,68.2,2910
2021/22,West Lothian,0-17 years,Care at Home Service Received,0,0
2021/22,West Lothian,0-17 years,No Care at Home Service Received,100,10
2021/22,West Lothian,18-64 years,Care at Home Service Received,33.8,270
2021/22,West Lothian,18-64 years,No Care at Home Service Received,66.2,530
2021/22,West Lothian,65-74 years,Care at Home Service Received,30.1,230
2021/22,West Lothian,65-74 years,No Care at Home Service Received,69.9,535
2021/22,West Lothian,75-84 years,Care at Home Service Received,28.8,435
2021/22,West Lothian,75-84 years,No Care at Home Service Received,71.2,1075
2021/22,West Lothian,85+ years,Care at Home Service Received,35.9,425
2021/22,West Lothian,85+ years,No Care at Home Service Received,64.1,760
