time_period,financial_quarter,sending_location,age_group,hc_service_provider,nclient,percentage
Census Week,2017/18,South Ayrshire,Unknown,Other,0,0
Census Week,2017/18,South Ayrshire,Unknown,Other Local Authority,0,0
Census Week,2017/18,South Ayrshire,Unknown,Private only,0,0
Census Week,2017/18,South Ayrshire,Unknown,Third Sector,0,0
Census Week,2018/19,South Ayrshire,All Ages,Local Authority/Health & Social Care Partnership/NHS Board only,390,21.8
Census Week,2018/19,South Ayrshire,All Ages,Other,0,0
Census Week,2018/19,South Ayrshire,All Ages,Other Local Authority,0,0
Census Week,2018/19,South Ayrshire,All Ages,Private only,1485,83.2
Census Week,2018/19,South Ayrshire,All Ages,Third Sector,0,0
Census Week,2018/19,South Ayrshire,0-17 years,Local Authority/Health & Social Care Partnership/NHS Board only,0,0
Census Week,2018/19,South Ayrshire,0-17 years,Other,0,0
Census Week,2018/19,South Ayrshire,0-17 years,Other Local Authority,0,0
Census Week,2018/19,South Ayrshire,0-17 years,Private only,0,0
Census Week,2018/19,South Ayrshire,0-17 years,Third Sector,0,0
Census Week,2018/19,South Ayrshire,18-64 years,Local Authority/Health & Social Care Partnership/NHS Board only,35,8.8
Census Week,2018/19,South Ayrshire,18-64 years,Other,0,0
Census Week,2018/19,South Ayrshire,18-64 years,Other Local Authority,0,0
Census Week,2018/19,South Ayrshire,18-64 years,Private only,375,93.8
Census Week,2018/19,South Ayrshire,18-64 years,Third Sector,0,0
Census Week,2018/19,South Ayrshire,65-74 years,Local Authority/Health & Social Care Partnership/NHS Board only,70,25
Census Week,2018/19,South Ayrshire,65-74 years,Other,0,0
Census Week,2018/19,South Ayrshire,65-74 years,Other Local Authority,0,0
Census Week,2018/19,South Ayrshire,65-74 years,Private only,220,78.6
Census Week,2018/19,South Ayrshire,65-74 years,Third Sector,0,0
Census Week,2018/19,South Ayrshire,75-84 years,Local Authority/Health & Social Care Partnership/NHS Board only,160,29.1
Census Week,2018/19,South Ayrshire,75-84 years,Other,0,0
Census Week,2018/19,South Ayrshire,75-84 years,Other Local Authority,0,0
Census Week,2018/19,South Ayrshire,75-84 years,Private only,420,76.4
Census Week,2018/19,South Ayrshire,75-84 years,Third Sector,0,0
Census Week,2018/19,South Ayrshire,85+ years,Local Authority/Health & Social Care Partnership/NHS Board only,125,22.5
Census Week,2018/19,South Ayrshire,85+ years,Other,0,0
Census Week,2018/19,South Ayrshire,85+ years,Other Local Authority,0,0
Census Week,2018/19,South Ayrshire,85+ years,Private only,470,84.7
Census Week,2018/19,South Ayrshire,85+ years,Third Sector,0,0
Census Week,2018/19,South Ayrshire,Unknown,Local Authority/Health & Social Care Partnership/NHS Board only,0,0
Census Week,2018/19,South Ayrshire,Unknown,Other,0,0
Census Week,2018/19,South Ayrshire,Unknown,Other Local Authority,0,0
Census Week,2018/19,South Ayrshire,Unknown,Private only,0,0
Census Week,2018/19,South Ayrshire,Unknown,Third Sector,0,0
Census Week,2019/20,South Ayrshire,All Ages,Local Authority/Health & Social Care Partnership/NHS Board only,280,17.6
Census Week,2019/20,South Ayrshire,All Ages,Other,0,0
Census Week,2019/20,South Ayrshire,All Ages,Other Local Authority,0,0
Census Week,2019/20,South Ayrshire,All Ages,Private only,1380,86.5
Census Week,2019/20,South Ayrshire,All Ages,Third Sector,0,0
Census Week,2019/20,South Ayrshire,0-17 years,Local Authority/Health & Social Care Partnership/NHS Board only,0,0
Census Week,2019/20,South Ayrshire,0-17 years,Other,0,0
Census Week,2019/20,South Ayrshire,0-17 years,Other Local Authority,0,0
Census Week,2019/20,South Ayrshire,0-17 years,Private only,0,0
Census Week,2019/20,South Ayrshire,0-17 years,Third Sector,0,0
Census Week,2019/20,South Ayrshire,18-64 years,Local Authority/Health & Social Care Partnership/NHS Board only,25,6
Census Week,2019/20,South Ayrshire,18-64 years,Other,0,0
Census Week,2019/20,South Ayrshire,18-64 years,Other Local Authority,0,0
Census Week,2019/20,South Ayrshire,18-64 years,Private only,395,95.2
Census Week,2019/20,South Ayrshire,18-64 years,Third Sector,0,0
Census Week,2019/20,South Ayrshire,65-74 years,Local Authority/Health & Social Care Partnership/NHS Board only,45,19.6
Census Week,2019/20,South Ayrshire,65-74 years,Other,0,0
Census Week,2019/20,South Ayrshire,65-74 years,Other Local Authority,0,0
Census Week,2019/20,South Ayrshire,65-74 years,Private only,200,87
Census Week,2019/20,South Ayrshire,65-74 years,Third Sector,0,0
Census Week,2019/20,South Ayrshire,75-84 years,Local Authority/Health & Social Care Partnership/NHS Board only,105,21.6
Census Week,2019/20,South Ayrshire,75-84 years,Other,0,0
Census Week,2019/20,South Ayrshire,75-84 years,Other Local Authority,0,0
Census Week,2019/20,South Ayrshire,75-84 years,Private only,400,82.5
Census Week,2019/20,South Ayrshire,75-84 years,Third Sector,0,0
Census Week,2019/20,South Ayrshire,85+ years,Local Authority/Health & Social Care Partnership/NHS Board only,100,21.5
Census Week,2019/20,South Ayrshire,85+ years,Other,0,0
Census Week,2019/20,South Ayrshire,85+ years,Other Local Authority,0,0
Census Week,2019/20,South Ayrshire,85+ years,Private only,385,82.8
Census Week,2019/20,South Ayrshire,85+ years,Third Sector,0,0
Census Week,2019/20,South Ayrshire,Unknown,Local Authority/Health & Social Care Partnership/NHS Board only,0,0
Census Week,2019/20,South Ayrshire,Unknown,Other,0,0
Census Week,2019/20,South Ayrshire,Unknown,Other Local Authority,0,0
Census Week,2019/20,South Ayrshire,Unknown,Private only,0,0
Census Week,2019/20,South Ayrshire,Unknown,Third Sector,0,0
Census Week,2020/21,South Ayrshire,All Ages,Local Authority/Health & Social Care Partnership/NHS Board only,405,23.3
Census Week,2020/21,South Ayrshire,All Ages,Other,0,0
Census Week,2020/21,South Ayrshire,All Ages,Other Local Authority,0,0
Census Week,2020/21,South Ayrshire,All Ages,Private only,1400,80.5
Census Week,2020/21,South Ayrshire,All Ages,Third Sector,0,0
Census Week,2020/21,South Ayrshire,0-17 years,Local Authority/Health & Social Care Partnership/NHS Board only,0,0
Census Week,2020/21,South Ayrshire,0-17 years,Other,0,0
Census Week,2020/21,South Ayrshire,0-17 years,Other Local Authority,0,0
Census Week,2020/21,South Ayrshire,0-17 years,Private only,0,0
Census Week,2020/21,South Ayrshire,0-17 years,Third Sector,0,0
Census Week,2020/21,South Ayrshire,18-64 years,Local Authority/Health & Social Care Partnership/NHS Board only,45,11
Census Week,2020/21,South Ayrshire,18-64 years,Other,0,0
Census Week,2020/21,South Ayrshire,18-64 years,Other Local Authority,0,0
Census Week,2020/21,South Ayrshire,18-64 years,Private only,370,90.2
Census Week,2020/21,South Ayrshire,18-64 years,Third Sector,0,0
Census Week,2020/21,South Ayrshire,65-74 years,Local Authority/Health & Social Care Partnership/NHS Board only,55,22
Census Week,2020/21,South Ayrshire,65-74 years,Other,0,0
Census Week,2020/21,South Ayrshire,65-74 years,Other Local Authority,0,0
Census Week,2020/21,South Ayrshire,65-74 years,Private only,205,82
Census Week,2020/21,South Ayrshire,65-74 years,Third Sector,0,0
Census Week,2020/21,South Ayrshire,75-84 years,Local Authority/Health & Social Care Partnership/NHS Board only,145,28.2
Census Week,2020/21,South Ayrshire,75-84 years,Other,0,0
Census Week,2020/21,South Ayrshire,75-84 years,Other Local Authority,0,0
Census Week,2020/21,South Ayrshire,75-84 years,Private only,395,76.7
Census Week,2020/21,South Ayrshire,75-84 years,Third Sector,0,0
Census Week,2020/21,South Ayrshire,85+ years,Local Authority/Health & Social Care Partnership/NHS Board only,160,28.3
Census Week,2020/21,South Ayrshire,85+ years,Other,0,0
Census Week,2020/21,South Ayrshire,85+ years,Other Local Authority,0,0
Census Week,2020/21,South Ayrshire,85+ years,Private only,425,75.2
Census Week,2020/21,South Ayrshire,85+ years,Third Sector,0,0
Census Week,2020/21,South Ayrshire,Unknown,Local Authority/Health & Social Care Partnership/NHS Board only,0,0
Census Week,2020/21,South Ayrshire,Unknown,Other,0,0
Census Week,2020/21,South Ayrshire,Unknown,Other Local Authority,0,0
Census Week,2020/21,South Ayrshire,Unknown,Private only,0,0
Census Week,2020/21,South Ayrshire,Unknown,Third Sector,0,0
Financial Quarter,2017/18 Q4,South Lanarkshire,All Ages,Local Authority/Health & Social Care Partnership/NHS Board only,2630,63.2
Financial Quarter,2017/18 Q4,South Lanarkshire,All Ages,Other,0,0
Financial Quarter,2017/18 Q4,South Lanarkshire,All Ages,Other Local Authority,0,0
Financial Quarter,2017/18 Q4,South Lanarkshire,All Ages,Private only,1655,39.8
Financial Quarter,2017/18 Q4,South Lanarkshire,All Ages,Third Sector,270,6.5
Financial Quarter,2017/18 Q4,South Lanarkshire,0-17 years,Local Authority/Health & Social Care Partnership/NHS Board only,5,16.7
Financial Quarter,2017/18 Q4,South Lanarkshire,0-17 years,Other,0,0
Financial Quarter,2017/18 Q4,South Lanarkshire,0-17 years,Other Local Authority,0,0
Financial Quarter,2017/18 Q4,South Lanarkshire,0-17 years,Private only,10,33.3
Financial Quarter,2017/18 Q4,South Lanarkshire,0-17 years,Third Sector,15,50
Financial Quarter,2017/18 Q4,South Lanarkshire,18-64 years,Local Authority/Health & Social Care Partnership/NHS Board only,180,27.1
Financial Quarter,2017/18 Q4,South Lanarkshire,18-64 years,Other,0,0
Financial Quarter,2017/18 Q4,South Lanarkshire,18-64 years,Other Local Authority,0,0
Financial Quarter,2017/18 Q4,South Lanarkshire,18-64 years,Private only,355,53.4
Financial Quarter,2017/18 Q4,South Lanarkshire,18-64 years,Third Sector,205,30.8
Financial Quarter,2017/18 Q4,South Lanarkshire,65-74 years,Local Authority/Health & Social Care Partnership/NHS Board only,400,64
Financial Quarter,2017/18 Q4,South Lanarkshire,65-74 years,Other,0,0
Financial Quarter,2017/18 Q4,South Lanarkshire,65-74 years,Other Local Authority,0,0
Financial Quarter,2017/18 Q4,South Lanarkshire,65-74 years,Private only,240,38.4
Financial Quarter,2017/18 Q4,South Lanarkshire,65-74 years,Third Sector,30,4.8
Financial Quarter,2017/18 Q4,South Lanarkshire,75-84 years,Local Authority/Health & Social Care Partnership/NHS Board only,1020,71.3
Financial Quarter,2017/18 Q4,South Lanarkshire,75-84 years,Other,0,0
Financial Quarter,2017/18 Q4,South Lanarkshire,75-84 years,Other Local Authority,0,0
Financial Quarter,2017/18 Q4,South Lanarkshire,75-84 years,Private only,525,36.7
Financial Quarter,2017/18 Q4,South Lanarkshire,75-84 years,Third Sector,10,0.7
Financial Quarter,2017/18 Q4,South Lanarkshire,85+ years,Local Authority/Health & Social Care Partnership/NHS Board only,1020,72.3
Financial Quarter,2017/18 Q4,South Lanarkshire,85+ years,Other,0,0
Financial Quarter,2017/18 Q4,South Lanarkshire,85+ years,Other Local Authority,0,0
Financial Quarter,2017/18 Q4,South Lanarkshire,85+ years,Private only,525,37.2
Financial Quarter,2017/18 Q4,South Lanarkshire,85+ years,Third Sector,10,0.7
Financial Quarter,2017/18 Q4,South Lanarkshire,Unknown,Local Authority/Health & Social Care Partnership/NHS Board only,0,0
Financial Quarter,2017/18 Q4,South Lanarkshire,Unknown,Other,0,0
Financial Quarter,2017/18 Q4,South Lanarkshire,Unknown,Other Local Authority,0,0
Financial Quarter,2017/18 Q4,South Lanarkshire,Unknown,Private only,0,0
Financial Quarter,2017/18 Q4,South Lanarkshire,Unknown,Third Sector,0,0
Financial Quarter,2018/19 Q1,South Lanarkshire,All Ages,Local Authority/Health & Social Care Partnership/NHS Board only,2505,60.6
Financial Quarter,2018/19 Q1,South Lanarkshire,All Ages,Other,0,0
Financial Quarter,2018/19 Q1,South Lanarkshire,All Ages,Other Local Authority,0,0
Financial Quarter,2018/19 Q1,South Lanarkshire,All Ages,Private only,1665,40.3
Financial Quarter,2018/19 Q1,South Lanarkshire,All Ages,Third Sector,265,6.4
Financial Quarter,2018/19 Q1,South Lanarkshire,0-17 years,Local Authority/Health & Social Care Partnership/NHS Board only,5,16.7
Financial Quarter,2018/19 Q1,South Lanarkshire,0-17 years,Other,0,0
Financial Quarter,2018/19 Q1,South Lanarkshire,0-17 years,Other Local Authority,0,0
Financial Quarter,2018/19 Q1,South Lanarkshire,0-17 years,Private only,10,33.3
Financial Quarter,2018/19 Q1,South Lanarkshire,0-17 years,Third Sector,15,50
Financial Quarter,2018/19 Q1,South Lanarkshire,18-64 years,Local Authority/Health & Social Care Partnership/NHS Board only,160,25.8
Financial Quarter,2018/19 Q1,South Lanarkshire,18-64 years,Other,0,0
Financial Quarter,2018/19 Q1,South Lanarkshire,18-64 years,Other Local Authority,0,0
Financial Quarter,2018/19 Q1,South Lanarkshire,18-64 years,Private only,325,52.4
Financial Quarter,2018/19 Q1,South Lanarkshire,18-64 years,Third Sector,200,32.3
Financial Quarter,2018/19 Q1,South Lanarkshire,65-74 years,Local Authority/Health & Social Care Partnership/NHS Board only,340,59.1
Financial Quarter,2018/19 Q1,South Lanarkshire,65-74 years,Other,0,0
Financial Quarter,2018/19 Q1,South Lanarkshire,65-74 years,Other Local Authority,0,0
Financial Quarter,2018/19 Q1,South Lanarkshire,65-74 years,Private only,255,44.3
Financial Quarter,2018/19 Q1,South Lanarkshire,65-74 years,Third Sector,30,5.2
Financial Quarter,2018/19 Q1,South Lanarkshire,75-84 years,Local Authority/Health & Social Care Partnership/NHS Board only,915,68.3
Financial Quarter,2018/19 Q1,South Lanarkshire,75-84 years,Other,0,0
Financial Quarter,2018/19 Q1,South Lanarkshire,75-84 years,Other Local Authority,0,0
Financial Quarter,2018/19 Q1,South Lanarkshire,75-84 years,Private only,485,36.2
Financial Quarter,2018/19 Q1,South Lanarkshire,75-84 years,Third Sector,10,0.7
Financial Quarter,2018/19 Q1,South Lanarkshire,85+ years,Local Authority/Health & Social Care Partnership/NHS Board only,1085,69.1
Financial Quarter,2018/19 Q1,South Lanarkshire,85+ years,Other,0,0
Financial Quarter,2018/19 Q1,South Lanarkshire,85+ years,Other Local Authority,0,0
Financial Quarter,2018/19 Q1,South Lanarkshire,85+ years,Private only,585,37.3
Financial Quarter,2018/19 Q1,South Lanarkshire,85+ years,Third Sector,10,0.6
Financial Quarter,2018/19 Q1,South Lanarkshire,Unknown,Local Authority/Health & Social Care Partnership/NHS Board only,0,0
Financial Quarter,2018/19 Q1,South Lanarkshire,Unknown,Other,0,0
Financial Quarter,2018/19 Q1,South Lanarkshire,Unknown,Other Local Authority,0,0
Financial Quarter,2018/19 Q1,South Lanarkshire,Unknown,Private only,0,0
Financial Quarter,2018/19 Q1,South Lanarkshire,Unknown,Third Sector,0,0
Financial Quarter,2018/19 Q2,South Lanarkshire,All Ages,Local Authority/Health & Social Care Partnership/NHS Board only,2505,59.4
Financial Quarter,2018/19 Q2,South Lanarkshire,All Ages,Other,0,0
Financial Quarter,2018/19 Q2,South Lanarkshire,All Ages,Other Local Authority,5,0.1
Financial Quarter,2018/19 Q2,South Lanarkshire,All Ages,Private only,1765,41.9
Financial Quarter,2018/19 Q2,South Lanarkshire,All Ages,Third Sector,275,6.5
Financial Quarter,2018/19 Q2,South Lanarkshire,0-17 years,Local Authority/Health & Social Care Partnership/NHS Board only,5,14.3
Financial Quarter,2018/19 Q2,South Lanarkshire,0-17 years,Other,0,0
Financial Quarter,2018/19 Q2,South Lanarkshire,0-17 years,Other Local Authority,0,0
Financial Quarter,2018/19 Q2,South Lanarkshire,0-17 years,Private only,10,28.6
Financial Quarter,2018/19 Q2,South Lanarkshire,0-17 years,Third Sector,20,57.1
Financial Quarter,2018/19 Q2,South Lanarkshire,18-64 years,Local Authority/Health & Social Care Partnership/NHS Board only,155,24.6
Financial Quarter,2018/19 Q2,South Lanarkshire,18-64 years,Other,0,0
Financial Quarter,2018/19 Q2,South Lanarkshire,18-64 years,Other Local Authority,0,0
Financial Quarter,2018/19 Q2,South Lanarkshire,18-64 years,Private only,340,54
Financial Quarter,2018/19 Q2,South Lanarkshire,18-64 years,Third Sector,200,31.7
Financial Quarter,2018/19 Q2,South Lanarkshire,65-74 years,Local Authority/Health & Social Care Partnership/NHS Board only,360,59
Financial Quarter,2018/19 Q2,South Lanarkshire,65-74 years,Other,0,0
Financial Quarter,2018/19 Q2,South Lanarkshire,65-74 years,Other Local Authority,0,0
Financial Quarter,2018/19 Q2,South Lanarkshire,65-74 years,Private only,270,44.3
Financial Quarter,2018/19 Q2,South Lanarkshire,65-74 years,Third Sector,30,4.9
Financial Quarter,2018/19 Q2,South Lanarkshire,75-84 years,Local Authority/Health & Social Care Partnership/NHS Board only,920,66.4
Financial Quarter,2018/19 Q2,South Lanarkshire,75-84 years,Other,0,0
Financial Quarter,2018/19 Q2,South Lanarkshire,75-84 years,Other Local Authority,0,0
Financial Quarter,2018/19 Q2,South Lanarkshire,75-84 years,Private only,545,39.4
Financial Quarter,2018/19 Q2,South Lanarkshire,75-84 years,Third Sector,10,0.7
Financial Quarter,2018/19 Q2,South Lanarkshire,85+ years,Local Authority/Health & Social Care Partnership/NHS Board only,1065,68.5
Financial Quarter,2018/19 Q2,South Lanarkshire,85+ years,Other,0,0
Financial Quarter,2018/19 Q2,South Lanarkshire,85+ years,Other Local Authority,5,0.3
Financial Quarter,2018/19 Q2,South Lanarkshire,85+ years,Private only,600,38.6
Financial Quarter,2018/19 Q2,South Lanarkshire,85+ years,Third Sector,15,1
Financial Quarter,2018/19 Q2,South Lanarkshire,Unknown,Local Authority/Health & Social Care Partnership/NHS Board only,0,0
Financial Quarter,2018/19 Q2,South Lanarkshire,Unknown,Other,0,0
Financial Quarter,2018/19 Q2,South Lanarkshire,Unknown,Other Local Authority,0,0
Financial Quarter,2018/19 Q2,South Lanarkshire,Unknown,Private only,0,0
Financial Quarter,2018/19 Q2,South Lanarkshire,Unknown,Third Sector,0,0
Financial Quarter,2018/19 Q3,South Lanarkshire,All Ages,Local Authority/Health & Social Care Partnership/NHS Board only,2435,58.7
Financial Quarter,2018/19 Q3,South Lanarkshire,All Ages,Other,0,0
Financial Quarter,2018/19 Q3,South Lanarkshire,All Ages,Other Local Authority,0,0
Financial Quarter,2018/19 Q3,South Lanarkshire,All Ages,Private only,1800,43.4
Financial Quarter,2018/19 Q3,South Lanarkshire,All Ages,Third Sector,255,6.1
Financial Quarter,2018/19 Q3,South Lanarkshire,0-17 years,Local Authority/Health & Social Care Partnership/NHS Board only,5,14.3
Financial Quarter,2018/19 Q3,South Lanarkshire,0-17 years,Other,0,0
Financial Quarter,2018/19 Q3,South Lanarkshire,0-17 years,Other Local Authority,0,0
Financial Quarter,2018/19 Q3,South Lanarkshire,0-17 years,Private only,15,42.9
Financial Quarter,2018/19 Q3,South Lanarkshire,0-17 years,Third Sector,20,57.1
Financial Quarter,2018/19 Q3,South Lanarkshire,18-64 years,Local Authority/Health & Social Care Partnership/NHS Board only,150,24.4
Financial Quarter,2018/19 Q3,South Lanarkshire,18-64 years,Other,0,0
Financial Quarter,2018/19 Q3,South Lanarkshire,18-64 years,Other Local Authority,0,0
Financial Quarter,2018/19 Q3,South Lanarkshire,18-64 years,Private only,335,54.5
Financial Quarter,2018/19 Q3,South Lanarkshire,18-64 years,Third Sector,190,30.9
Financial Quarter,2018/19 Q3,South Lanarkshire,65-74 years,Local Authority/Health & Social Care Partnership/NHS Board only,350,57.9
Financial Quarter,2018/19 Q3,South Lanarkshire,65-74 years,Other,0,0
Financial Quarter,2018/19 Q3,South Lanarkshire,65-74 years,Other Local Authority,0,0
Financial Quarter,2018/19 Q3,South Lanarkshire,65-74 years,Private only,270,44.6
Financial Quarter,2018/19 Q3,South Lanarkshire,65-74 years,Third Sector,25,4.1
Financial Quarter,2018/19 Q3,South Lanarkshire,75-84 years,Local Authority/Health & Social Care Partnership/NHS Board only,920,65.7
Financial Quarter,2018/19 Q3,South Lanarkshire,75-84 years,Other,0,0
Financial Quarter,2018/19 Q3,South Lanarkshire,75-84 years,Other Local Authority,0,0
Financial Quarter,2018/19 Q3,South Lanarkshire,75-84 years,Private only,575,41.1
Financial Quarter,2018/19 Q3,South Lanarkshire,75-84 years,Third Sector,10,0.7
Financial Quarter,2018/19 Q3,South Lanarkshire,85+ years,Local Authority/Health & Social Care Partnership/NHS Board only,1010,67.6
Financial Quarter,2018/19 Q3,South Lanarkshire,85+ years,Other,0,0
Financial Quarter,2018/19 Q3,South Lanarkshire,85+ years,Other Local Authority,0,0
Financial Quarter,2018/19 Q3,South Lanarkshire,85+ years,Private only,605,40.5
Financial Quarter,2018/19 Q3,South Lanarkshire,85+ years,Third Sector,15,1
Financial Quarter,2018/19 Q3,South Lanarkshire,Unknown,Local Authority/Health & Social Care Partnership/NHS Board only,0,0
Financial Quarter,2018/19 Q3,South Lanarkshire,Unknown,Other,0,0
Financial Quarter,2018/19 Q3,South Lanarkshire,Unknown,Other Local Authority,0,0
Financial Quarter,2018/19 Q3,South Lanarkshire,Unknown,Private only,0,0
Financial Quarter,2018/19 Q3,South Lanarkshire,Unknown,Third Sector,0,0
Financial Quarter,2018/19 Q4,South Lanarkshire,All Ages,Local Authority/Health & Social Care Partnership/NHS Board only,2430,57.7
Financial Quarter,2018/19 Q4,South Lanarkshire,All Ages,Other,0,0
Financial Quarter,2018/19 Q4,South Lanarkshire,All Ages,Other Local Authority,0,0
Financial Quarter,2018/19 Q4,South Lanarkshire,All Ages,Private only,1815,43.1
Financial Quarter,2018/19 Q4,South Lanarkshire,All Ages,Third Sector,250,5.9
Financial Quarter,2018/19 Q4,South Lanarkshire,0-17 years,Local Authority/Health & Social Care Partnership/NHS Board only,5,14.3
Financial Quarter,2018/19 Q4,South Lanarkshire,0-17 years,Other,0,0
Financial Quarter,2018/19 Q4,South Lanarkshire,0-17 years,Other Local Authority,0,0
Financial Quarter,2018/19 Q4,South Lanarkshire,0-17 years,Private only,15,42.9
Financial Quarter,2018/19 Q4,South Lanarkshire,0-17 years,Third Sector,20,57.1
Financial Quarter,2018/19 Q4,South Lanarkshire,18-64 years,Local Authority/Health & Social Care Partnership/NHS Board only,160,26
Financial Quarter,2018/19 Q4,South Lanarkshire,18-64 years,Other,0,0
Financial Quarter,2018/19 Q4,South Lanarkshire,18-64 years,Other Local Authority,0,0
Financial Quarter,2018/19 Q4,South Lanarkshire,18-64 years,Private only,330,53.7
Financial Quarter,2018/19 Q4,South Lanarkshire,18-64 years,Third Sector,180,29.3
Financial Quarter,2018/19 Q4,South Lanarkshire,65-74 years,Local Authority/Health & Social Care Partnership/NHS Board only,360,57.6
Financial Quarter,2018/19 Q4,South Lanarkshire,65-74 years,Other,0,0
Financial Quarter,2018/19 Q4,South Lanarkshire,65-74 years,Other Local Authority,0,0
Financial Quarter,2018/19 Q4,South Lanarkshire,65-74 years,Private only,285,45.6
Financial Quarter,2018/19 Q4,South Lanarkshire,65-74 years,Third Sector,25,4
Financial Quarter,2018/19 Q4,South Lanarkshire,75-84 years,Local Authority/Health & Social Care Partnership/NHS Board only,955,64.3
Financial Quarter,2018/19 Q4,South Lanarkshire,75-84 years,Other,0,0
Financial Quarter,2018/19 Q4,South Lanarkshire,75-84 years,Other Local Authority,0,0
Financial Quarter,2018/19 Q4,South Lanarkshire,75-84 years,Private only,605,40.7
Financial Quarter,2018/19 Q4,South Lanarkshire,75-84 years,Third Sector,10,0.7
Financial Quarter,2018/19 Q4,South Lanarkshire,85+ years,Local Authority/Health & Social Care Partnership/NHS Board only,955,65.6
Financial Quarter,2018/19 Q4,South Lanarkshire,85+ years,Other,0,0
Financial Quarter,2018/19 Q4,South Lanarkshire,85+ years,Other Local Authority,0,0
Financial Quarter,2018/19 Q4,South Lanarkshire,85+ years,Private only,580,39.9
Financial Quarter,2018/19 Q4,South Lanarkshire,85+ years,Third Sector,15,1
Financial Quarter,2018/19 Q4,South Lanarkshire,Unknown,Local Authority/Health & Social Care Partnership/NHS Board only,0,0
Financial Quarter,2018/19 Q4,South Lanarkshire,Unknown,Other,0,0
Financial Quarter,2018/19 Q4,South Lanarkshire,Unknown,Other Local Authority,0,0
Financial Quarter,2018/19 Q4,South Lanarkshire,Unknown,Private only,0,0
Financial Quarter,2018/19 Q4,South Lanarkshire,Unknown,Third Sector,0,0
Financial Quarter,2019/20 Q1,South Lanarkshire,All Ages,Local Authority/Health & Social Care Partnership/NHS Board only,2425,57.3
Financial Quarter,2019/20 Q1,South Lanarkshire,All Ages,Other,0,0
Financial Quarter,2019/20 Q1,South Lanarkshire,All Ages,Other Local Authority,0,0
Financial Quarter,2019/20 Q1,South Lanarkshire,All Ages,Private only,1845,43.6
Financial Quarter,2019/20 Q1,South Lanarkshire,All Ages,Third Sector,245,5.8
Financial Quarter,2019/20 Q1,South Lanarkshire,0-17 years,Local Authority/Health & Social Care Partnership/NHS Board only,5,14.3
Financial Quarter,2019/20 Q1,South Lanarkshire,0-17 years,Other,0,0
Financial Quarter,2019/20 Q1,South Lanarkshire,0-17 years,Other Local Authority,0,0
Financial Quarter,2019/20 Q1,South Lanarkshire,0-17 years,Private only,10,28.6
Financial Quarter,2019/20 Q1,South Lanarkshire,0-17 years,Third Sector,20,57.1
Financial Quarter,2019/20 Q1,South Lanarkshire,18-64 years,Local Authority/Health & Social Care Partnership/NHS Board only,155,26.1
Financial Quarter,2019/20 Q1,South Lanarkshire,18-64 years,Other,0,0
Financial Quarter,2019/20 Q1,South Lanarkshire,18-64 years,Other Local Authority,0,0
Financial Quarter,2019/20 Q1,South Lanarkshire,18-64 years,Private only,320,53.8
Financial Quarter,2019/20 Q1,South Lanarkshire,18-64 years,Third Sector,180,30.3
Financial Quarter,2019/20 Q1,South Lanarkshire,65-74 years,Local Authority/Health & Social Care Partnership/NHS Board only,335,55.4
Financial Quarter,2019/20 Q1,South Lanarkshire,65-74 years,Other,0,0
Financial Quarter,2019/20 Q1,South Lanarkshire,65-74 years,Other Local Authority,0,0
Financial Quarter,2019/20 Q1,South Lanarkshire,65-74 years,Private only,270,44.6
Financial Quarter,2019/20 Q1,South Lanarkshire,65-74 years,Third Sector,30,5
Financial Quarter,2019/20 Q1,South Lanarkshire,75-84 years,Local Authority/Health & Social Care Partnership/NHS Board only,885,63.7
Financial Quarter,2019/20 Q1,South Lanarkshire,75-84 years,Other,0,0
Financial Quarter,2019/20 Q1,South Lanarkshire,75-84 years,Other Local Authority,0,0
Financial Quarter,2019/20 Q1,South Lanarkshire,75-84 years,Private only,575,41.4
Financial Quarter,2019/20 Q1,South Lanarkshire,75-84 years,Third Sector,10,0.7
Financial Quarter,2019/20 Q1,South Lanarkshire,85+ years,Local Authority/Health & Social Care Partnership/NHS Board only,1040,65
Financial Quarter,2019/20 Q1,South Lanarkshire,85+ years,Other,0,0
Financial Quarter,2019/20 Q1,South Lanarkshire,85+ years,Other Local Authority,0,0
Financial Quarter,2019/20 Q1,South Lanarkshire,85+ years,Private only,665,41.6
Financial Quarter,2019/20 Q1,South Lanarkshire,85+ years,Third Sector,10,0.6
Financial Quarter,2019/20 Q1,South Lanarkshire,Unknown,Local Authority/Health & Social Care Partnership/NHS Board only,0,0
Financial Quarter,2019/20 Q1,South Lanarkshire,Unknown,Other,0,0
Financial Quarter,2019/20 Q1,South Lanarkshire,Unknown,Other Local Authority,0,0
Financial Quarter,2019/20 Q1,South Lanarkshire,Unknown,Private only,0,0
Financial Quarter,2019/20 Q1,South Lanarkshire,Unknown,Third Sector,0,0
Financial Quarter,2019/20 Q2,South Lanarkshire,All Ages,Local Authority/Health & Social Care Partnership/NHS Board only,2430,57.2
Financial Quarter,2019/20 Q2,South Lanarkshire,All Ages,Other,0,0
Financial Quarter,2019/20 Q2,South Lanarkshire,All Ages,Other Local Authority,0,0
Financial Quarter,2019/20 Q2,South Lanarkshire,All Ages,Private only,1845,43.5
Financial Quarter,2019/20 Q2,South Lanarkshire,All Ages,Third Sector,265,6.2
Financial Quarter,2019/20 Q2,South Lanarkshire,0-17 years,Local Authority/Health & Social Care Partnership/NHS Board only,5,14.3
