financial_quarter,sending_location,locality,age_group,measure,value
2020/21 Q3,Dumfries and Galloway,Wigtownshire,0-17 years,Number of People,20
2020/21 Q3,Dumfries and Galloway,Wigtownshire,0-17 years,Number of Hours,2450
2020/21 Q3,Dumfries and Galloway,Wigtownshire,18-64 years,"Rate per 1,000 Population",9.5
2020/21 Q3,Dumfries and Galloway,Wigtownshire,18-64 years,Number of People,145
2020/21 Q3,Dumfries and Galloway,Wigtownshire,18-64 years,Number of Hours,79815
2020/21 Q3,Dumfries and Galloway,Wigtownshire,65-74 years,"Rate per 1,000 Population",22.3
2020/21 Q3,Dumfries and Galloway,Wigtownshire,65-74 years,Number of People,100
2020/21 Q3,Dumfries and Galloway,Wigtownshire,65-74 years,Number of Hours,21900
2020/21 Q3,Dumfries and Galloway,Wigtownshire,75-84 years,"Rate per 1,000 Population",68.1
2020/21 Q3,Dumfries and Galloway,Wigtownshire,75-84 years,Number of People,175
2020/21 Q3,Dumfries and Galloway,Wigtownshire,75-84 years,Number of Hours,20555
2020/21 Q3,Dumfries and Galloway,Wigtownshire,85+ years,"Rate per 1,000 Population",234.3
2020/21 Q3,Dumfries and Galloway,Wigtownshire,85+ years,Number of People,200
2020/21 Q3,Dumfries and Galloway,Wigtownshire,85+ years,Number of Hours,29080
2020/21 Q3,Dundee City,Coldside,All Ages,"Rate per 1,000 Population",19.1
2020/21 Q3,Dundee City,Coldside,All Ages,Number of People,350
2020/21 Q3,Dundee City,Coldside,All Ages,Number of Hours,40260
2020/21 Q3,Dundee City,Coldside,0-17 years,"Rate per 1,000 Population",0
2020/21 Q3,Dundee City,Coldside,0-17 years,Number of People,0
2020/21 Q3,Dundee City,Coldside,0-17 years,Number of Hours,0
2020/21 Q3,Dundee City,Coldside,18-64 years,"Rate per 1,000 Population",4.9
2020/21 Q3,Dundee City,Coldside,18-64 years,Number of People,60
2020/21 Q3,Dundee City,Coldside,18-64 years,Number of Hours,9760
2020/21 Q3,Dundee City,Coldside,65-74 years,"Rate per 1,000 Population",33.8
2020/21 Q3,Dundee City,Coldside,65-74 years,Number of People,60
2020/21 Q3,Dundee City,Coldside,65-74 years,Number of Hours,5905
2020/21 Q3,Dundee City,Coldside,75-84 years,"Rate per 1,000 Population",96.2
2020/21 Q3,Dundee City,Coldside,75-84 years,Number of People,115
2020/21 Q3,Dundee City,Coldside,75-84 years,Number of Hours,13010
2020/21 Q3,Dundee City,Coldside,85+ years,"Rate per 1,000 Population",219.4
2020/21 Q3,Dundee City,Coldside,85+ years,Number of People,115
2020/21 Q3,Dundee City,Coldside,85+ years,Number of Hours,11585
2020/21 Q3,Dundee City,Dundee East End,All Ages,"Rate per 1,000 Population",16.7
2020/21 Q3,Dundee City,Dundee East End,All Ages,Number of People,260
2020/21 Q3,Dundee City,Dundee East End,All Ages,Number of Hours,28545
2020/21 Q3,Dundee City,Dundee East End,0-17 years,"Rate per 1,000 Population",0
2020/21 Q3,Dundee City,Dundee East End,0-17 years,Number of People,0
2020/21 Q3,Dundee City,Dundee East End,0-17 years,Number of Hours,0
2020/21 Q3,Dundee City,Dundee East End,18-64 years,"Rate per 1,000 Population",4.9
2020/21 Q3,Dundee City,Dundee East End,18-64 years,Number of People,45
2020/21 Q3,Dundee City,Dundee East End,18-64 years,Number of Hours,4885
2020/21 Q3,Dundee City,Dundee East End,65-74 years,"Rate per 1,000 Population",38.2
2020/21 Q3,Dundee City,Dundee East End,65-74 years,Number of People,60
2020/21 Q3,Dundee City,Dundee East End,65-74 years,Number of Hours,6650
2020/21 Q3,Dundee City,Dundee East End,75-84 years,"Rate per 1,000 Population",88.6
2020/21 Q3,Dundee City,Dundee East End,75-84 years,Number of People,80
2020/21 Q3,Dundee City,Dundee East End,75-84 years,Number of Hours,9325
2020/21 Q3,Dundee City,Dundee East End,85+ years,"Rate per 1,000 Population",207.3
2020/21 Q3,Dundee City,Dundee East End,85+ years,Number of People,75
2020/21 Q3,Dundee City,Dundee East End,85+ years,Number of Hours,7690
2020/21 Q3,Dundee City,Dundee North East,All Ages,"Rate per 1,000 Population",8
2020/21 Q3,Dundee City,Dundee North East,All Ages,Number of People,130
2020/21 Q3,Dundee City,Dundee North East,All Ages,Number of Hours,18560
2020/21 Q3,Dundee City,Dundee North East,0-17 years,"Rate per 1,000 Population",0
2020/21 Q3,Dundee City,Dundee North East,0-17 years,Number of People,0
2020/21 Q3,Dundee City,Dundee North East,0-17 years,Number of Hours,0
2020/21 Q3,Dundee City,Dundee North East,18-64 years,"Rate per 1,000 Population",3
2020/21 Q3,Dundee City,Dundee North East,18-64 years,Number of People,30
2020/21 Q3,Dundee City,Dundee North East,18-64 years,Number of Hours,7430
2020/21 Q3,Dundee City,Dundee North East,65-74 years,"Rate per 1,000 Population",17.2
2020/21 Q3,Dundee City,Dundee North East,65-74 years,Number of People,25
2020/21 Q3,Dundee City,Dundee North East,65-74 years,Number of Hours,2245
2020/21 Q3,Dundee City,Dundee North East,75-84 years,"Rate per 1,000 Population",69
2020/21 Q3,Dundee City,Dundee North East,75-84 years,Number of People,45
2020/21 Q3,Dundee City,Dundee North East,75-84 years,Number of Hours,4495
2020/21 Q3,Dundee City,Dundee North East,85+ years,"Rate per 1,000 Population",140
2020/21 Q3,Dundee City,Dundee North East,85+ years,Number of People,30
2020/21 Q3,Dundee City,Dundee North East,85+ years,Number of Hours,4390
2020/21 Q3,Dundee City,Dundee West End,All Ages,"Rate per 1,000 Population",7.8
2020/21 Q3,Dundee City,Dundee West End,All Ages,Number of People,165
2020/21 Q3,Dundee City,Dundee West End,All Ages,Number of Hours,20920
2020/21 Q3,Dundee City,Dundee West End,0-17 years,"Rate per 1,000 Population",0
2020/21 Q3,Dundee City,Dundee West End,0-17 years,Number of People,0
2020/21 Q3,Dundee City,Dundee West End,0-17 years,Number of Hours,0
2020/21 Q3,Dundee City,Dundee West End,18-64 years,"Rate per 1,000 Population",0.9
2020/21 Q3,Dundee City,Dundee West End,18-64 years,Number of People,15
2020/21 Q3,Dundee City,Dundee West End,18-64 years,Number of Hours,3775
2020/21 Q3,Dundee City,Dundee West End,65-74 years,"Rate per 1,000 Population",17.5
2020/21 Q3,Dundee City,Dundee West End,65-74 years,Number of People,25
2020/21 Q3,Dundee City,Dundee West End,65-74 years,Number of Hours,2850
2020/21 Q3,Dundee City,Dundee West End,75-84 years,"Rate per 1,000 Population",57.2
2020/21 Q3,Dundee City,Dundee West End,75-84 years,Number of People,50
2020/21 Q3,Dundee City,Dundee West End,75-84 years,Number of Hours,5525
2020/21 Q3,Dundee City,Dundee West End,85+ years,"Rate per 1,000 Population",195.4
2020/21 Q3,Dundee City,Dundee West End,85+ years,Number of People,75
2020/21 Q3,Dundee City,Dundee West End,85+ years,Number of Hours,8765
2020/21 Q3,Dundee City,Lochee,All Ages,"Rate per 1,000 Population",14.1
2020/21 Q3,Dundee City,Lochee,All Ages,Number of People,280
2020/21 Q3,Dundee City,Lochee,All Ages,Number of Hours,30470
2020/21 Q3,Dundee City,Lochee,0-17 years,"Rate per 1,000 Population",0
2020/21 Q3,Dundee City,Lochee,0-17 years,Number of People,0
2020/21 Q3,Dundee City,Lochee,0-17 years,Number of Hours,0
2020/21 Q3,Dundee City,Lochee,18-64 years,"Rate per 1,000 Population",6
2020/21 Q3,Dundee City,Lochee,18-64 years,Number of People,75
2020/21 Q3,Dundee City,Lochee,18-64 years,Number of Hours,8070
2020/21 Q3,Dundee City,Lochee,65-74 years,"Rate per 1,000 Population",32.3
2020/21 Q3,Dundee City,Lochee,65-74 years,Number of People,55
2020/21 Q3,Dundee City,Lochee,65-74 years,Number of Hours,5730
2020/21 Q3,Dundee City,Lochee,75-84 years,"Rate per 1,000 Population",66.2
2020/21 Q3,Dundee City,Lochee,75-84 years,Number of People,70
2020/21 Q3,Dundee City,Lochee,75-84 years,Number of Hours,7750
2020/21 Q3,Dundee City,Lochee,85+ years,"Rate per 1,000 Population",147.1
2020/21 Q3,Dundee City,Lochee,85+ years,Number of People,80
2020/21 Q3,Dundee City,Lochee,85+ years,Number of Hours,8925
2020/21 Q3,Dundee City,Maryfield,All Ages,"Rate per 1,000 Population",9.3
2020/21 Q3,Dundee City,Maryfield,All Ages,Number of People,170
2020/21 Q3,Dundee City,Maryfield,All Ages,Number of Hours,20510
2020/21 Q3,Dundee City,Maryfield,0-17 years,"Rate per 1,000 Population",0
2020/21 Q3,Dundee City,Maryfield,0-17 years,Number of People,0
2020/21 Q3,Dundee City,Maryfield,0-17 years,Number of Hours,0
2020/21 Q3,Dundee City,Maryfield,18-64 years,"Rate per 1,000 Population",2.5
2020/21 Q3,Dundee City,Maryfield,18-64 years,Number of People,35
2020/21 Q3,Dundee City,Maryfield,18-64 years,Number of Hours,5605
2020/21 Q3,Dundee City,Maryfield,65-74 years,"Rate per 1,000 Population",17.8
2020/21 Q3,Dundee City,Maryfield,65-74 years,Number of People,25
2020/21 Q3,Dundee City,Maryfield,65-74 years,Number of Hours,2540
2020/21 Q3,Dundee City,Maryfield,75-84 years,"Rate per 1,000 Population",66.9
2020/21 Q3,Dundee City,Maryfield,75-84 years,Number of People,50
2020/21 Q3,Dundee City,Maryfield,75-84 years,Number of Hours,5760
2020/21 Q3,Dundee City,Maryfield,85+ years,"Rate per 1,000 Population",182.3
2020/21 Q3,Dundee City,Maryfield,85+ years,Number of People,65
2020/21 Q3,Dundee City,Maryfield,85+ years,Number of Hours,6610
2020/21 Q3,Dundee City,Outside Partnership,All Ages,Number of People,25
2020/21 Q3,Dundee City,Outside Partnership,All Ages,Number of Hours,4220
2020/21 Q3,Dundee City,Outside Partnership,0-17 years,Number of People,0
2020/21 Q3,Dundee City,Outside Partnership,0-17 years,Number of Hours,0
2020/21 Q3,Dundee City,Outside Partnership,18-64 years,Number of People,0
2020/21 Q3,Dundee City,Outside Partnership,18-64 years,Number of Hours,235
2020/21 Q3,Dundee City,Outside Partnership,65-74 years,Number of People,0
2020/21 Q3,Dundee City,Outside Partnership,65-74 years,Number of Hours,0
2020/21 Q3,Dundee City,Outside Partnership,75-84 years,Number of People,5
2020/21 Q3,Dundee City,Outside Partnership,75-84 years,Number of Hours,1225
2020/21 Q3,Dundee City,Outside Partnership,85+ years,Number of People,20
2020/21 Q3,Dundee City,Outside Partnership,85+ years,Number of Hours,2765
2020/21 Q3,Dundee City,Strathmartine,All Ages,"Rate per 1,000 Population",13.1
2020/21 Q3,Dundee City,Strathmartine,All Ages,Number of People,255
2020/21 Q3,Dundee City,Strathmartine,All Ages,Number of Hours,26285
2020/21 Q3,Dundee City,Strathmartine,0-17 years,"Rate per 1,000 Population",0
2020/21 Q3,Dundee City,Strathmartine,0-17 years,Number of People,0
2020/21 Q3,Dundee City,Strathmartine,0-17 years,Number of Hours,0
2020/21 Q3,Dundee City,Strathmartine,18-64 years,"Rate per 1,000 Population",3.4
2020/21 Q3,Dundee City,Strathmartine,18-64 years,Number of People,40
2020/21 Q3,Dundee City,Strathmartine,18-64 years,Number of Hours,4120
2020/21 Q3,Dundee City,Strathmartine,65-74 years,"Rate per 1,000 Population",25.9
2020/21 Q3,Dundee City,Strathmartine,65-74 years,Number of People,55
2020/21 Q3,Dundee City,Strathmartine,65-74 years,Number of Hours,4855
2020/21 Q3,Dundee City,Strathmartine,75-84 years,"Rate per 1,000 Population",68.6
2020/21 Q3,Dundee City,Strathmartine,75-84 years,Number of People,80
2020/21 Q3,Dundee City,Strathmartine,75-84 years,Number of Hours,7815
2020/21 Q3,Dundee City,Strathmartine,85+ years,"Rate per 1,000 Population",200
2020/21 Q3,Dundee City,Strathmartine,85+ years,Number of People,85
2020/21 Q3,Dundee City,Strathmartine,85+ years,Number of Hours,9490
2020/21 Q3,Dundee City,The Ferry,All Ages,"Rate per 1,000 Population",14.2
2020/21 Q3,Dundee City,The Ferry,All Ages,Number of People,285
2020/21 Q3,Dundee City,The Ferry,All Ages,Number of Hours,38550
2020/21 Q3,Dundee City,The Ferry,0-17 years,"Rate per 1,000 Population",0
2020/21 Q3,Dundee City,The Ferry,0-17 years,Number of People,0
2020/21 Q3,Dundee City,The Ferry,0-17 years,Number of Hours,0
2020/21 Q3,Dundee City,The Ferry,18-64 years,"Rate per 1,000 Population",2.2
2020/21 Q3,Dundee City,The Ferry,18-64 years,Number of People,25
2020/21 Q3,Dundee City,The Ferry,18-64 years,Number of Hours,7515
2020/21 Q3,Dundee City,The Ferry,65-74 years,"Rate per 1,000 Population",10
2020/21 Q3,Dundee City,The Ferry,65-74 years,Number of People,25
2020/21 Q3,Dundee City,The Ferry,65-74 years,Number of Hours,3915
2020/21 Q3,Dundee City,The Ferry,75-84 years,"Rate per 1,000 Population",44.6
2020/21 Q3,Dundee City,The Ferry,75-84 years,Number of People,80
2020/21 Q3,Dundee City,The Ferry,75-84 years,Number of Hours,8180
2020/21 Q3,Dundee City,The Ferry,85+ years,"Rate per 1,000 Population",164.3
2020/21 Q3,Dundee City,The Ferry,85+ years,Number of People,150
2020/21 Q3,Dundee City,The Ferry,85+ years,Number of Hours,18940
2020/21 Q3,East Ayrshire,Kilmarnock,All Ages,"Rate per 1,000 Population",16.7
2020/21 Q3,East Ayrshire,Kilmarnock,All Ages,Number of People,905
2020/21 Q3,East Ayrshire,Kilmarnock,All Ages,Number of Hours,101320
2020/21 Q3,East Ayrshire,Kilmarnock,0-17 years,"Rate per 1,000 Population",0
2020/21 Q3,East Ayrshire,Kilmarnock,0-17 years,Number of People,0
2020/21 Q3,East Ayrshire,Kilmarnock,0-17 years,Number of Hours,0
2020/21 Q3,East Ayrshire,Kilmarnock,18-64 years,"Rate per 1,000 Population",5.9
2020/21 Q3,East Ayrshire,Kilmarnock,18-64 years,Number of People,195
2020/21 Q3,East Ayrshire,Kilmarnock,18-64 years,Number of Hours,43965
2020/21 Q3,East Ayrshire,Kilmarnock,65-74 years,"Rate per 1,000 Population",25.5
2020/21 Q3,East Ayrshire,Kilmarnock,65-74 years,Number of People,150
2020/21 Q3,East Ayrshire,Kilmarnock,65-74 years,Number of Hours,11235
2020/21 Q3,East Ayrshire,Kilmarnock,75-84 years,"Rate per 1,000 Population",90.5
2020/21 Q3,East Ayrshire,Kilmarnock,75-84 years,Number of People,305
2020/21 Q3,East Ayrshire,Kilmarnock,75-84 years,Number of Hours,24110
2020/21 Q3,East Ayrshire,Kilmarnock,85+ years,"Rate per 1,000 Population",208.3
2020/21 Q3,East Ayrshire,Kilmarnock,85+ years,Number of People,255
2020/21 Q3,East Ayrshire,Kilmarnock,85+ years,Number of Hours,22010
2020/21 Q3,East Ayrshire,Northern,All Ages,"Rate per 1,000 Population",15.5
2020/21 Q3,East Ayrshire,Northern,All Ages,Number of People,445
2020/21 Q3,East Ayrshire,Northern,All Ages,Number of Hours,45900
2020/21 Q3,East Ayrshire,Northern,0-17 years,"Rate per 1,000 Population",0
2020/21 Q3,East Ayrshire,Northern,0-17 years,Number of People,0
2020/21 Q3,East Ayrshire,Northern,0-17 years,Number of Hours,0
2020/21 Q3,East Ayrshire,Northern,18-64 years,"Rate per 1,000 Population",4.2
2020/21 Q3,East Ayrshire,Northern,18-64 years,Number of People,70
2020/21 Q3,East Ayrshire,Northern,18-64 years,Number of Hours,14835
2020/21 Q3,East Ayrshire,Northern,65-74 years,"Rate per 1,000 Population",16.9
2020/21 Q3,East Ayrshire,Northern,65-74 years,Number of People,60
2020/21 Q3,East Ayrshire,Northern,65-74 years,Number of Hours,5370
2020/21 Q3,East Ayrshire,Northern,75-84 years,"Rate per 1,000 Population",79.1
2020/21 Q3,East Ayrshire,Northern,75-84 years,Number of People,155
2020/21 Q3,East Ayrshire,Northern,75-84 years,Number of Hours,12545
2020/21 Q3,East Ayrshire,Northern,85+ years,"Rate per 1,000 Population",264.2
2020/21 Q3,East Ayrshire,Northern,85+ years,Number of People,160
2020/21 Q3,East Ayrshire,Northern,85+ years,Number of Hours,13145
2020/21 Q3,East Ayrshire,Outside Partnership,All Ages,Number of People,15
2020/21 Q3,East Ayrshire,Outside Partnership,All Ages,Number of Hours,3670
2020/21 Q3,East Ayrshire,Outside Partnership,0-17 years,Number of People,0
2020/21 Q3,East Ayrshire,Outside Partnership,0-17 years,Number of Hours,0
2020/21 Q3,East Ayrshire,Outside Partnership,18-64 years,Number of People,0
2020/21 Q3,East Ayrshire,Outside Partnership,18-64 years,Number of Hours,2525
2020/21 Q3,East Ayrshire,Outside Partnership,65-74 years,Number of People,0
2020/21 Q3,East Ayrshire,Outside Partnership,65-74 years,Number of Hours,50
2020/21 Q3,East Ayrshire,Outside Partnership,75-84 years,Number of People,0
2020/21 Q3,East Ayrshire,Outside Partnership,75-84 years,Number of Hours,25
2020/21 Q3,East Ayrshire,Outside Partnership,85+ years,Number of People,10
2020/21 Q3,East Ayrshire,Outside Partnership,85+ years,Number of Hours,1075
2020/21 Q3,East Ayrshire,Southern,All Ages,"Rate per 1,000 Population",16.5
2020/21 Q3,East Ayrshire,Southern,All Ages,Number of People,635
2020/21 Q3,East Ayrshire,Southern,All Ages,Number of Hours,58540
2020/21 Q3,East Ayrshire,Southern,0-17 years,"Rate per 1,000 Population",0
2020/21 Q3,East Ayrshire,Southern,0-17 years,Number of People,0
2020/21 Q3,East Ayrshire,Southern,0-17 years,Number of Hours,0
2020/21 Q3,East Ayrshire,Southern,18-64 years,"Rate per 1,000 Population",3.8
2020/21 Q3,East Ayrshire,Southern,18-64 years,Number of People,85
2020/21 Q3,East Ayrshire,Southern,18-64 years,Number of Hours,18520
2020/21 Q3,East Ayrshire,Southern,65-74 years,"Rate per 1,000 Population",19.3
2020/21 Q3,East Ayrshire,Southern,65-74 years,Number of People,95
2020/21 Q3,East Ayrshire,Southern,65-74 years,Number of Hours,6620
2020/21 Q3,East Ayrshire,Southern,75-84 years,"Rate per 1,000 Population",88.9
2020/21 Q3,East Ayrshire,Southern,75-84 years,Number of People,245
2020/21 Q3,East Ayrshire,Southern,75-84 years,Number of Hours,17840
2020/21 Q3,East Ayrshire,Southern,85+ years,"Rate per 1,000 Population",229.4
2020/21 Q3,East Ayrshire,Southern,85+ years,Number of People,210
2020/21 Q3,East Ayrshire,Southern,85+ years,Number of Hours,15560
2020/21 Q3,East Dunbartonshire,East Dunbartonshire East,All Ages,"Rate per 1,000 Population",13.7
2020/21 Q3,East Dunbartonshire,East Dunbartonshire East,All Ages,Number of People,915
2020/21 Q3,East Dunbartonshire,East Dunbartonshire East,All Ages,Number of Hours,86535
2020/21 Q3,East Dunbartonshire,East Dunbartonshire East,0-17 years,"Rate per 1,000 Population",1.3
2020/21 Q3,East Dunbartonshire,East Dunbartonshire East,0-17 years,Number of People,15
2020/21 Q3,East Dunbartonshire,East Dunbartonshire East,0-17 years,Number of Hours,2570
2020/21 Q3,East Dunbartonshire,East Dunbartonshire East,18-64 years,"Rate per 1,000 Population",2.6
2020/21 Q3,East Dunbartonshire,East Dunbartonshire East,18-64 years,Number of People,100
2020/21 Q3,East Dunbartonshire,East Dunbartonshire East,18-64 years,Number of Hours,11680
2020/21 Q3,East Dunbartonshire,East Dunbartonshire East,65-74 years,"Rate per 1,000 Population",16.7
2020/21 Q3,East Dunbartonshire,East Dunbartonshire East,65-74 years,Number of People,125
2020/21 Q3,East Dunbartonshire,East Dunbartonshire East,65-74 years,Number of Hours,12280
2020/21 Q3,East Dunbartonshire,East Dunbartonshire East,75-84 years,"Rate per 1,000 Population",64
2020/21 Q3,East Dunbartonshire,East Dunbartonshire East,75-84 years,Number of People,310
2020/21 Q3,East Dunbartonshire,East Dunbartonshire East,75-84 years,Number of Hours,26130
2020/21 Q3,East Dunbartonshire,East Dunbartonshire East,85+ years,"Rate per 1,000 Population",207.3
2020/21 Q3,East Dunbartonshire,East Dunbartonshire East,85+ years,Number of People,360
2020/21 Q3,East Dunbartonshire,East Dunbartonshire East,85+ years,Number of Hours,33880
2020/21 Q3,East Dunbartonshire,East Dunbartonshire West,All Ages,"Rate per 1,000 Population",13.1
2020/21 Q3,East Dunbartonshire,East Dunbartonshire West,All Ages,Number of People,550
2020/21 Q3,East Dunbartonshire,East Dunbartonshire West,All Ages,Number of Hours,57585
2020/21 Q3,East Dunbartonshire,East Dunbartonshire West,0-17 years,"Rate per 1,000 Population",0.6
2020/21 Q3,East Dunbartonshire,East Dunbartonshire West,0-17 years,Number of People,5
2020/21 Q3,East Dunbartonshire,East Dunbartonshire West,0-17 years,Number of Hours,755
2020/21 Q3,East Dunbartonshire,East Dunbartonshire West,18-64 years,"Rate per 1,000 Population",1.6
2020/21 Q3,East Dunbartonshire,East Dunbartonshire West,18-64 years,Number of People,35
2020/21 Q3,East Dunbartonshire,East Dunbartonshire West,18-64 years,Number of Hours,6815
2020/21 Q3,East Dunbartonshire,East Dunbartonshire West,65-74 years,"Rate per 1,000 Population",9
2020/21 Q3,East Dunbartonshire,East Dunbartonshire West,65-74 years,Number of People,50
2020/21 Q3,East Dunbartonshire,East Dunbartonshire West,65-74 years,Number of Hours,4365
2020/21 Q3,East Dunbartonshire,East Dunbartonshire West,75-84 years,"Rate per 1,000 Population",50.7
2020/21 Q3,East Dunbartonshire,East Dunbartonshire West,75-84 years,Number of People,185
2020/21 Q3,East Dunbartonshire,East Dunbartonshire West,75-84 years,Number of Hours,16940
2020/21 Q3,East Dunbartonshire,East Dunbartonshire West,85+ years,"Rate per 1,000 Population",171
2020/21 Q3,East Dunbartonshire,East Dunbartonshire West,85+ years,Number of People,275
2020/21 Q3,East Dunbartonshire,East Dunbartonshire West,85+ years,Number of Hours,28705
2020/21 Q3,East Dunbartonshire,Outside Partnership,All Ages,Number of People,30
2020/21 Q3,East Dunbartonshire,Outside Partnership,All Ages,Number of Hours,3350
2020/21 Q3,East Dunbartonshire,Outside Partnership,0-17 years,Number of People,0
2020/21 Q3,East Dunbartonshire,Outside Partnership,0-17 years,Number of Hours,0
2020/21 Q3,East Dunbartonshire,Outside Partnership,18-64 years,Number of People,0
2020/21 Q3,East Dunbartonshire,Outside Partnership,18-64 years,Number of Hours,0
2020/21 Q3,East Dunbartonshire,Outside Partnership,65-74 years,Number of People,0
2020/21 Q3,East Dunbartonshire,Outside Partnership,65-74 years,Number of Hours,0
2020/21 Q3,East Dunbartonshire,Outside Partnership,75-84 years,Number of People,10
2020/21 Q3,East Dunbartonshire,Outside Partnership,75-84 years,Number of Hours,1305
2020/21 Q3,East Dunbartonshire,Outside Partnership,85+ years,Number of People,15
2020/21 Q3,East Dunbartonshire,Outside Partnership,85+ years,Number of Hours,2045
2020/21 Q3,East Lothian,East Lothian East,All Ages,"Rate per 1,000 Population",11.6
2020/21 Q3,East Lothian,East Lothian East,All Ages,Number of People,510
2020/21 Q3,East Lothian,East Lothian East,All Ages,Number of Hours,100390
2020/21 Q3,East Lothian,East Lothian East,0-17 years,"Rate per 1,000 Population",0
2020/21 Q3,East Lothian,East Lothian East,0-17 years,Number of People,0
2020/21 Q3,East Lothian,East Lothian East,0-17 years,Number of Hours,0
2020/21 Q3,East Lothian,East Lothian East,18-64 years,"Rate per 1,000 Population",4.3
2020/21 Q3,East Lothian,East Lothian East,18-64 years,Number of People,105
2020/21 Q3,East Lothian,East Lothian East,18-64 years,Number of Hours,43720
2020/21 Q3,East Lothian,East Lothian East,65-74 years,"Rate per 1,000 Population",14.1
2020/21 Q3,East Lothian,East Lothian East,65-74 years,Number of People,80
2020/21 Q3,East Lothian,East Lothian East,65-74 years,Number of Hours,19175
2020/21 Q3,East Lothian,East Lothian East,75-84 years,"Rate per 1,000 Population",39.2
2020/21 Q3,East Lothian,East Lothian East,75-84 years,Number of People,135
2020/21 Q3,East Lothian,East Lothian East,75-84 years,Number of Hours,17035
2020/21 Q3,East Lothian,East Lothian East,85+ years,"Rate per 1,000 Population",147.2
2020/21 Q3,East Lothian,East Lothian East,85+ years,Number of People,190
2020/21 Q3,East Lothian,East Lothian East,85+ years,Number of Hours,20465
2020/21 Q3,East Lothian,East Lothian West,All Ages,"Rate per 1,000 Population",14.2
2020/21 Q3,East Lothian,East Lothian West,All Ages,Number of People,905
2020/21 Q3,East Lothian,East Lothian West,All Ages,Number of Hours,166930
2020/21 Q3,East Lothian,East Lothian West,0-17 years,"Rate per 1,000 Population",0.3
2020/21 Q3,East Lothian,East Lothian West,0-17 years,Number of People,5
2020/21 Q3,East Lothian,East Lothian West,0-17 years,Number of Hours,550
2020/21 Q3,East Lothian,East Lothian West,18-64 years,"Rate per 1,000 Population",7.3
2020/21 Q3,East Lothian,East Lothian West,18-64 years,Number of People,285
2020/21 Q3,East Lothian,East Lothian West,18-64 years,Number of Hours,99170
2020/21 Q3,East Lothian,East Lothian West,65-74 years,"Rate per 1,000 Population",17.8
2020/21 Q3,East Lothian,East Lothian West,65-74 years,Number of People,120
2020/21 Q3,East Lothian,East Lothian West,65-74 years,Number of Hours,18370
2020/21 Q3,East Lothian,East Lothian West,75-84 years,"Rate per 1,000 Population",57.7
2020/21 Q3,East Lothian,East Lothian West,75-84 years,Number of People,225
2020/21 Q3,East Lothian,East Lothian West,75-84 years,Number of Hours,21640
2020/21 Q3,East Lothian,East Lothian West,85+ years,"Rate per 1,000 Population",193.4
2020/21 Q3,East Lothian,East Lothian West,85+ years,Number of People,275
2020/21 Q3,East Lothian,East Lothian West,85+ years,Number of Hours,27200
2020/21 Q3,East Lothian,Outside Partnership,All Ages,Number of People,20
2020/21 Q3,East Lothian,Outside Partnership,All Ages,Number of Hours,8190
2020/21 Q3,East Lothian,Outside Partnership,0-17 years,Number of People,0
2020/21 Q3,East Lothian,Outside Partnership,0-17 years,Number of Hours,0
2020/21 Q3,East Lothian,Outside Partnership,18-64 years,Number of People,5
2020/21 Q3,East Lothian,Outside Partnership,18-64 years,Number of Hours,5510
2020/21 Q3,East Lothian,Outside Partnership,65-74 years,Number of People,5
2020/21 Q3,East Lothian,Outside Partnership,65-74 years,Number of Hours,1860
2020/21 Q3,East Lothian,Outside Partnership,75-84 years,Number of People,0
2020/21 Q3,East Lothian,Outside Partnership,75-84 years,Number of Hours,80
2020/21 Q3,East Lothian,Outside Partnership,85+ years,Number of People,5
2020/21 Q3,East Lothian,Outside Partnership,85+ years,Number of Hours,740
2020/21 Q3,East Renfrewshire,Barrhead,All Ages,"Rate per 1,000 Population",12.7
2020/21 Q3,East Renfrewshire,Barrhead,All Ages,Number of People,310
2020/21 Q3,East Renfrewshire,Barrhead,All Ages,Number of Hours,31385
2020/21 Q3,East Renfrewshire,Barrhead,0-17 years,"Rate per 1,000 Population",0
2020/21 Q3,East Renfrewshire,Barrhead,0-17 years,Number of People,0
2020/21 Q3,East Renfrewshire,Barrhead,0-17 years,Number of Hours,0
2020/21 Q3,East Renfrewshire,Barrhead,18-64 years,"Rate per 1,000 Population",3.5
2020/21 Q3,East Renfrewshire,Barrhead,18-64 years,Number of People,50
2020/21 Q3,East Renfrewshire,Barrhead,18-64 years,Number of Hours,9360
2020/21 Q3,East Renfrewshire,Barrhead,65-74 years,"Rate per 1,000 Population",16
2020/21 Q3,East Renfrewshire,Barrhead,65-74 years,Number of People,40
2020/21 Q3,East Renfrewshire,Barrhead,65-74 years,Number of Hours,4025
2020/21 Q3,East Renfrewshire,Barrhead,75-84 years,"Rate per 1,000 Population",70.4
2020/21 Q3,East Renfrewshire,Barrhead,75-84 years,Number of People,105
2020/21 Q3,East Renfrewshire,Barrhead,75-84 years,Number of Hours,7595
2020/21 Q3,East Renfrewshire,Barrhead,85+ years,"Rate per 1,000 Population",178.7
2020/21 Q3,East Renfrewshire,Barrhead,85+ years,Number of People,110
2020/21 Q3,East Renfrewshire,Barrhead,85+ years,Number of Hours,10405
2020/21 Q3,East Renfrewshire,Eastwood,All Ages,"Rate per 1,000 Population",13.7
2020/21 Q3,East Renfrewshire,Eastwood,All Ages,Number of People,980
