financial_year,sending_location,age_group,ethnicity,measure,rate,nclient
2018/19,Scottish Borders,Unknown,Any Mixed or Multiple Ethnic Groups,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2019/20,Scottish Borders,All Ages,African,"Rate per 1,000 Social Care Clients",0,0
2019/20,Scottish Borders,All Ages,African,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2019/20,Scottish Borders,All Ages,Asian,"Rate per 1,000 Social Care Clients",2.3,10
2019/20,Scottish Borders,All Ages,Asian,"Rate per 1,000 Social Care Clients (adjusted)",2.6,10
2019/20,Scottish Borders,All Ages,Caribbean or Black,"Rate per 1,000 Social Care Clients",0,0
2019/20,Scottish Borders,All Ages,Caribbean or Black,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2019/20,Scottish Borders,All Ages,White,"Rate per 1,000 Social Care Clients",917.2,4030
2019/20,Scottish Borders,All Ages,White,"Rate per 1,000 Social Care Clients (adjusted)",913.2,3505
2019/20,Scottish Borders,All Ages,Other Ethnic Group,"Rate per 1,000 Social Care Clients",1.1,5
2019/20,Scottish Borders,All Ages,Other Ethnic Group,"Rate per 1,000 Social Care Clients (adjusted)",1.3,5
2019/20,Scottish Borders,All Ages,Not Provided / Not Known,"Rate per 1,000 Social Care Clients",77.4,340
2019/20,Scottish Borders,All Ages,Not Provided / Not Known,"Rate per 1,000 Social Care Clients (adjusted)",82.1,315
2019/20,Scottish Borders,All Ages,Any Mixed or Multiple Ethnic Groups,"Rate per 1,000 Social Care Clients",1.1,5
2019/20,Scottish Borders,All Ages,Any Mixed or Multiple Ethnic Groups,"Rate per 1,000 Social Care Clients (adjusted)",1.3,5
2019/20,Scottish Borders,0-17 years,African,"Rate per 1,000 Social Care Clients",0,0
2019/20,Scottish Borders,0-17 years,African,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2019/20,Scottish Borders,0-17 years,Asian,"Rate per 1,000 Social Care Clients",0,0
2019/20,Scottish Borders,0-17 years,Asian,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2019/20,Scottish Borders,0-17 years,Caribbean or Black,"Rate per 1,000 Social Care Clients",0,0
2019/20,Scottish Borders,0-17 years,Caribbean or Black,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2019/20,Scottish Borders,0-17 years,White,"Rate per 1,000 Social Care Clients",970.1,65
2019/20,Scottish Borders,0-17 years,White,"Rate per 1,000 Social Care Clients (adjusted)",970.1,65
2019/20,Scottish Borders,0-17 years,Other Ethnic Group,"Rate per 1,000 Social Care Clients",0,0
2019/20,Scottish Borders,0-17 years,Other Ethnic Group,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2019/20,Scottish Borders,0-17 years,Not Provided / Not Known,"Rate per 1,000 Social Care Clients",0,0
2019/20,Scottish Borders,0-17 years,Not Provided / Not Known,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2019/20,Scottish Borders,0-17 years,Any Mixed or Multiple Ethnic Groups,"Rate per 1,000 Social Care Clients",0,0
2019/20,Scottish Borders,0-17 years,Any Mixed or Multiple Ethnic Groups,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2019/20,Scottish Borders,18-64 years,African,"Rate per 1,000 Social Care Clients",0,0
2019/20,Scottish Borders,18-64 years,African,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2019/20,Scottish Borders,18-64 years,Asian,"Rate per 1,000 Social Care Clients",5.5,5
2019/20,Scottish Borders,18-64 years,Asian,"Rate per 1,000 Social Care Clients (adjusted)",5.6,5
2019/20,Scottish Borders,18-64 years,Caribbean or Black,"Rate per 1,000 Social Care Clients",0,0
2019/20,Scottish Borders,18-64 years,Caribbean or Black,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2019/20,Scottish Borders,18-64 years,White,"Rate per 1,000 Social Care Clients",928.6,845
2019/20,Scottish Borders,18-64 years,White,"Rate per 1,000 Social Care Clients (adjusted)",927.4,830
2019/20,Scottish Borders,18-64 years,Other Ethnic Group,"Rate per 1,000 Social Care Clients",0,0
2019/20,Scottish Borders,18-64 years,Other Ethnic Group,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2019/20,Scottish Borders,18-64 years,Not Provided / Not Known,"Rate per 1,000 Social Care Clients",65.9,60
2019/20,Scottish Borders,18-64 years,Not Provided / Not Known,"Rate per 1,000 Social Care Clients (adjusted)",67,60
2019/20,Scottish Borders,18-64 years,Any Mixed or Multiple Ethnic Groups,"Rate per 1,000 Social Care Clients",5.5,5
2019/20,Scottish Borders,18-64 years,Any Mixed or Multiple Ethnic Groups,"Rate per 1,000 Social Care Clients (adjusted)",5.6,5
2019/20,Scottish Borders,65-74 years,African,"Rate per 1,000 Social Care Clients",0,0
2019/20,Scottish Borders,65-74 years,African,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2019/20,Scottish Borders,65-74 years,Asian,"Rate per 1,000 Social Care Clients",0,0
2019/20,Scottish Borders,65-74 years,Asian,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2019/20,Scottish Borders,65-74 years,Caribbean or Black,"Rate per 1,000 Social Care Clients",0,0
2019/20,Scottish Borders,65-74 years,Caribbean or Black,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2019/20,Scottish Borders,65-74 years,White,"Rate per 1,000 Social Care Clients",890.5,480
2019/20,Scottish Borders,65-74 years,White,"Rate per 1,000 Social Care Clients (adjusted)",890,445
2019/20,Scottish Borders,65-74 years,Other Ethnic Group,"Rate per 1,000 Social Care Clients",0,0
2019/20,Scottish Borders,65-74 years,Other Ethnic Group,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2019/20,Scottish Borders,65-74 years,Not Provided / Not Known,"Rate per 1,000 Social Care Clients",102,55
2019/20,Scottish Borders,65-74 years,Not Provided / Not Known,"Rate per 1,000 Social Care Clients (adjusted)",100,50
2019/20,Scottish Borders,65-74 years,Any Mixed or Multiple Ethnic Groups,"Rate per 1,000 Social Care Clients",0,0
2019/20,Scottish Borders,65-74 years,Any Mixed or Multiple Ethnic Groups,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2019/20,Scottish Borders,75-84 years,African,"Rate per 1,000 Social Care Clients",0,0
2019/20,Scottish Borders,75-84 years,African,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2019/20,Scottish Borders,75-84 years,Asian,"Rate per 1,000 Social Care Clients",0,0
2019/20,Scottish Borders,75-84 years,Asian,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2019/20,Scottish Borders,75-84 years,Caribbean or Black,"Rate per 1,000 Social Care Clients",0,0
2019/20,Scottish Borders,75-84 years,Caribbean or Black,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2019/20,Scottish Borders,75-84 years,White,"Rate per 1,000 Social Care Clients",907.9,1075
2019/20,Scottish Borders,75-84 years,White,"Rate per 1,000 Social Care Clients (adjusted)",899.9,935
2019/20,Scottish Borders,75-84 years,Other Ethnic Group,"Rate per 1,000 Social Care Clients",0,0
2019/20,Scottish Borders,75-84 years,Other Ethnic Group,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2019/20,Scottish Borders,75-84 years,Not Provided / Not Known,"Rate per 1,000 Social Care Clients",88.7,105
2019/20,Scottish Borders,75-84 years,Not Provided / Not Known,"Rate per 1,000 Social Care Clients (adjusted)",101.1,105
2019/20,Scottish Borders,75-84 years,Any Mixed or Multiple Ethnic Groups,"Rate per 1,000 Social Care Clients",0,0
2019/20,Scottish Borders,75-84 years,Any Mixed or Multiple Ethnic Groups,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2019/20,Scottish Borders,85+ years,African,"Rate per 1,000 Social Care Clients",0,0
2019/20,Scottish Borders,85+ years,African,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2019/20,Scottish Borders,85+ years,Asian,"Rate per 1,000 Social Care Clients",3,5
2019/20,Scottish Borders,85+ years,Asian,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2019/20,Scottish Borders,85+ years,Caribbean or Black,"Rate per 1,000 Social Care Clients",0,0
2019/20,Scottish Borders,85+ years,Caribbean or Black,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2019/20,Scottish Borders,85+ years,White,"Rate per 1,000 Social Care Clients",924.4,1565
2019/20,Scottish Borders,85+ years,White,"Rate per 1,000 Social Care Clients (adjusted)",920,1230
2019/20,Scottish Borders,85+ years,Other Ethnic Group,"Rate per 1,000 Social Care Clients",0,0
2019/20,Scottish Borders,85+ years,Other Ethnic Group,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2019/20,Scottish Borders,85+ years,Not Provided / Not Known,"Rate per 1,000 Social Care Clients",70.9,120
2019/20,Scottish Borders,85+ years,Not Provided / Not Known,"Rate per 1,000 Social Care Clients (adjusted)",78.5,105
2019/20,Scottish Borders,85+ years,Any Mixed or Multiple Ethnic Groups,"Rate per 1,000 Social Care Clients",0,0
2019/20,Scottish Borders,85+ years,Any Mixed or Multiple Ethnic Groups,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2019/20,Scottish Borders,Unknown,African,"Rate per 1,000 Social Care Clients",0,0
2019/20,Scottish Borders,Unknown,African,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2019/20,Scottish Borders,Unknown,Asian,"Rate per 1,000 Social Care Clients",0,0
2019/20,Scottish Borders,Unknown,Asian,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2019/20,Scottish Borders,Unknown,Caribbean or Black,"Rate per 1,000 Social Care Clients",0,0
2019/20,Scottish Borders,Unknown,Caribbean or Black,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2019/20,Scottish Borders,Unknown,White,"Rate per 1,000 Social Care Clients",0,0
2019/20,Scottish Borders,Unknown,White,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2019/20,Scottish Borders,Unknown,Other Ethnic Group,"Rate per 1,000 Social Care Clients",0,0
2019/20,Scottish Borders,Unknown,Other Ethnic Group,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2019/20,Scottish Borders,Unknown,Not Provided / Not Known,"Rate per 1,000 Social Care Clients",0,0
2019/20,Scottish Borders,Unknown,Not Provided / Not Known,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2019/20,Scottish Borders,Unknown,Any Mixed or Multiple Ethnic Groups,"Rate per 1,000 Social Care Clients",0,0
2019/20,Scottish Borders,Unknown,Any Mixed or Multiple Ethnic Groups,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2020/21,Scottish Borders,All Ages,African,"Rate per 1,000 Social Care Clients",0,0
2020/21,Scottish Borders,All Ages,African,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2020/21,Scottish Borders,All Ages,Asian,"Rate per 1,000 Social Care Clients",2.5,10
2020/21,Scottish Borders,All Ages,Asian,"Rate per 1,000 Social Care Clients (adjusted)",1.5,5
2020/21,Scottish Borders,All Ages,Caribbean or Black,"Rate per 1,000 Social Care Clients",0,0
2020/21,Scottish Borders,All Ages,Caribbean or Black,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2020/21,Scottish Borders,All Ages,White,"Rate per 1,000 Social Care Clients",897.7,3640
2020/21,Scottish Borders,All Ages,White,"Rate per 1,000 Social Care Clients (adjusted)",887.9,2970
2020/21,Scottish Borders,All Ages,Other Ethnic Group,"Rate per 1,000 Social Care Clients",1.2,5
2020/21,Scottish Borders,All Ages,Other Ethnic Group,"Rate per 1,000 Social Care Clients (adjusted)",1.5,5
2020/21,Scottish Borders,All Ages,Not Provided / Not Known,"Rate per 1,000 Social Care Clients",97.4,395
2020/21,Scottish Borders,All Ages,Not Provided / Not Known,"Rate per 1,000 Social Care Clients (adjusted)",107.6,360
2020/21,Scottish Borders,All Ages,Any Mixed or Multiple Ethnic Groups,"Rate per 1,000 Social Care Clients",1.2,5
2020/21,Scottish Borders,All Ages,Any Mixed or Multiple Ethnic Groups,"Rate per 1,000 Social Care Clients (adjusted)",1.5,5
2020/21,Scottish Borders,0-17 years,African,"Rate per 1,000 Social Care Clients",0,0
2020/21,Scottish Borders,0-17 years,African,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2020/21,Scottish Borders,0-17 years,Asian,"Rate per 1,000 Social Care Clients",0,0
2020/21,Scottish Borders,0-17 years,Asian,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2020/21,Scottish Borders,0-17 years,Caribbean or Black,"Rate per 1,000 Social Care Clients",0,0
2020/21,Scottish Borders,0-17 years,Caribbean or Black,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2020/21,Scottish Borders,0-17 years,White,"Rate per 1,000 Social Care Clients",916.7,55
2020/21,Scottish Borders,0-17 years,White,"Rate per 1,000 Social Care Clients (adjusted)",916.7,55
2020/21,Scottish Borders,0-17 years,Other Ethnic Group,"Rate per 1,000 Social Care Clients",0,0
2020/21,Scottish Borders,0-17 years,Other Ethnic Group,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2020/21,Scottish Borders,0-17 years,Not Provided / Not Known,"Rate per 1,000 Social Care Clients",0,0
2020/21,Scottish Borders,0-17 years,Not Provided / Not Known,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2020/21,Scottish Borders,0-17 years,Any Mixed or Multiple Ethnic Groups,"Rate per 1,000 Social Care Clients",0,0
2020/21,Scottish Borders,0-17 years,Any Mixed or Multiple Ethnic Groups,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2020/21,Scottish Borders,18-64 years,African,"Rate per 1,000 Social Care Clients",0,0
2020/21,Scottish Borders,18-64 years,African,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2020/21,Scottish Borders,18-64 years,Asian,"Rate per 1,000 Social Care Clients",6.2,5
2020/21,Scottish Borders,18-64 years,Asian,"Rate per 1,000 Social Care Clients (adjusted)",6.5,5
2020/21,Scottish Borders,18-64 years,Caribbean or Black,"Rate per 1,000 Social Care Clients",0,0
2020/21,Scottish Borders,18-64 years,Caribbean or Black,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2020/21,Scottish Borders,18-64 years,White,"Rate per 1,000 Social Care Clients",937.9,755
2020/21,Scottish Borders,18-64 years,White,"Rate per 1,000 Social Care Clients (adjusted)",935.1,720
2020/21,Scottish Borders,18-64 years,Other Ethnic Group,"Rate per 1,000 Social Care Clients",0,0
2020/21,Scottish Borders,18-64 years,Other Ethnic Group,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2020/21,Scottish Borders,18-64 years,Not Provided / Not Known,"Rate per 1,000 Social Care Clients",55.9,45
2020/21,Scottish Borders,18-64 years,Not Provided / Not Known,"Rate per 1,000 Social Care Clients (adjusted)",58.4,45
2020/21,Scottish Borders,18-64 years,Any Mixed or Multiple Ethnic Groups,"Rate per 1,000 Social Care Clients",0,0
2020/21,Scottish Borders,18-64 years,Any Mixed or Multiple Ethnic Groups,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2020/21,Scottish Borders,65-74 years,African,"Rate per 1,000 Social Care Clients",0,0
2020/21,Scottish Borders,65-74 years,African,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2020/21,Scottish Borders,65-74 years,Asian,"Rate per 1,000 Social Care Clients",0,0
2020/21,Scottish Borders,65-74 years,Asian,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2020/21,Scottish Borders,65-74 years,Caribbean or Black,"Rate per 1,000 Social Care Clients",0,0
2020/21,Scottish Borders,65-74 years,Caribbean or Black,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2020/21,Scottish Borders,65-74 years,White,"Rate per 1,000 Social Care Clients",877.6,430
2020/21,Scottish Borders,65-74 years,White,"Rate per 1,000 Social Care Clients (adjusted)",873.6,380
2020/21,Scottish Borders,65-74 years,Other Ethnic Group,"Rate per 1,000 Social Care Clients",0,0
2020/21,Scottish Borders,65-74 years,Other Ethnic Group,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2020/21,Scottish Borders,65-74 years,Not Provided / Not Known,"Rate per 1,000 Social Care Clients",112.2,55
2020/21,Scottish Borders,65-74 years,Not Provided / Not Known,"Rate per 1,000 Social Care Clients (adjusted)",126.4,55
2020/21,Scottish Borders,65-74 years,Any Mixed or Multiple Ethnic Groups,"Rate per 1,000 Social Care Clients",0,0
2020/21,Scottish Borders,65-74 years,Any Mixed or Multiple Ethnic Groups,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2020/21,Scottish Borders,75-84 years,African,"Rate per 1,000 Social Care Clients",0,0
2020/21,Scottish Borders,75-84 years,African,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2020/21,Scottish Borders,75-84 years,Asian,"Rate per 1,000 Social Care Clients",0,0
2020/21,Scottish Borders,75-84 years,Asian,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2020/21,Scottish Borders,75-84 years,Caribbean or Black,"Rate per 1,000 Social Care Clients",0,0
2020/21,Scottish Borders,75-84 years,Caribbean or Black,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2020/21,Scottish Borders,75-84 years,White,"Rate per 1,000 Social Care Clients",873.3,965
2020/21,Scottish Borders,75-84 years,White,"Rate per 1,000 Social Care Clients (adjusted)",860.3,770
2020/21,Scottish Borders,75-84 years,Other Ethnic Group,"Rate per 1,000 Social Care Clients",0,0
2020/21,Scottish Borders,75-84 years,Other Ethnic Group,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2020/21,Scottish Borders,75-84 years,Not Provided / Not Known,"Rate per 1,000 Social Care Clients",126.7,140
2020/21,Scottish Borders,75-84 years,Not Provided / Not Known,"Rate per 1,000 Social Care Clients (adjusted)",139.7,125
2020/21,Scottish Borders,75-84 years,Any Mixed or Multiple Ethnic Groups,"Rate per 1,000 Social Care Clients",0,0
2020/21,Scottish Borders,75-84 years,Any Mixed or Multiple Ethnic Groups,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2020/21,Scottish Borders,85+ years,African,"Rate per 1,000 Social Care Clients",0,0
2020/21,Scottish Borders,85+ years,African,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2020/21,Scottish Borders,85+ years,Asian,"Rate per 1,000 Social Care Clients",3.1,5
2020/21,Scottish Borders,85+ years,Asian,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2020/21,Scottish Borders,85+ years,Caribbean or Black,"Rate per 1,000 Social Care Clients",0,0
2020/21,Scottish Borders,85+ years,Caribbean or Black,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2020/21,Scottish Borders,85+ years,White,"Rate per 1,000 Social Care Clients",896.9,1435
2020/21,Scottish Borders,85+ years,White,"Rate per 1,000 Social Care Clients (adjusted)",881.9,1045
2020/21,Scottish Borders,85+ years,Other Ethnic Group,"Rate per 1,000 Social Care Clients",0,0
2020/21,Scottish Borders,85+ years,Other Ethnic Group,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2020/21,Scottish Borders,85+ years,Not Provided / Not Known,"Rate per 1,000 Social Care Clients",96.9,155
2020/21,Scottish Borders,85+ years,Not Provided / Not Known,"Rate per 1,000 Social Care Clients (adjusted)",113.9,135
2020/21,Scottish Borders,85+ years,Any Mixed or Multiple Ethnic Groups,"Rate per 1,000 Social Care Clients",0,0
2020/21,Scottish Borders,85+ years,Any Mixed or Multiple Ethnic Groups,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2020/21,Scottish Borders,Unknown,African,"Rate per 1,000 Social Care Clients",0,0
2020/21,Scottish Borders,Unknown,African,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2020/21,Scottish Borders,Unknown,Asian,"Rate per 1,000 Social Care Clients",0,0
2020/21,Scottish Borders,Unknown,Asian,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2020/21,Scottish Borders,Unknown,Caribbean or Black,"Rate per 1,000 Social Care Clients",0,0
2020/21,Scottish Borders,Unknown,Caribbean or Black,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2020/21,Scottish Borders,Unknown,White,"Rate per 1,000 Social Care Clients",0,0
2020/21,Scottish Borders,Unknown,White,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2020/21,Scottish Borders,Unknown,Other Ethnic Group,"Rate per 1,000 Social Care Clients",0,0
2020/21,Scottish Borders,Unknown,Other Ethnic Group,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2020/21,Scottish Borders,Unknown,Not Provided / Not Known,"Rate per 1,000 Social Care Clients",0,0
2020/21,Scottish Borders,Unknown,Not Provided / Not Known,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2020/21,Scottish Borders,Unknown,Any Mixed or Multiple Ethnic Groups,"Rate per 1,000 Social Care Clients",0,0
2020/21,Scottish Borders,Unknown,Any Mixed or Multiple Ethnic Groups,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2021/22,Scottish Borders,All Ages,African,"Rate per 1,000 Social Care Clients",0,0
2021/22,Scottish Borders,All Ages,African,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2021/22,Scottish Borders,All Ages,Asian,"Rate per 1,000 Social Care Clients",1.1,5
2021/22,Scottish Borders,All Ages,Asian,"Rate per 1,000 Social Care Clients (adjusted)",1.4,5
2021/22,Scottish Borders,All Ages,Caribbean or Black,"Rate per 1,000 Social Care Clients",0,0
2021/22,Scottish Borders,All Ages,Caribbean or Black,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2021/22,Scottish Borders,All Ages,White,"Rate per 1,000 Social Care Clients",818,3685
2021/22,Scottish Borders,All Ages,White,"Rate per 1,000 Social Care Clients (adjusted)",793.2,2800
2021/22,Scottish Borders,All Ages,Other Ethnic Group,"Rate per 1,000 Social Care Clients",1.1,5
2021/22,Scottish Borders,All Ages,Other Ethnic Group,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2021/22,Scottish Borders,All Ages,Not Provided / Not Known,"Rate per 1,000 Social Care Clients",178.7,805
2021/22,Scottish Borders,All Ages,Not Provided / Not Known,"Rate per 1,000 Social Care Clients (adjusted)",204,720
2021/22,Scottish Borders,All Ages,Any Mixed or Multiple Ethnic Groups,"Rate per 1,000 Social Care Clients",1.1,5
2021/22,Scottish Borders,All Ages,Any Mixed or Multiple Ethnic Groups,"Rate per 1,000 Social Care Clients (adjusted)",1.4,5
2021/22,Scottish Borders,0-17 years,African,"Rate per 1,000 Social Care Clients",0,0
2021/22,Scottish Borders,0-17 years,African,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2021/22,Scottish Borders,0-17 years,Asian,"Rate per 1,000 Social Care Clients",0,0
2021/22,Scottish Borders,0-17 years,Asian,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2021/22,Scottish Borders,0-17 years,Caribbean or Black,"Rate per 1,000 Social Care Clients",0,0
2021/22,Scottish Borders,0-17 years,Caribbean or Black,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2021/22,Scottish Borders,0-17 years,White,"Rate per 1,000 Social Care Clients",863.6,95
2021/22,Scottish Borders,0-17 years,White,"Rate per 1,000 Social Care Clients (adjusted)",916.7,55
2021/22,Scottish Borders,0-17 years,Other Ethnic Group,"Rate per 1,000 Social Care Clients",0,0
2021/22,Scottish Borders,0-17 years,Other Ethnic Group,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2021/22,Scottish Borders,0-17 years,Not Provided / Not Known,"Rate per 1,000 Social Care Clients",90.9,10
2021/22,Scottish Borders,0-17 years,Not Provided / Not Known,"Rate per 1,000 Social Care Clients (adjusted)",83.3,5
2021/22,Scottish Borders,0-17 years,Any Mixed or Multiple Ethnic Groups,"Rate per 1,000 Social Care Clients",0,0
2021/22,Scottish Borders,0-17 years,Any Mixed or Multiple Ethnic Groups,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2021/22,Scottish Borders,18-64 years,African,"Rate per 1,000 Social Care Clients",0,0
2021/22,Scottish Borders,18-64 years,African,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2021/22,Scottish Borders,18-64 years,Asian,"Rate per 1,000 Social Care Clients",0,0
2021/22,Scottish Borders,18-64 years,Asian,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2021/22,Scottish Borders,18-64 years,Caribbean or Black,"Rate per 1,000 Social Care Clients",0,0
2021/22,Scottish Borders,18-64 years,Caribbean or Black,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2021/22,Scottish Borders,18-64 years,White,"Rate per 1,000 Social Care Clients",897.6,920
2021/22,Scottish Borders,18-64 years,White,"Rate per 1,000 Social Care Clients (adjusted)",914.5,695
2021/22,Scottish Borders,18-64 years,Other Ethnic Group,"Rate per 1,000 Social Care Clients",0,0
2021/22,Scottish Borders,18-64 years,Other Ethnic Group,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2021/22,Scottish Borders,18-64 years,Not Provided / Not Known,"Rate per 1,000 Social Care Clients",97.6,100
2021/22,Scottish Borders,18-64 years,Not Provided / Not Known,"Rate per 1,000 Social Care Clients (adjusted)",85.5,65
2021/22,Scottish Borders,18-64 years,Any Mixed or Multiple Ethnic Groups,"Rate per 1,000 Social Care Clients",4.9,5
2021/22,Scottish Borders,18-64 years,Any Mixed or Multiple Ethnic Groups,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2021/22,Scottish Borders,65-74 years,African,"Rate per 1,000 Social Care Clients",0,0
2021/22,Scottish Borders,65-74 years,African,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2021/22,Scottish Borders,65-74 years,Asian,"Rate per 1,000 Social Care Clients",0,0
2021/22,Scottish Borders,65-74 years,Asian,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2021/22,Scottish Borders,65-74 years,Caribbean or Black,"Rate per 1,000 Social Care Clients",0,0
2021/22,Scottish Borders,65-74 years,Caribbean or Black,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2021/22,Scottish Borders,65-74 years,White,"Rate per 1,000 Social Care Clients",857.1,390
2021/22,Scottish Borders,65-74 years,White,"Rate per 1,000 Social Care Clients (adjusted)",846.2,330
2021/22,Scottish Borders,65-74 years,Other Ethnic Group,"Rate per 1,000 Social Care Clients",0,0
2021/22,Scottish Borders,65-74 years,Other Ethnic Group,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2021/22,Scottish Borders,65-74 years,Not Provided / Not Known,"Rate per 1,000 Social Care Clients",131.9,60
2021/22,Scottish Borders,65-74 years,Not Provided / Not Known,"Rate per 1,000 Social Care Clients (adjusted)",141,55
2021/22,Scottish Borders,65-74 years,Any Mixed or Multiple Ethnic Groups,"Rate per 1,000 Social Care Clients",0,0
2021/22,Scottish Borders,65-74 years,Any Mixed or Multiple Ethnic Groups,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2021/22,Scottish Borders,75-84 years,African,"Rate per 1,000 Social Care Clients",0,0
2021/22,Scottish Borders,75-84 years,African,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2021/22,Scottish Borders,75-84 years,Asian,"Rate per 1,000 Social Care Clients",0,0
2021/22,Scottish Borders,75-84 years,Asian,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2021/22,Scottish Borders,75-84 years,Caribbean or Black,"Rate per 1,000 Social Care Clients",0,0
2021/22,Scottish Borders,75-84 years,Caribbean or Black,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2021/22,Scottish Borders,75-84 years,White,"Rate per 1,000 Social Care Clients",819,860
2021/22,Scottish Borders,75-84 years,White,"Rate per 1,000 Social Care Clients (adjusted)",791.7,665
2021/22,Scottish Borders,75-84 years,Other Ethnic Group,"Rate per 1,000 Social Care Clients",0,0
2021/22,Scottish Borders,75-84 years,Other Ethnic Group,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2021/22,Scottish Borders,75-84 years,Not Provided / Not Known,"Rate per 1,000 Social Care Clients",176.2,185
2021/22,Scottish Borders,75-84 years,Not Provided / Not Known,"Rate per 1,000 Social Care Clients (adjusted)",202.4,170
