financial_year,sending_location,age_group,client_group,measure,rate,nclient
2017/18,South Lanarkshire,Unknown,Learning Disability,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,South Lanarkshire,Unknown,Mental Health,"Rate per 1,000 Social Care Clients",0,0
2017/18,South Lanarkshire,Unknown,Mental Health,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,South Lanarkshire,Unknown,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients",0,0
2017/18,South Lanarkshire,Unknown,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,South Lanarkshire,Unknown,Other,"Rate per 1,000 Social Care Clients",0,0
2017/18,South Lanarkshire,Unknown,Other,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,South Lanarkshire,Unknown,Not Recorded,"Rate per 1,000 Social Care Clients",0,0
2017/18,South Lanarkshire,Unknown,Not Recorded,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,South Lanarkshire,All Ages,Dementia,"Rate per 1,000 Social Care Clients",244,2130
2018/19,South Lanarkshire,All Ages,Dementia,"Rate per 1,000 Social Care Clients (adjusted)",212.6,1590
2018/19,South Lanarkshire,All Ages,Elderly / Frail,"Rate per 1,000 Social Care Clients",770.5,6725
2018/19,South Lanarkshire,All Ages,Elderly / Frail,"Rate per 1,000 Social Care Clients (adjusted)",753.4,5635
2018/19,South Lanarkshire,All Ages,Learning Disability,"Rate per 1,000 Social Care Clients",73.9,645
2018/19,South Lanarkshire,All Ages,Learning Disability,"Rate per 1,000 Social Care Clients (adjusted)",80.9,605
2018/19,South Lanarkshire,All Ages,Mental Health,"Rate per 1,000 Social Care Clients",100.8,880
2018/19,South Lanarkshire,All Ages,Mental Health,"Rate per 1,000 Social Care Clients (adjusted)",101.6,760
2018/19,South Lanarkshire,All Ages,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients",515.6,4500
2018/19,South Lanarkshire,All Ages,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients (adjusted)",526.8,3940
2018/19,South Lanarkshire,All Ages,Other,"Rate per 1,000 Social Care Clients",289.9,2530
2018/19,South Lanarkshire,All Ages,Other,"Rate per 1,000 Social Care Clients (adjusted)",291.5,2180
2018/19,South Lanarkshire,All Ages,Not Recorded,"Rate per 1,000 Social Care Clients",30.4,265
2018/19,South Lanarkshire,All Ages,Not Recorded,"Rate per 1,000 Social Care Clients (adjusted)",33.4,250
2018/19,South Lanarkshire,0-17 years,Dementia,"Rate per 1,000 Social Care Clients",0,0
2018/19,South Lanarkshire,0-17 years,Dementia,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,South Lanarkshire,0-17 years,Elderly / Frail,"Rate per 1,000 Social Care Clients",0,0
2018/19,South Lanarkshire,0-17 years,Elderly / Frail,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,South Lanarkshire,0-17 years,Learning Disability,"Rate per 1,000 Social Care Clients",312.5,20
2018/19,South Lanarkshire,0-17 years,Learning Disability,"Rate per 1,000 Social Care Clients (adjusted)",312.5,20
2018/19,South Lanarkshire,0-17 years,Mental Health,"Rate per 1,000 Social Care Clients",78.1,5
2018/19,South Lanarkshire,0-17 years,Mental Health,"Rate per 1,000 Social Care Clients (adjusted)",78.1,5
2018/19,South Lanarkshire,0-17 years,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients",390.6,25
2018/19,South Lanarkshire,0-17 years,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients (adjusted)",390.6,25
2018/19,South Lanarkshire,0-17 years,Other,"Rate per 1,000 Social Care Clients",234.4,15
2018/19,South Lanarkshire,0-17 years,Other,"Rate per 1,000 Social Care Clients (adjusted)",234.4,15
2018/19,South Lanarkshire,0-17 years,Not Recorded,"Rate per 1,000 Social Care Clients",390.6,25
2018/19,South Lanarkshire,0-17 years,Not Recorded,"Rate per 1,000 Social Care Clients (adjusted)",390.6,25
2018/19,South Lanarkshire,18-64 years,Dementia,"Rate per 1,000 Social Care Clients",36.9,55
2018/19,South Lanarkshire,18-64 years,Dementia,"Rate per 1,000 Social Care Clients (adjusted)",31.9,45
2018/19,South Lanarkshire,18-64 years,Elderly / Frail,"Rate per 1,000 Social Care Clients",63.8,95
2018/19,South Lanarkshire,18-64 years,Elderly / Frail,"Rate per 1,000 Social Care Clients (adjusted)",56.7,80
2018/19,South Lanarkshire,18-64 years,Learning Disability,"Rate per 1,000 Social Care Clients",355.9,530
2018/19,South Lanarkshire,18-64 years,Learning Disability,"Rate per 1,000 Social Care Clients (adjusted)",354.1,500
2018/19,South Lanarkshire,18-64 years,Mental Health,"Rate per 1,000 Social Care Clients",221.6,330
2018/19,South Lanarkshire,18-64 years,Mental Health,"Rate per 1,000 Social Care Clients (adjusted)",226.6,320
2018/19,South Lanarkshire,18-64 years,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients",389.5,580
2018/19,South Lanarkshire,18-64 years,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients (adjusted)",393.1,555
2018/19,South Lanarkshire,18-64 years,Other,"Rate per 1,000 Social Care Clients",473.5,705
2018/19,South Lanarkshire,18-64 years,Other,"Rate per 1,000 Social Care Clients (adjusted)",478,675
2018/19,South Lanarkshire,18-64 years,Not Recorded,"Rate per 1,000 Social Care Clients",117.5,175
2018/19,South Lanarkshire,18-64 years,Not Recorded,"Rate per 1,000 Social Care Clients (adjusted)",120.4,170
2018/19,South Lanarkshire,65-74 years,Dementia,"Rate per 1,000 Social Care Clients",175.3,210
2018/19,South Lanarkshire,65-74 years,Dementia,"Rate per 1,000 Social Care Clients (adjusted)",153.8,165
2018/19,South Lanarkshire,65-74 years,Elderly / Frail,"Rate per 1,000 Social Care Clients",784.6,940
2018/19,South Lanarkshire,65-74 years,Elderly / Frail,"Rate per 1,000 Social Care Clients (adjusted)",801.5,860
2018/19,South Lanarkshire,65-74 years,Learning Disability,"Rate per 1,000 Social Care Clients",50.1,60
2018/19,South Lanarkshire,65-74 years,Learning Disability,"Rate per 1,000 Social Care Clients (adjusted)",41.9,45
2018/19,South Lanarkshire,65-74 years,Mental Health,"Rate per 1,000 Social Care Clients",121,145
2018/19,South Lanarkshire,65-74 years,Mental Health,"Rate per 1,000 Social Care Clients (adjusted)",116.5,125
2018/19,South Lanarkshire,65-74 years,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients",475.8,570
2018/19,South Lanarkshire,65-74 years,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients (adjusted)",484.6,520
2018/19,South Lanarkshire,65-74 years,Other,"Rate per 1,000 Social Care Clients",350.6,420
2018/19,South Lanarkshire,65-74 years,Other,"Rate per 1,000 Social Care Clients (adjusted)",344.8,370
2018/19,South Lanarkshire,65-74 years,Not Recorded,"Rate per 1,000 Social Care Clients",33.4,40
2018/19,South Lanarkshire,65-74 years,Not Recorded,"Rate per 1,000 Social Care Clients (adjusted)",32.6,35
2018/19,South Lanarkshire,75-84 years,Dementia,"Rate per 1,000 Social Care Clients",309.1,850
2018/19,South Lanarkshire,75-84 years,Dementia,"Rate per 1,000 Social Care Clients (adjusted)",281.6,675
2018/19,South Lanarkshire,75-84 years,Elderly / Frail,"Rate per 1,000 Social Care Clients",941.8,2590
2018/19,South Lanarkshire,75-84 years,Elderly / Frail,"Rate per 1,000 Social Care Clients (adjusted)",940.8,2255
2018/19,South Lanarkshire,75-84 years,Learning Disability,"Rate per 1,000 Social Care Clients",12.7,35
2018/19,South Lanarkshire,75-84 years,Learning Disability,"Rate per 1,000 Social Care Clients (adjusted)",12.5,30
2018/19,South Lanarkshire,75-84 years,Mental Health,"Rate per 1,000 Social Care Clients",76.4,210
2018/19,South Lanarkshire,75-84 years,Mental Health,"Rate per 1,000 Social Care Clients (adjusted)",70.9,170
2018/19,South Lanarkshire,75-84 years,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients",516.4,1420
2018/19,South Lanarkshire,75-84 years,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients (adjusted)",531.9,1275
2018/19,South Lanarkshire,75-84 years,Other,"Rate per 1,000 Social Care Clients",270.9,745
2018/19,South Lanarkshire,75-84 years,Other,"Rate per 1,000 Social Care Clients (adjusted)",264.9,635
2018/19,South Lanarkshire,75-84 years,Not Recorded,"Rate per 1,000 Social Care Clients",5.5,15
2018/19,South Lanarkshire,75-84 years,Not Recorded,"Rate per 1,000 Social Care Clients (adjusted)",4.2,10
2018/19,South Lanarkshire,85+ years,Dementia,"Rate per 1,000 Social Care Clients",316.8,1020
2018/19,South Lanarkshire,85+ years,Dementia,"Rate per 1,000 Social Care Clients (adjusted)",278.3,705
2018/19,South Lanarkshire,85+ years,Elderly / Frail,"Rate per 1,000 Social Care Clients",962.7,3100
2018/19,South Lanarkshire,85+ years,Elderly / Frail,"Rate per 1,000 Social Care Clients (adjusted)",961.3,2435
2018/19,South Lanarkshire,85+ years,Learning Disability,"Rate per 1,000 Social Care Clients",1.6,5
2018/19,South Lanarkshire,85+ years,Learning Disability,"Rate per 1,000 Social Care Clients (adjusted)",2,5
2018/19,South Lanarkshire,85+ years,Mental Health,"Rate per 1,000 Social Care Clients",57.5,185
2018/19,South Lanarkshire,85+ years,Mental Health,"Rate per 1,000 Social Care Clients (adjusted)",57.2,145
2018/19,South Lanarkshire,85+ years,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients",593.2,1910
2018/19,South Lanarkshire,85+ years,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients (adjusted)",615.9,1560
2018/19,South Lanarkshire,85+ years,Other,"Rate per 1,000 Social Care Clients",198.8,640
2018/19,South Lanarkshire,85+ years,Other,"Rate per 1,000 Social Care Clients (adjusted)",193.4,490
2018/19,South Lanarkshire,85+ years,Not Recorded,"Rate per 1,000 Social Care Clients",1.6,5
2018/19,South Lanarkshire,85+ years,Not Recorded,"Rate per 1,000 Social Care Clients (adjusted)",3.9,10
2018/19,South Lanarkshire,Unknown,Dementia,"Rate per 1,000 Social Care Clients",0,0
2018/19,South Lanarkshire,Unknown,Dementia,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,South Lanarkshire,Unknown,Elderly / Frail,"Rate per 1,000 Social Care Clients",0,0
2018/19,South Lanarkshire,Unknown,Elderly / Frail,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,South Lanarkshire,Unknown,Learning Disability,"Rate per 1,000 Social Care Clients",0,0
2018/19,South Lanarkshire,Unknown,Learning Disability,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,South Lanarkshire,Unknown,Mental Health,"Rate per 1,000 Social Care Clients",0,0
2018/19,South Lanarkshire,Unknown,Mental Health,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,South Lanarkshire,Unknown,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients",0,0
2018/19,South Lanarkshire,Unknown,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,South Lanarkshire,Unknown,Other,"Rate per 1,000 Social Care Clients",0,0
2018/19,South Lanarkshire,Unknown,Other,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,South Lanarkshire,Unknown,Not Recorded,"Rate per 1,000 Social Care Clients",714.3,5
2018/19,South Lanarkshire,Unknown,Not Recorded,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2019/20,South Lanarkshire,All Ages,Dementia,"Rate per 1,000 Social Care Clients",154.7,1335
2019/20,South Lanarkshire,All Ages,Dementia,"Rate per 1,000 Social Care Clients (adjusted)",131.1,965
2019/20,South Lanarkshire,All Ages,Elderly / Frail,"Rate per 1,000 Social Care Clients",783.2,6760
2019/20,South Lanarkshire,All Ages,Elderly / Frail,"Rate per 1,000 Social Care Clients (adjusted)",765.5,5635
2019/20,South Lanarkshire,All Ages,Learning Disability,"Rate per 1,000 Social Care Clients",46.3,400
2019/20,South Lanarkshire,All Ages,Learning Disability,"Rate per 1,000 Social Care Clients (adjusted)",52.3,385
2019/20,South Lanarkshire,All Ages,Mental Health,"Rate per 1,000 Social Care Clients",42.3,365
2019/20,South Lanarkshire,All Ages,Mental Health,"Rate per 1,000 Social Care Clients (adjusted)",44.2,325
2019/20,South Lanarkshire,All Ages,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients",241.6,2085
2019/20,South Lanarkshire,All Ages,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients (adjusted)",246.6,1815
2019/20,South Lanarkshire,All Ages,Other,"Rate per 1,000 Social Care Clients",102.5,885
2019/20,South Lanarkshire,All Ages,Other,"Rate per 1,000 Social Care Clients (adjusted)",106.6,785
2019/20,South Lanarkshire,All Ages,Not Recorded,"Rate per 1,000 Social Care Clients",1.7,15
2019/20,South Lanarkshire,All Ages,Not Recorded,"Rate per 1,000 Social Care Clients (adjusted)",1.4,10
2019/20,South Lanarkshire,0-17 years,Dementia,"Rate per 1,000 Social Care Clients",0,0
2019/20,South Lanarkshire,0-17 years,Dementia,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2019/20,South Lanarkshire,0-17 years,Elderly / Frail,"Rate per 1,000 Social Care Clients",0,0
2019/20,South Lanarkshire,0-17 years,Elderly / Frail,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2019/20,South Lanarkshire,0-17 years,Learning Disability,"Rate per 1,000 Social Care Clients",243.9,10
2019/20,South Lanarkshire,0-17 years,Learning Disability,"Rate per 1,000 Social Care Clients (adjusted)",243.9,10
2019/20,South Lanarkshire,0-17 years,Mental Health,"Rate per 1,000 Social Care Clients",0,0
2019/20,South Lanarkshire,0-17 years,Mental Health,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2019/20,South Lanarkshire,0-17 years,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients",365.9,15
2019/20,South Lanarkshire,0-17 years,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients (adjusted)",365.9,15
2019/20,South Lanarkshire,0-17 years,Other,"Rate per 1,000 Social Care Clients",487.8,20
2019/20,South Lanarkshire,0-17 years,Other,"Rate per 1,000 Social Care Clients (adjusted)",487.8,20
2019/20,South Lanarkshire,0-17 years,Not Recorded,"Rate per 1,000 Social Care Clients",0,0
2019/20,South Lanarkshire,0-17 years,Not Recorded,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2019/20,South Lanarkshire,18-64 years,Dementia,"Rate per 1,000 Social Care Clients",17.9,25
2019/20,South Lanarkshire,18-64 years,Dementia,"Rate per 1,000 Social Care Clients (adjusted)",15.1,20
2019/20,South Lanarkshire,18-64 years,Elderly / Frail,"Rate per 1,000 Social Care Clients",64.4,90
2019/20,South Lanarkshire,18-64 years,Elderly / Frail,"Rate per 1,000 Social Care Clients (adjusted)",60.2,80
2019/20,South Lanarkshire,18-64 years,Learning Disability,"Rate per 1,000 Social Care Clients",232.6,325
2019/20,South Lanarkshire,18-64 years,Learning Disability,"Rate per 1,000 Social Care Clients (adjusted)",237.2,315
2019/20,South Lanarkshire,18-64 years,Mental Health,"Rate per 1,000 Social Care Clients",150.3,210
2019/20,South Lanarkshire,18-64 years,Mental Health,"Rate per 1,000 Social Care Clients (adjusted)",154.4,205
2019/20,South Lanarkshire,18-64 years,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients",311.4,435
2019/20,South Lanarkshire,18-64 years,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients (adjusted)",312.5,415
2019/20,South Lanarkshire,18-64 years,Other,"Rate per 1,000 Social Care Clients",322.1,450
2019/20,South Lanarkshire,18-64 years,Other,"Rate per 1,000 Social Care Clients (adjusted)",320,425
2019/20,South Lanarkshire,18-64 years,Not Recorded,"Rate per 1,000 Social Care Clients",7.2,10
2019/20,South Lanarkshire,18-64 years,Not Recorded,"Rate per 1,000 Social Care Clients (adjusted)",7.5,10
2019/20,South Lanarkshire,65-74 years,Dementia,"Rate per 1,000 Social Care Clients",109.2,130
2019/20,South Lanarkshire,65-74 years,Dementia,"Rate per 1,000 Social Care Clients (adjusted)",98,105
2019/20,South Lanarkshire,65-74 years,Elderly / Frail,"Rate per 1,000 Social Care Clients",793.5,945
2019/20,South Lanarkshire,65-74 years,Elderly / Frail,"Rate per 1,000 Social Care Clients (adjusted)",803,860
2019/20,South Lanarkshire,65-74 years,Learning Disability,"Rate per 1,000 Social Care Clients",37.8,45
2019/20,South Lanarkshire,65-74 years,Learning Disability,"Rate per 1,000 Social Care Clients (adjusted)",32.7,35
2019/20,South Lanarkshire,65-74 years,Mental Health,"Rate per 1,000 Social Care Clients",37.8,45
2019/20,South Lanarkshire,65-74 years,Mental Health,"Rate per 1,000 Social Care Clients (adjusted)",37.3,40
2019/20,South Lanarkshire,65-74 years,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients",264.5,315
2019/20,South Lanarkshire,65-74 years,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients (adjusted)",270.8,290
2019/20,South Lanarkshire,65-74 years,Other,"Rate per 1,000 Social Care Clients",113.4,135
2019/20,South Lanarkshire,65-74 years,Other,"Rate per 1,000 Social Care Clients (adjusted)",107.4,115
2019/20,South Lanarkshire,65-74 years,Not Recorded,"Rate per 1,000 Social Care Clients",0,0
2019/20,South Lanarkshire,65-74 years,Not Recorded,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2019/20,South Lanarkshire,75-84 years,Dementia,"Rate per 1,000 Social Care Clients",190.7,525
2019/20,South Lanarkshire,75-84 years,Dementia,"Rate per 1,000 Social Care Clients (adjusted)",172.8,415
2019/20,South Lanarkshire,75-84 years,Elderly / Frail,"Rate per 1,000 Social Care Clients",944.4,2600
2019/20,South Lanarkshire,75-84 years,Elderly / Frail,"Rate per 1,000 Social Care Clients (adjusted)",945,2270
2019/20,South Lanarkshire,75-84 years,Learning Disability,"Rate per 1,000 Social Care Clients",7.3,20
2019/20,South Lanarkshire,75-84 years,Learning Disability,"Rate per 1,000 Social Care Clients (adjusted)",8.3,20
2019/20,South Lanarkshire,75-84 years,Mental Health,"Rate per 1,000 Social Care Clients",16.3,45
2019/20,South Lanarkshire,75-84 years,Mental Health,"Rate per 1,000 Social Care Clients (adjusted)",16.7,40
2019/20,South Lanarkshire,75-84 years,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients",212.5,585
2019/20,South Lanarkshire,75-84 years,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients (adjusted)",222.7,535
2019/20,South Lanarkshire,75-84 years,Other,"Rate per 1,000 Social Care Clients",49,135
2019/20,South Lanarkshire,75-84 years,Other,"Rate per 1,000 Social Care Clients (adjusted)",47.9,115
2019/20,South Lanarkshire,75-84 years,Not Recorded,"Rate per 1,000 Social Care Clients",0,0
2019/20,South Lanarkshire,75-84 years,Not Recorded,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2019/20,South Lanarkshire,85+ years,Dementia,"Rate per 1,000 Social Care Clients",201.7,655
2019/20,South Lanarkshire,85+ years,Dementia,"Rate per 1,000 Social Care Clients (adjusted)",168.7,425
2019/20,South Lanarkshire,85+ years,Elderly / Frail,"Rate per 1,000 Social Care Clients",960.9,3120
2019/20,South Lanarkshire,85+ years,Elderly / Frail,"Rate per 1,000 Social Care Clients (adjusted)",960.7,2420
2019/20,South Lanarkshire,85+ years,Learning Disability,"Rate per 1,000 Social Care Clients",1.5,5
2019/20,South Lanarkshire,85+ years,Learning Disability,"Rate per 1,000 Social Care Clients (adjusted)",2,5
2019/20,South Lanarkshire,85+ years,Mental Health,"Rate per 1,000 Social Care Clients",18.5,60
2019/20,South Lanarkshire,85+ years,Mental Health,"Rate per 1,000 Social Care Clients (adjusted)",13.9,35
2019/20,South Lanarkshire,85+ years,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients",226.4,735
2019/20,South Lanarkshire,85+ years,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients (adjusted)",224.3,565
2019/20,South Lanarkshire,85+ years,Other,"Rate per 1,000 Social Care Clients",44.7,145
2019/20,South Lanarkshire,85+ years,Other,"Rate per 1,000 Social Care Clients (adjusted)",43.7,110
2019/20,South Lanarkshire,85+ years,Not Recorded,"Rate per 1,000 Social Care Clients",0,0
2019/20,South Lanarkshire,85+ years,Not Recorded,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2019/20,South Lanarkshire,Unknown,Dementia,"Rate per 1,000 Social Care Clients",0,0
2019/20,South Lanarkshire,Unknown,Dementia,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2019/20,South Lanarkshire,Unknown,Elderly / Frail,"Rate per 1,000 Social Care Clients",0,0
2019/20,South Lanarkshire,Unknown,Elderly / Frail,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2019/20,South Lanarkshire,Unknown,Learning Disability,"Rate per 1,000 Social Care Clients",0,0
2019/20,South Lanarkshire,Unknown,Learning Disability,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2019/20,South Lanarkshire,Unknown,Mental Health,"Rate per 1,000 Social Care Clients",0,0
2019/20,South Lanarkshire,Unknown,Mental Health,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2019/20,South Lanarkshire,Unknown,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients",0,0
2019/20,South Lanarkshire,Unknown,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2019/20,South Lanarkshire,Unknown,Other,"Rate per 1,000 Social Care Clients",0,0
2019/20,South Lanarkshire,Unknown,Other,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2019/20,South Lanarkshire,Unknown,Not Recorded,"Rate per 1,000 Social Care Clients",0,0
2019/20,South Lanarkshire,Unknown,Not Recorded,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2020/21,South Lanarkshire,All Ages,Dementia,"Rate per 1,000 Social Care Clients",251,2245
2020/21,South Lanarkshire,All Ages,Dementia,"Rate per 1,000 Social Care Clients (adjusted)",233.8,1845
2020/21,South Lanarkshire,All Ages,Elderly / Frail,"Rate per 1,000 Social Care Clients",764.7,6840
2020/21,South Lanarkshire,All Ages,Elderly / Frail,"Rate per 1,000 Social Care Clients (adjusted)",764.9,6035
2020/21,South Lanarkshire,All Ages,Learning Disability,"Rate per 1,000 Social Care Clients",124.7,1115
2020/21,South Lanarkshire,All Ages,Learning Disability,"Rate per 1,000 Social Care Clients (adjusted)",122.3,965
2020/21,South Lanarkshire,All Ages,Mental Health,"Rate per 1,000 Social Care Clients",121.3,1085
2020/21,South Lanarkshire,All Ages,Mental Health,"Rate per 1,000 Social Care Clients (adjusted)",123.6,975
2020/21,South Lanarkshire,All Ages,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients",551.1,4930
2020/21,South Lanarkshire,All Ages,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients (adjusted)",562.1,4435
2020/21,South Lanarkshire,All Ages,Other,"Rate per 1,000 Social Care Clients",335.9,3005
2020/21,South Lanarkshire,All Ages,Other,"Rate per 1,000 Social Care Clients (adjusted)",337.1,2660
2020/21,South Lanarkshire,All Ages,Not Recorded,"Rate per 1,000 Social Care Clients",6.7,60
2020/21,South Lanarkshire,All Ages,Not Recorded,"Rate per 1,000 Social Care Clients (adjusted)",7,55
2020/21,South Lanarkshire,0-17 years,Dementia,"Rate per 1,000 Social Care Clients",0,0
2020/21,South Lanarkshire,0-17 years,Dementia,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2020/21,South Lanarkshire,0-17 years,Elderly / Frail,"Rate per 1,000 Social Care Clients",0,0
2020/21,South Lanarkshire,0-17 years,Elderly / Frail,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2020/21,South Lanarkshire,0-17 years,Learning Disability,"Rate per 1,000 Social Care Clients",250,10
2020/21,South Lanarkshire,0-17 years,Learning Disability,"Rate per 1,000 Social Care Clients (adjusted)",250,10
2020/21,South Lanarkshire,0-17 years,Mental Health,"Rate per 1,000 Social Care Clients",250,10
2020/21,South Lanarkshire,0-17 years,Mental Health,"Rate per 1,000 Social Care Clients (adjusted)",250,10
2020/21,South Lanarkshire,0-17 years,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients",250,10
2020/21,South Lanarkshire,0-17 years,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients (adjusted)",250,10
2020/21,South Lanarkshire,0-17 years,Other,"Rate per 1,000 Social Care Clients",375,15
2020/21,South Lanarkshire,0-17 years,Other,"Rate per 1,000 Social Care Clients (adjusted)",375,15
2020/21,South Lanarkshire,0-17 years,Not Recorded,"Rate per 1,000 Social Care Clients",375,15
2020/21,South Lanarkshire,0-17 years,Not Recorded,"Rate per 1,000 Social Care Clients (adjusted)",375,15
2020/21,South Lanarkshire,18-64 years,Dementia,"Rate per 1,000 Social Care Clients",32.3,55
2020/21,South Lanarkshire,18-64 years,Dementia,"Rate per 1,000 Social Care Clients (adjusted)",29.5,45
2020/21,South Lanarkshire,18-64 years,Elderly / Frail,"Rate per 1,000 Social Care Clients",90.9,155
2020/21,South Lanarkshire,18-64 years,Elderly / Frail,"Rate per 1,000 Social Care Clients (adjusted)",91.8,140
2020/21,South Lanarkshire,18-64 years,Learning Disability,"Rate per 1,000 Social Care Clients",542.5,925
2020/21,South Lanarkshire,18-64 years,Learning Disability,"Rate per 1,000 Social Care Clients (adjusted)",527.9,805
2020/21,South Lanarkshire,18-64 years,Mental Health,"Rate per 1,000 Social Care Clients",290.3,495
2020/21,South Lanarkshire,18-64 years,Mental Health,"Rate per 1,000 Social Care Clients (adjusted)",308.2,470
2020/21,South Lanarkshire,18-64 years,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients",404.7,690
2020/21,South Lanarkshire,18-64 years,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients (adjusted)",416.4,635
2020/21,South Lanarkshire,18-64 years,Other,"Rate per 1,000 Social Care Clients",507.3,865
2020/21,South Lanarkshire,18-64 years,Other,"Rate per 1,000 Social Care Clients (adjusted)",521.3,795
2020/21,South Lanarkshire,18-64 years,Not Recorded,"Rate per 1,000 Social Care Clients",17.6,30
2020/21,South Lanarkshire,18-64 years,Not Recorded,"Rate per 1,000 Social Care Clients (adjusted)",16.4,25
2020/21,South Lanarkshire,65-74 years,Dementia,"Rate per 1,000 Social Care Clients",189.3,230
2020/21,South Lanarkshire,65-74 years,Dementia,"Rate per 1,000 Social Care Clients (adjusted)",182.2,205
2020/21,South Lanarkshire,65-74 years,Elderly / Frail,"Rate per 1,000 Social Care Clients",806.6,980
2020/21,South Lanarkshire,65-74 years,Elderly / Frail,"Rate per 1,000 Social Care Clients (adjusted)",817.8,920
2020/21,South Lanarkshire,65-74 years,Learning Disability,"Rate per 1,000 Social Care Clients",90.5,110
2020/21,South Lanarkshire,65-74 years,Learning Disability,"Rate per 1,000 Social Care Clients (adjusted)",80,90
2020/21,South Lanarkshire,65-74 years,Mental Health,"Rate per 1,000 Social Care Clients",131.7,160
2020/21,South Lanarkshire,65-74 years,Mental Health,"Rate per 1,000 Social Care Clients (adjusted)",128.9,145
2020/21,South Lanarkshire,65-74 years,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients",526.7,640
2020/21,South Lanarkshire,65-74 years,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients (adjusted)",528.9,595
2020/21,South Lanarkshire,65-74 years,Other,"Rate per 1,000 Social Care Clients",399.2,485
2020/21,South Lanarkshire,65-74 years,Other,"Rate per 1,000 Social Care Clients (adjusted)",400,450
2020/21,South Lanarkshire,65-74 years,Not Recorded,"Rate per 1,000 Social Care Clients",4.1,5
2020/21,South Lanarkshire,65-74 years,Not Recorded,"Rate per 1,000 Social Care Clients (adjusted)",4.4,5
2020/21,South Lanarkshire,75-84 years,Dementia,"Rate per 1,000 Social Care Clients",324.8,885
2020/21,South Lanarkshire,75-84 years,Dementia,"Rate per 1,000 Social Care Clients (adjusted)",308.3,760
