financial_year,sending_location,age_group,client_group,measure,denominator,nclient,rate
2020/21,Shetland Islands,Unknown,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients (adjusted)",NA,0,0
2020/21,Shetland Islands,Unknown,Other,"Rate per 1,000 Social Care Clients",3,5,1666.7
2020/21,Shetland Islands,Unknown,Other,"Rate per 1,000 Social Care Clients (adjusted)",NA,0,0
2020/21,Shetland Islands,Unknown,Not Recorded,"Rate per 1,000 Social Care Clients",3,0,0
2020/21,Shetland Islands,Unknown,Not Recorded,"Rate per 1,000 Social Care Clients (adjusted)",NA,0,0
2017/18,South Ayrshire,All Ages,Dementia,"Rate per 1,000 Social Care Clients",5384,555,103.1
2017/18,South Ayrshire,All Ages,Dementia,"Rate per 1,000 Social Care Clients (adjusted)",4784,375,78.4
2017/18,South Ayrshire,All Ages,Elderly / Frail,"Rate per 1,000 Social Care Clients",5384,4375,812.6
2017/18,South Ayrshire,All Ages,Elderly / Frail,"Rate per 1,000 Social Care Clients (adjusted)",4784,3805,795.4
2017/18,South Ayrshire,All Ages,Learning Disability,"Rate per 1,000 Social Care Clients",5384,530,98.4
2017/18,South Ayrshire,All Ages,Learning Disability,"Rate per 1,000 Social Care Clients (adjusted)",4784,520,108.7
2017/18,South Ayrshire,All Ages,Mental Health,"Rate per 1,000 Social Care Clients",5384,0,0
2017/18,South Ayrshire,All Ages,Mental Health,"Rate per 1,000 Social Care Clients (adjusted)",4784,0,0
2017/18,South Ayrshire,All Ages,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients",5384,2545,472.7
2017/18,South Ayrshire,All Ages,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients (adjusted)",4784,2270,474.5
2017/18,South Ayrshire,All Ages,Other,"Rate per 1,000 Social Care Clients",5384,50,9.3
2017/18,South Ayrshire,All Ages,Other,"Rate per 1,000 Social Care Clients (adjusted)",4784,45,9.4
2017/18,South Ayrshire,All Ages,Not Recorded,"Rate per 1,000 Social Care Clients",5384,360,66.9
2017/18,South Ayrshire,All Ages,Not Recorded,"Rate per 1,000 Social Care Clients (adjusted)",4784,345,72.1
2017/18,South Ayrshire,0-17 years,Dementia,"Rate per 1,000 Social Care Clients",21,0,0
2017/18,South Ayrshire,0-17 years,Dementia,"Rate per 1,000 Social Care Clients (adjusted)",20,0,0
2017/18,South Ayrshire,0-17 years,Elderly / Frail,"Rate per 1,000 Social Care Clients",21,15,714.3
2017/18,South Ayrshire,0-17 years,Elderly / Frail,"Rate per 1,000 Social Care Clients (adjusted)",20,15,750
2017/18,South Ayrshire,0-17 years,Learning Disability,"Rate per 1,000 Social Care Clients",21,0,0
2017/18,South Ayrshire,0-17 years,Learning Disability,"Rate per 1,000 Social Care Clients (adjusted)",20,0,0
2017/18,South Ayrshire,0-17 years,Mental Health,"Rate per 1,000 Social Care Clients",21,0,0
2017/18,South Ayrshire,0-17 years,Mental Health,"Rate per 1,000 Social Care Clients (adjusted)",20,0,0
2017/18,South Ayrshire,0-17 years,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients",21,5,238.1
2017/18,South Ayrshire,0-17 years,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients (adjusted)",20,5,250
2017/18,South Ayrshire,0-17 years,Other,"Rate per 1,000 Social Care Clients",NA,0,0
2017/18,South Ayrshire,0-17 years,Other,"Rate per 1,000 Social Care Clients (adjusted)",NA,0,0
2017/18,South Ayrshire,0-17 years,Not Recorded,"Rate per 1,000 Social Care Clients",21,0,0
2017/18,South Ayrshire,0-17 years,Not Recorded,"Rate per 1,000 Social Care Clients (adjusted)",20,0,0
2017/18,South Ayrshire,18-64 years,Dementia,"Rate per 1,000 Social Care Clients",1039,5,4.8
2017/18,South Ayrshire,18-64 years,Dementia,"Rate per 1,000 Social Care Clients (adjusted)",1005,5,5
2017/18,South Ayrshire,18-64 years,Elderly / Frail,"Rate per 1,000 Social Care Clients",1039,55,52.9
2017/18,South Ayrshire,18-64 years,Elderly / Frail,"Rate per 1,000 Social Care Clients (adjusted)",1005,50,49.8
2017/18,South Ayrshire,18-64 years,Learning Disability,"Rate per 1,000 Social Care Clients",1039,470,452.4
2017/18,South Ayrshire,18-64 years,Learning Disability,"Rate per 1,000 Social Care Clients (adjusted)",1005,465,462.7
2017/18,South Ayrshire,18-64 years,Mental Health,"Rate per 1,000 Social Care Clients",1039,0,0
2017/18,South Ayrshire,18-64 years,Mental Health,"Rate per 1,000 Social Care Clients (adjusted)",1005,0,0
2017/18,South Ayrshire,18-64 years,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients",1039,430,413.9
2017/18,South Ayrshire,18-64 years,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients (adjusted)",1005,415,412.9
2017/18,South Ayrshire,18-64 years,Other,"Rate per 1,000 Social Care Clients",1039,50,48.1
2017/18,South Ayrshire,18-64 years,Other,"Rate per 1,000 Social Care Clients (adjusted)",1005,45,44.8
2017/18,South Ayrshire,18-64 years,Not Recorded,"Rate per 1,000 Social Care Clients",1039,350,336.9
2017/18,South Ayrshire,18-64 years,Not Recorded,"Rate per 1,000 Social Care Clients (adjusted)",1005,335,333.3
2017/18,South Ayrshire,65-74 years,Dementia,"Rate per 1,000 Social Care Clients",707,60,84.9
2017/18,South Ayrshire,65-74 years,Dementia,"Rate per 1,000 Social Care Clients (adjusted)",638,45,70.5
2017/18,South Ayrshire,65-74 years,Elderly / Frail,"Rate per 1,000 Social Care Clients",707,695,983
2017/18,South Ayrshire,65-74 years,Elderly / Frail,"Rate per 1,000 Social Care Clients (adjusted)",638,625,979.6
2017/18,South Ayrshire,65-74 years,Learning Disability,"Rate per 1,000 Social Care Clients",707,45,63.6
2017/18,South Ayrshire,65-74 years,Learning Disability,"Rate per 1,000 Social Care Clients (adjusted)",638,45,70.5
2017/18,South Ayrshire,65-74 years,Mental Health,"Rate per 1,000 Social Care Clients",707,0,0
2017/18,South Ayrshire,65-74 years,Mental Health,"Rate per 1,000 Social Care Clients (adjusted)",638,0,0
2017/18,South Ayrshire,65-74 years,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients",707,320,452.6
2017/18,South Ayrshire,65-74 years,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients (adjusted)",638,290,454.5
2017/18,South Ayrshire,65-74 years,Other,"Rate per 1,000 Social Care Clients",NA,0,0
2017/18,South Ayrshire,65-74 years,Other,"Rate per 1,000 Social Care Clients (adjusted)",NA,0,0
2017/18,South Ayrshire,65-74 years,Not Recorded,"Rate per 1,000 Social Care Clients",707,5,7.1
2017/18,South Ayrshire,65-74 years,Not Recorded,"Rate per 1,000 Social Care Clients (adjusted)",638,5,7.8
2017/18,South Ayrshire,75-84 years,Dementia,"Rate per 1,000 Social Care Clients",1693,235,138.8
2017/18,South Ayrshire,75-84 years,Dementia,"Rate per 1,000 Social Care Clients (adjusted)",1490,160,107.4
2017/18,South Ayrshire,75-84 years,Elderly / Frail,"Rate per 1,000 Social Care Clients",1693,1685,995.3
2017/18,South Ayrshire,75-84 years,Elderly / Frail,"Rate per 1,000 Social Care Clients (adjusted)",1490,1485,996.6
2017/18,South Ayrshire,75-84 years,Learning Disability,"Rate per 1,000 Social Care Clients",1693,10,5.9
2017/18,South Ayrshire,75-84 years,Learning Disability,"Rate per 1,000 Social Care Clients (adjusted)",1490,5,3.4
2017/18,South Ayrshire,75-84 years,Mental Health,"Rate per 1,000 Social Care Clients",1693,0,0
2017/18,South Ayrshire,75-84 years,Mental Health,"Rate per 1,000 Social Care Clients (adjusted)",1490,0,0
2017/18,South Ayrshire,75-84 years,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients",1693,760,448.9
2017/18,South Ayrshire,75-84 years,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients (adjusted)",1490,685,459.7
2017/18,South Ayrshire,75-84 years,Other,"Rate per 1,000 Social Care Clients",NA,0,0
2017/18,South Ayrshire,75-84 years,Other,"Rate per 1,000 Social Care Clients (adjusted)",NA,0,0
2017/18,South Ayrshire,75-84 years,Not Recorded,"Rate per 1,000 Social Care Clients",1693,5,3
2017/18,South Ayrshire,75-84 years,Not Recorded,"Rate per 1,000 Social Care Clients (adjusted)",1490,0,0
2017/18,South Ayrshire,85+ years,Dementia,"Rate per 1,000 Social Care Clients",1923,250,130
2017/18,South Ayrshire,85+ years,Dementia,"Rate per 1,000 Social Care Clients (adjusted)",1631,165,101.2
2017/18,South Ayrshire,85+ years,Elderly / Frail,"Rate per 1,000 Social Care Clients",1923,1920,998.4
2017/18,South Ayrshire,85+ years,Elderly / Frail,"Rate per 1,000 Social Care Clients (adjusted)",1631,1630,999.4
2017/18,South Ayrshire,85+ years,Learning Disability,"Rate per 1,000 Social Care Clients",1923,5,2.6
2017/18,South Ayrshire,85+ years,Learning Disability,"Rate per 1,000 Social Care Clients (adjusted)",1631,5,3.1
2017/18,South Ayrshire,85+ years,Mental Health,"Rate per 1,000 Social Care Clients",1923,0,0
2017/18,South Ayrshire,85+ years,Mental Health,"Rate per 1,000 Social Care Clients (adjusted)",1631,0,0
2017/18,South Ayrshire,85+ years,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients",1923,1030,535.6
2017/18,South Ayrshire,85+ years,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients (adjusted)",1631,875,536.5
2017/18,South Ayrshire,85+ years,Other,"Rate per 1,000 Social Care Clients",NA,0,0
2017/18,South Ayrshire,85+ years,Other,"Rate per 1,000 Social Care Clients (adjusted)",NA,0,0
2017/18,South Ayrshire,85+ years,Not Recorded,"Rate per 1,000 Social Care Clients",1923,0,0
2017/18,South Ayrshire,85+ years,Not Recorded,"Rate per 1,000 Social Care Clients (adjusted)",1631,0,0
2017/18,South Ayrshire,Unknown,Dementia,"Rate per 1,000 Social Care Clients",1,0,0
2017/18,South Ayrshire,Unknown,Dementia,"Rate per 1,000 Social Care Clients (adjusted)",NA,0,0
2017/18,South Ayrshire,Unknown,Elderly / Frail,"Rate per 1,000 Social Care Clients",1,0,0
2017/18,South Ayrshire,Unknown,Elderly / Frail,"Rate per 1,000 Social Care Clients (adjusted)",NA,0,0
2017/18,South Ayrshire,Unknown,Learning Disability,"Rate per 1,000 Social Care Clients",1,0,0
2017/18,South Ayrshire,Unknown,Learning Disability,"Rate per 1,000 Social Care Clients (adjusted)",NA,0,0
2017/18,South Ayrshire,Unknown,Mental Health,"Rate per 1,000 Social Care Clients",1,0,0
2017/18,South Ayrshire,Unknown,Mental Health,"Rate per 1,000 Social Care Clients (adjusted)",NA,0,0
2017/18,South Ayrshire,Unknown,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients",1,0,0
2017/18,South Ayrshire,Unknown,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients (adjusted)",NA,0,0
2017/18,South Ayrshire,Unknown,Other,"Rate per 1,000 Social Care Clients",NA,0,0
2017/18,South Ayrshire,Unknown,Other,"Rate per 1,000 Social Care Clients (adjusted)",NA,0,0
2017/18,South Ayrshire,Unknown,Not Recorded,"Rate per 1,000 Social Care Clients",1,0,0
2017/18,South Ayrshire,Unknown,Not Recorded,"Rate per 1,000 Social Care Clients (adjusted)",NA,0,0
2018/19,South Ayrshire,All Ages,Dementia,"Rate per 1,000 Social Care Clients",5385,290,53.9
2018/19,South Ayrshire,All Ages,Dementia,"Rate per 1,000 Social Care Clients (adjusted)",5385,290,53.9
2018/19,South Ayrshire,All Ages,Elderly / Frail,"Rate per 1,000 Social Care Clients",5385,4535,842.2
2018/19,South Ayrshire,All Ages,Elderly / Frail,"Rate per 1,000 Social Care Clients (adjusted)",5385,4535,842.2
2018/19,South Ayrshire,All Ages,Learning Disability,"Rate per 1,000 Social Care Clients",5385,190,35.3
2018/19,South Ayrshire,All Ages,Learning Disability,"Rate per 1,000 Social Care Clients (adjusted)",5385,190,35.3
2018/19,South Ayrshire,All Ages,Mental Health,"Rate per 1,000 Social Care Clients",5385,220,40.9
2018/19,South Ayrshire,All Ages,Mental Health,"Rate per 1,000 Social Care Clients (adjusted)",5385,220,40.9
2018/19,South Ayrshire,All Ages,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients",5385,1895,351.9
2018/19,South Ayrshire,All Ages,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients (adjusted)",5385,1895,351.9
2018/19,South Ayrshire,All Ages,Other,"Rate per 1,000 Social Care Clients",5385,25,4.6
2018/19,South Ayrshire,All Ages,Other,"Rate per 1,000 Social Care Clients (adjusted)",5385,25,4.6
2018/19,South Ayrshire,All Ages,Not Recorded,"Rate per 1,000 Social Care Clients",5385,330,61.3
2018/19,South Ayrshire,All Ages,Not Recorded,"Rate per 1,000 Social Care Clients (adjusted)",5385,330,61.3
2018/19,South Ayrshire,0-17 years,Dementia,"Rate per 1,000 Social Care Clients",20,0,0
2018/19,South Ayrshire,0-17 years,Dementia,"Rate per 1,000 Social Care Clients (adjusted)",20,0,0
2018/19,South Ayrshire,0-17 years,Elderly / Frail,"Rate per 1,000 Social Care Clients",20,0,0
2018/19,South Ayrshire,0-17 years,Elderly / Frail,"Rate per 1,000 Social Care Clients (adjusted)",20,0,0
2018/19,South Ayrshire,0-17 years,Learning Disability,"Rate per 1,000 Social Care Clients",20,0,0
2018/19,South Ayrshire,0-17 years,Learning Disability,"Rate per 1,000 Social Care Clients (adjusted)",20,0,0
2018/19,South Ayrshire,0-17 years,Mental Health,"Rate per 1,000 Social Care Clients",20,0,0
2018/19,South Ayrshire,0-17 years,Mental Health,"Rate per 1,000 Social Care Clients (adjusted)",20,0,0
2018/19,South Ayrshire,0-17 years,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients",20,10,500
2018/19,South Ayrshire,0-17 years,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients (adjusted)",20,10,500
2018/19,South Ayrshire,0-17 years,Other,"Rate per 1,000 Social Care Clients",NA,0,0
2018/19,South Ayrshire,0-17 years,Other,"Rate per 1,000 Social Care Clients (adjusted)",NA,0,0
2018/19,South Ayrshire,0-17 years,Not Recorded,"Rate per 1,000 Social Care Clients",20,10,500
2018/19,South Ayrshire,0-17 years,Not Recorded,"Rate per 1,000 Social Care Clients (adjusted)",20,10,500
2018/19,South Ayrshire,18-64 years,Dementia,"Rate per 1,000 Social Care Clients",828,5,6
2018/19,South Ayrshire,18-64 years,Dementia,"Rate per 1,000 Social Care Clients (adjusted)",828,5,6
2018/19,South Ayrshire,18-64 years,Elderly / Frail,"Rate per 1,000 Social Care Clients",828,55,66.4
2018/19,South Ayrshire,18-64 years,Elderly / Frail,"Rate per 1,000 Social Care Clients (adjusted)",828,55,66.4
2018/19,South Ayrshire,18-64 years,Learning Disability,"Rate per 1,000 Social Care Clients",828,160,193.2
2018/19,South Ayrshire,18-64 years,Learning Disability,"Rate per 1,000 Social Care Clients (adjusted)",828,160,193.2
2018/19,South Ayrshire,18-64 years,Mental Health,"Rate per 1,000 Social Care Clients",828,130,157
2018/19,South Ayrshire,18-64 years,Mental Health,"Rate per 1,000 Social Care Clients (adjusted)",828,130,157
2018/19,South Ayrshire,18-64 years,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients",828,235,283.8
2018/19,South Ayrshire,18-64 years,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients (adjusted)",828,235,283.8
2018/19,South Ayrshire,18-64 years,Other,"Rate per 1,000 Social Care Clients",828,10,12.1
2018/19,South Ayrshire,18-64 years,Other,"Rate per 1,000 Social Care Clients (adjusted)",828,10,12.1
2018/19,South Ayrshire,18-64 years,Not Recorded,"Rate per 1,000 Social Care Clients",828,265,320
2018/19,South Ayrshire,18-64 years,Not Recorded,"Rate per 1,000 Social Care Clients (adjusted)",828,265,320
2018/19,South Ayrshire,65-74 years,Dementia,"Rate per 1,000 Social Care Clients",721,30,41.6
2018/19,South Ayrshire,65-74 years,Dementia,"Rate per 1,000 Social Care Clients (adjusted)",721,30,41.6
2018/19,South Ayrshire,65-74 years,Elderly / Frail,"Rate per 1,000 Social Care Clients",721,715,991.7
2018/19,South Ayrshire,65-74 years,Elderly / Frail,"Rate per 1,000 Social Care Clients (adjusted)",721,715,991.7
2018/19,South Ayrshire,65-74 years,Learning Disability,"Rate per 1,000 Social Care Clients",721,20,27.7
2018/19,South Ayrshire,65-74 years,Learning Disability,"Rate per 1,000 Social Care Clients (adjusted)",721,20,27.7
2018/19,South Ayrshire,65-74 years,Mental Health,"Rate per 1,000 Social Care Clients",721,45,62.4
2018/19,South Ayrshire,65-74 years,Mental Health,"Rate per 1,000 Social Care Clients (adjusted)",721,45,62.4
2018/19,South Ayrshire,65-74 years,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients",721,225,312.1
2018/19,South Ayrshire,65-74 years,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients (adjusted)",721,225,312.1
2018/19,South Ayrshire,65-74 years,Other,"Rate per 1,000 Social Care Clients",721,5,6.9
2018/19,South Ayrshire,65-74 years,Other,"Rate per 1,000 Social Care Clients (adjusted)",721,5,6.9
2018/19,South Ayrshire,65-74 years,Not Recorded,"Rate per 1,000 Social Care Clients",721,5,6.9
2018/19,South Ayrshire,65-74 years,Not Recorded,"Rate per 1,000 Social Care Clients (adjusted)",721,5,6.9
2018/19,South Ayrshire,75-84 years,Dementia,"Rate per 1,000 Social Care Clients",1766,125,70.8
2018/19,South Ayrshire,75-84 years,Dementia,"Rate per 1,000 Social Care Clients (adjusted)",1766,125,70.8
2018/19,South Ayrshire,75-84 years,Elderly / Frail,"Rate per 1,000 Social Care Clients",1766,1745,988.1
2018/19,South Ayrshire,75-84 years,Elderly / Frail,"Rate per 1,000 Social Care Clients (adjusted)",1766,1745,988.1
2018/19,South Ayrshire,75-84 years,Learning Disability,"Rate per 1,000 Social Care Clients",1766,5,2.8
2018/19,South Ayrshire,75-84 years,Learning Disability,"Rate per 1,000 Social Care Clients (adjusted)",1766,5,2.8
2018/19,South Ayrshire,75-84 years,Mental Health,"Rate per 1,000 Social Care Clients",1766,25,14.2
2018/19,South Ayrshire,75-84 years,Mental Health,"Rate per 1,000 Social Care Clients (adjusted)",1766,25,14.2
2018/19,South Ayrshire,75-84 years,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients",1766,610,345.4
2018/19,South Ayrshire,75-84 years,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients (adjusted)",1766,610,345.4
2018/19,South Ayrshire,75-84 years,Other,"Rate per 1,000 Social Care Clients",1766,10,5.7
2018/19,South Ayrshire,75-84 years,Other,"Rate per 1,000 Social Care Clients (adjusted)",1766,10,5.7
2018/19,South Ayrshire,75-84 years,Not Recorded,"Rate per 1,000 Social Care Clients",1766,20,11.3
2018/19,South Ayrshire,75-84 years,Not Recorded,"Rate per 1,000 Social Care Clients (adjusted)",1766,20,11.3
2018/19,South Ayrshire,85+ years,Dementia,"Rate per 1,000 Social Care Clients",2049,130,63.4
2018/19,South Ayrshire,85+ years,Dementia,"Rate per 1,000 Social Care Clients (adjusted)",2050,130,63.4
2018/19,South Ayrshire,85+ years,Elderly / Frail,"Rate per 1,000 Social Care Clients",2049,2020,985.8
2018/19,South Ayrshire,85+ years,Elderly / Frail,"Rate per 1,000 Social Care Clients (adjusted)",2050,2020,985.4
2018/19,South Ayrshire,85+ years,Learning Disability,"Rate per 1,000 Social Care Clients",2049,5,2.4
2018/19,South Ayrshire,85+ years,Learning Disability,"Rate per 1,000 Social Care Clients (adjusted)",2050,5,2.4
2018/19,South Ayrshire,85+ years,Mental Health,"Rate per 1,000 Social Care Clients",2049,25,12.2
2018/19,South Ayrshire,85+ years,Mental Health,"Rate per 1,000 Social Care Clients (adjusted)",2050,25,12.2
2018/19,South Ayrshire,85+ years,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients",2049,815,397.8
2018/19,South Ayrshire,85+ years,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients (adjusted)",2050,815,397.6
2018/19,South Ayrshire,85+ years,Other,"Rate per 1,000 Social Care Clients",2049,0,0
2018/19,South Ayrshire,85+ years,Other,"Rate per 1,000 Social Care Clients (adjusted)",2050,0,0
2018/19,South Ayrshire,85+ years,Not Recorded,"Rate per 1,000 Social Care Clients",2049,25,12.2
2018/19,South Ayrshire,85+ years,Not Recorded,"Rate per 1,000 Social Care Clients (adjusted)",2050,30,14.6
2018/19,South Ayrshire,Unknown,Dementia,"Rate per 1,000 Social Care Clients",1,0,0
2018/19,South Ayrshire,Unknown,Dementia,"Rate per 1,000 Social Care Clients (adjusted)",NA,0,0
2018/19,South Ayrshire,Unknown,Elderly / Frail,"Rate per 1,000 Social Care Clients",1,0,0
2018/19,South Ayrshire,Unknown,Elderly / Frail,"Rate per 1,000 Social Care Clients (adjusted)",NA,0,0
2018/19,South Ayrshire,Unknown,Learning Disability,"Rate per 1,000 Social Care Clients",1,0,0
2018/19,South Ayrshire,Unknown,Learning Disability,"Rate per 1,000 Social Care Clients (adjusted)",NA,0,0
2018/19,South Ayrshire,Unknown,Mental Health,"Rate per 1,000 Social Care Clients",1,0,0
2018/19,South Ayrshire,Unknown,Mental Health,"Rate per 1,000 Social Care Clients (adjusted)",NA,0,0
2018/19,South Ayrshire,Unknown,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients",1,0,0
2018/19,South Ayrshire,Unknown,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients (adjusted)",NA,0,0
2018/19,South Ayrshire,Unknown,Other,"Rate per 1,000 Social Care Clients",NA,0,0
2018/19,South Ayrshire,Unknown,Other,"Rate per 1,000 Social Care Clients (adjusted)",NA,0,0
2018/19,South Ayrshire,Unknown,Not Recorded,"Rate per 1,000 Social Care Clients",1,0,0
2018/19,South Ayrshire,Unknown,Not Recorded,"Rate per 1,000 Social Care Clients (adjusted)",NA,0,0
2019/20,South Ayrshire,All Ages,Dementia,"Rate per 1,000 Social Care Clients",3289,280,85.1
2019/20,South Ayrshire,All Ages,Dementia,"Rate per 1,000 Social Care Clients (adjusted)",2195,125,56.9
2019/20,South Ayrshire,All Ages,Elderly / Frail,"Rate per 1,000 Social Care Clients",3289,595,180.9
2019/20,South Ayrshire,All Ages,Elderly / Frail,"Rate per 1,000 Social Care Clients (adjusted)",2195,315,143.5
2019/20,South Ayrshire,All Ages,Learning Disability,"Rate per 1,000 Social Care Clients",3289,210,63.8
2019/20,South Ayrshire,All Ages,Learning Disability,"Rate per 1,000 Social Care Clients (adjusted)",2195,170,77.4
2019/20,South Ayrshire,All Ages,Mental Health,"Rate per 1,000 Social Care Clients",3289,185,56.2
2019/20,South Ayrshire,All Ages,Mental Health,"Rate per 1,000 Social Care Clients (adjusted)",2195,135,61.5
2019/20,South Ayrshire,All Ages,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients",3289,495,150.5
2019/20,South Ayrshire,All Ages,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients (adjusted)",2195,320,145.8
2019/20,South Ayrshire,All Ages,Other,"Rate per 1,000 Social Care Clients",3289,1325,402.9
2019/20,South Ayrshire,All Ages,Other,"Rate per 1,000 Social Care Clients (adjusted)",2195,990,451
2019/20,South Ayrshire,All Ages,Not Recorded,"Rate per 1,000 Social Care Clients",3289,205,62.3
2019/20,South Ayrshire,All Ages,Not Recorded,"Rate per 1,000 Social Care Clients (adjusted)",2195,140,63.8
2019/20,South Ayrshire,0-17 years,Dementia,"Rate per 1,000 Social Care Clients",NA,0,0
2019/20,South Ayrshire,0-17 years,Dementia,"Rate per 1,000 Social Care Clients (adjusted)",NA,0,0
2019/20,South Ayrshire,0-17 years,Elderly / Frail,"Rate per 1,000 Social Care Clients",NA,0,0
2019/20,South Ayrshire,0-17 years,Elderly / Frail,"Rate per 1,000 Social Care Clients (adjusted)",NA,0,0
2019/20,South Ayrshire,0-17 years,Learning Disability,"Rate per 1,000 Social Care Clients",NA,0,0
2019/20,South Ayrshire,0-17 years,Learning Disability,"Rate per 1,000 Social Care Clients (adjusted)",NA,0,0
2019/20,South Ayrshire,0-17 years,Mental Health,"Rate per 1,000 Social Care Clients",NA,0,0
2019/20,South Ayrshire,0-17 years,Mental Health,"Rate per 1,000 Social Care Clients (adjusted)",NA,0,0
2019/20,South Ayrshire,0-17 years,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients",NA,0,0
2019/20,South Ayrshire,0-17 years,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients (adjusted)",NA,0,0
2019/20,South Ayrshire,0-17 years,Other,"Rate per 1,000 Social Care Clients",NA,0,0
2019/20,South Ayrshire,0-17 years,Other,"Rate per 1,000 Social Care Clients (adjusted)",NA,0,0
2019/20,South Ayrshire,0-17 years,Not Recorded,"Rate per 1,000 Social Care Clients",NA,0,0
2019/20,South Ayrshire,0-17 years,Not Recorded,"Rate per 1,000 Social Care Clients (adjusted)",NA,0,0
2019/20,South Ayrshire,18-64 years,Dementia,"Rate per 1,000 Social Care Clients",610,5,8.2
2019/20,South Ayrshire,18-64 years,Dementia,"Rate per 1,000 Social Care Clients (adjusted)",510,5,9.8
2019/20,South Ayrshire,18-64 years,Elderly / Frail,"Rate per 1,000 Social Care Clients",610,25,41
2019/20,South Ayrshire,18-64 years,Elderly / Frail,"Rate per 1,000 Social Care Clients (adjusted)",510,15,29.4
2019/20,South Ayrshire,18-64 years,Learning Disability,"Rate per 1,000 Social Care Clients",610,175,286.9
2019/20,South Ayrshire,18-64 years,Learning Disability,"Rate per 1,000 Social Care Clients (adjusted)",510,145,284.3
2019/20,South Ayrshire,18-64 years,Mental Health,"Rate per 1,000 Social Care Clients",610,115,188.5
2019/20,South Ayrshire,18-64 years,Mental Health,"Rate per 1,000 Social Care Clients (adjusted)",510,100,196.1
2019/20,South Ayrshire,18-64 years,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients",610,120,196.7
2019/20,South Ayrshire,18-64 years,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients (adjusted)",510,105,205.9
2019/20,South Ayrshire,18-64 years,Other,"Rate per 1,000 Social Care Clients",610,155,254.1
2019/20,South Ayrshire,18-64 years,Other,"Rate per 1,000 Social Care Clients (adjusted)",510,125,245.1
2019/20,South Ayrshire,18-64 years,Not Recorded,"Rate per 1,000 Social Care Clients",610,20,32.8
2019/20,South Ayrshire,18-64 years,Not Recorded,"Rate per 1,000 Social Care Clients (adjusted)",510,15,29.4
2019/20,South Ayrshire,65-74 years,Dementia,"Rate per 1,000 Social Care Clients",404,30,74.3
2019/20,South Ayrshire,65-74 years,Dementia,"Rate per 1,000 Social Care Clients (adjusted)",310,20,64.5
2019/20,South Ayrshire,65-74 years,Elderly / Frail,"Rate per 1,000 Social Care Clients",404,60,148.5
2019/20,South Ayrshire,65-74 years,Elderly / Frail,"Rate per 1,000 Social Care Clients (adjusted)",310,45,145.2
2019/20,South Ayrshire,65-74 years,Learning Disability,"Rate per 1,000 Social Care Clients",404,25,61.9
2019/20,South Ayrshire,65-74 years,Learning Disability,"Rate per 1,000 Social Care Clients (adjusted)",310,20,64.5
2019/20,South Ayrshire,65-74 years,Mental Health,"Rate per 1,000 Social Care Clients",404,30,74.3
2019/20,South Ayrshire,65-74 years,Mental Health,"Rate per 1,000 Social Care Clients (adjusted)",310,20,64.5
2019/20,South Ayrshire,65-74 years,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients",404,75,185.6
2019/20,South Ayrshire,65-74 years,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients (adjusted)",310,55,177.4
2019/20,South Ayrshire,65-74 years,Other,"Rate per 1,000 Social Care Clients",404,150,371.3
2019/20,South Ayrshire,65-74 years,Other,"Rate per 1,000 Social Care Clients (adjusted)",310,125,403.2
2019/20,South Ayrshire,65-74 years,Not Recorded,"Rate per 1,000 Social Care Clients",404,30,74.3
